generated_utc,frontier,payload_group,witness_path_count,branch_weight_status,claim_boundary
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,b3_19b2_visibility_transfer_audit,11,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,b3_761_transfer_audit,11,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,b3_d752_transfer_audit,10,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,blocker_recovery_source_use,10,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,cjk_draft_761_upload,8,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,interlanguage_fable_761_authority_upload,370,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,interlanguage_fable_761_local_sibling_upload,25,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,manifest_hash_accounting,2,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,non_slavic_core_19b2_visibility,14,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,non_slavic_core_761_route,15,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,olp_761_upload,59,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,persianate_tajik_761_upload,34,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,r2_761_upload,27,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,r7_761_upload,24,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,r9_761_upload,18,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,slavic_761_upload,18,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,slavic_live_delta_watcher_upload,77,context_only_no_term_approval,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
