generated_utc,frontier,payload_group,changed_path_count,authority_action,claim_boundary
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,b3_19b2_visibility_transfer_audit,11,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,b3_761_transfer_audit,11,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,b3_d752_transfer_audit,10,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,blocker_recovery_source_use,10,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,cjk_draft_761_upload,8,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,interlanguage_fable_761_authority_upload,370,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,interlanguage_fable_761_local_sibling_upload,25,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,manifest_hash_accounting,2,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,non_slavic_core_19b2_visibility,14,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,non_slavic_core_761_route,15,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,olp_761_upload,59,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,persianate_tajik_761_upload,34,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,r2_761_upload,27,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,r7_761_upload,24,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,r9_761_upload,18,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,slavic_761_upload,18,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
2026-07-07T08:15:35Z,6034c6b4126af7268d61e39ddb2e84d4842202f0,slavic_live_delta_watcher_upload,77,route as source-use/gap/provenance context only,source-use/provenance/gap/draft/non-canonical support only; no community-consent/native-review/approval/license/gate/source-certification/final/bridge-pilot/translation-completion claims
