prior_head,current_head,status,branch_path,classification,r3_source_use_effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/B3_UPLOADER_READY_SUMMARY.csv,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/MANIFEST.csv,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/PACKAGE_VALIDATION.json,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/R3_CF4E67F3_BLOCKERS_NEXT_ACTIONS.csv,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/R3_CF4E67F3_BRANCH_VISIBILITY_DELTA.csv,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/R3_CF4E67F3_FABLE_SOURCE_USE_ADVERSE_LEDGER.csv,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/R3_CF4E67F3_LANGUAGE_BOUNDARY_GUARDS.csv,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/R3_CF4E67F3_SOURCE_CORPUS_PACKET_VISIBILITY.csv,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/README.md,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,interlanguage-sidecar/rtl-persianate-arabic-cf4e67f3-9bbc-branch-visibility-delta-corrected-20260706/R3_CF4E67F3_9BBC_BRANCH_VISIBILITY_DELTA_20260706_20260706T130507Z/SHA256SUMS.txt,corrected-cf4-branch-visible,corrected packet branch visibility only; no source authority/review/gate/completion effect
e0d0eae271d1a304f247c633e3e0f6124c475a0a,8e49192488fe23517eda3c58e5a7e1b7abf82bd0,A,transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_E0D0EAE_R3_CF4_VISIBILITY_DELTA_CORRECTED_20260706_AUDIT.md,b3-transfer-audit,corrected packet branch visibility only; no source authority/review/gate/completion effect
