section,row_id,source_family,source_group,policy_class,metadata_rows,candidate_after_review,permission_gate,review_completed
olp_extension,PL-SCP-OLP-EXT-001,Open Logic Project,.tex,primary_text_source_coordinate_candidate,729,true,false,false
olp_extension,PL-SCP-OLP-EXT-002,Open Logic Project,.sty,build_or_configuration_support_only,17,false,false,false
olp_extension,PL-SCP-OLP-EXT-003,Open Logic Project,.pdf,asset_or_derived_output_support_only,9,false,false,false
olp_extension,PL-SCP-OLP-EXT-004,Open Logic Project,.tikz,asset_or_derived_output_support_only,9,false,false,false
olp_extension,PL-SCP-OLP-EXT-005,Open Logic Project,.eps,asset_or_derived_output_support_only,7,false,false,false
olp_extension,PL-SCP-OLP-EXT-006,Open Logic Project,[none],build_or_configuration_support_only,7,false,false,false
olp_extension,PL-SCP-OLP-EXT-007,Open Logic Project,.md,support_metadata_only,4,false,false,false
olp_extension,PL-SCP-OLP-EXT-008,Open Logic Project,.png,asset_or_derived_output_support_only,2,false,false,false
olp_extension,PL-SCP-OLP-EXT-009,Open Logic Project,.bib,support_metadata_only,1,false,false,false
olp_extension,PL-SCP-OLP-EXT-010,Open Logic Project,.bst,build_or_configuration_support_only,1,false,false,false
olp_extension,PL-SCP-OLP-EXT-011,Open Logic Project,.cls,build_or_configuration_support_only,1,false,false,false
olp_extension,PL-SCP-OLP-EXT-012,Open Logic Project,.html,build_or_configuration_support_only,1,false,false,false
olp_extension,PL-SCP-OLP-EXT-013,Open Logic Project,.pcr,build_or_configuration_support_only,1,false,false,false
olp_extension,PL-SCP-OLP-EXT-014,Open Logic Project,.yml,support_metadata_only,1,false,false,false
olp_top_level,PL-SCP-OLP-TOP-001,Open Logic Project,content,primary_content_coordinate_candidate,723,true,false,false
olp_top_level,PL-SCP-OLP-TOP-002,Open Logic Project,assets,repository_support_metadata_only,27,false,false,false
olp_top_level,PL-SCP-OLP-TOP-003,Open Logic Project,sty,repository_support_metadata_only,12,false,false,false
olp_top_level,PL-SCP-OLP-TOP-004,Open Logic Project,[root],repository_support_metadata_only,10,false,false,false
olp_top_level,PL-SCP-OLP-TOP-005,Open Logic Project,courses,course_assembly_support_only,8,false,false,false
olp_top_level,PL-SCP-OLP-TOP-006,Open Logic Project,include,repository_support_metadata_only,3,false,false,false
olp_top_level,PL-SCP-OLP-TOP-007,Open Logic Project,misc,repository_support_metadata_only,3,false,false,false
olp_top_level,PL-SCP-OLP-TOP-008,Open Logic Project,.github,repository_support_metadata_only,2,false,false,false
olp_top_level,PL-SCP-OLP-TOP-009,Open Logic Project,bib,repository_support_metadata_only,2,false,false,false
book_of_proof_route_record,PL-SCP-BOP-ROUTE-001,Book of Proof,official_landing_page,permission_and_route_support_metadata_only,1,false,true,false
book_of_proof_route_record,PL-SCP-BOP-ROUTE-002,Book of Proof,official_pdf,permission_gate_before_pdf_coordinate_scan,1,true,true,false
book_of_proof_route_record,PL-SCP-BOP-ROUTE-003,Book of Proof,license_deed,permission_and_route_support_metadata_only,1,false,true,false
book_of_proof_route_record,PL-SCP-BOP-ROUTE-004,Book of Proof,legacy_or_adjacent_route,excluded_failed_or_unavailable_route,1,false,true,false
book_of_proof_route_record,PL-SCP-BOP-ROUTE-005,Book of Proof,external_approval_route,permission_and_route_support_metadata_only,1,false,true,false
policy_class_summary,PL-SCP-CLASS-06,,,repository_support_metadata_only,59,0,0,0
policy_class_summary,PL-SCP-CLASS-02,,,build_or_configuration_support_only,28,0,0,0
policy_class_summary,PL-SCP-CLASS-03,,,asset_or_derived_output_support_only,27,0,0,0
policy_class_summary,PL-SCP-CLASS-08,,,permission_and_route_support_metadata_only,3,0,3,0
policy_class_summary,PL-SCP-CLASS-04,,,support_metadata_only,6,0,0,0
policy_class_summary,PL-SCP-CLASS-07,,,course_assembly_support_only,8,0,0,0
policy_class_summary,PL-SCP-CLASS-10,,,excluded_failed_or_unavailable_route,1,0,1,0
policy_class_summary,PL-SCP-CLASS-09,,,permission_gate_before_pdf_coordinate_scan,1,1,1,0
policy_class_summary,PL-SCP-CLASS-05,,,primary_content_coordinate_candidate,723,1,0,0
policy_class_summary,PL-SCP-CLASS-01,,,primary_text_source_coordinate_candidate,729,1,0,0
