section,row_id,parent_or_router,source_or_lane,action_or_task,route_type,blank_fields,filled_fields
coordinate_router_row,OTCS-RTR-001,OTRSS-001,Open Logic Project proof and set/function shelf,coordinate_scan_candidate_after_license_and_attribution_recheck,candidate_queue_plus_local_checkout_route,,
coordinate_router_row,OTCS-RTR-002,OTRSS-002,Book of Proof permission-reference shelf,coordinate_scan_candidate_after_license_and_attribution_recheck,local_cache_manifest_route,,
coordinate_router_row,OTCS-RTR-003,OTRSS-003,DMOI exact-edition relation/function shelf,reuse_existing_relation_function_coordinate_metadata_and_open_new_scans_only_by_scope_decision,exact_edition_license_and_ptx_manifest_route,,
coordinate_router_row,OTCS-RTR-004,OTRSS-004,FCLA linear algebra shelf,coordinate_scan_candidate_after_license_and_attribution_recheck,local_cache_manifest_route,,
coordinate_router_row,OTCS-RTR-005,OTRSS-005,AATA abstract algebra shelf,coordinate_scan_candidate_after_license_and_attribution_recheck,local_cache_manifest_route,,
coordinate_router_row,OTCS-RTR-006,OTRSS-006,OpenIntro IMS statistics and numeracy shelf,coordinate_scan_candidate_after_license_and_attribution_recheck,local_readme_and_license_route,,
coordinate_router_row,OTCS-RTR-007,OTRSS-007,Malay-Indonesian set/function authority support shelf,authority_or_register_support_router_not_direct_translation_scan,metadata_manifest_route,,
coordinate_router_row,OTCS-RTR-008,OTRSS-008,Sign-language video-first review shelf,modality_authority_router_video_first_no_text_excerpt,cache_manifest_route,,
coordinate_router_row,OTCS-RTR-009,OTRSS-009,Pan-Romance Galician and Occitan register shelf,authority_or_register_support_router_not_direct_translation_scan,cache_and_metadata_manifest_routes,,
coordinate_router_row,OTCS-RTR-010,OTRSS-010,Semi-constructed relation/function method shelf,method_lane_no_source_scan_wait_for_dated_returns_or_no_construction_decisions,local_artifact_parent_route,,
coordinate_route_task_row,OTCS-TASK-001,OTCS-RTR-001,Open Logic Project proof and set/function shelf,metadata_inventory_scan_candidate,directory,10,0
coordinate_route_task_row,OTCS-TASK-002,OTCS-RTR-002,Book of Proof permission-reference shelf,metadata_inventory_scan_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-003,OTCS-RTR-003,DMOI exact-edition relation/function shelf,metadata_inventory_scan_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-004,OTCS-RTR-003,DMOI exact-edition relation/function shelf,metadata_inventory_scan_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-005,OTCS-RTR-004,FCLA linear algebra shelf,metadata_inventory_scan_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-006,OTCS-RTR-005,AATA abstract algebra shelf,metadata_inventory_scan_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-007,OTCS-RTR-006,OpenIntro IMS statistics and numeracy shelf,metadata_inventory_scan_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-008,OTCS-RTR-006,OpenIntro IMS statistics and numeracy shelf,metadata_inventory_scan_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-009,OTCS-RTR-006,OpenIntro IMS statistics and numeracy shelf,metadata_inventory_scan_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-010,OTCS-RTR-007,Malay-Indonesian set/function authority support shelf,authority_support_route_audit_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-011,OTCS-RTR-008,Sign-language video-first review shelf,authority_support_route_audit_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-012,OTCS-RTR-008,Sign-language video-first review shelf,authority_support_route_audit_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-013,OTCS-RTR-008,Sign-language video-first review shelf,authority_support_route_audit_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-014,OTCS-RTR-009,Pan-Romance Galician and Occitan register shelf,authority_support_route_audit_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-015,OTCS-RTR-009,Pan-Romance Galician and Occitan register shelf,authority_support_route_audit_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-016,OTCS-RTR-009,Pan-Romance Galician and Occitan register shelf,authority_support_route_audit_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-017,OTCS-RTR-009,Pan-Romance Galician and Occitan register shelf,authority_support_route_audit_candidate,file,10,0
coordinate_route_task_row,OTCS-TASK-018,OTCS-RTR-010,Semi-constructed relation/function method shelf,local_artifact_dependency_check,file,10,0
coordinate_route_task_row,OTCS-TASK-019,OTCS-RTR-010,Semi-constructed relation/function method shelf,local_artifact_dependency_check,file,10,0
coordinate_route_task_row,OTCS-TASK-020,OTCS-RTR-010,Semi-constructed relation/function method shelf,local_artifact_dependency_check,file,10,0
coordinate_route_task_row,OTCS-TASK-021,OTCS-RTR-010,Semi-constructed relation/function method shelf,local_artifact_dependency_check,file,10,0
packet_lane_router_row,OTCS-LANE-01,OTRSS-NEXT-01,proof_literacy,metadata_or_coordinate_router_only,,,
packet_lane_router_row,OTCS-LANE-02,OTRSS-NEXT-02,linear_and_abstract_algebra,metadata_or_coordinate_router_only,,,
packet_lane_router_row,OTCS-LANE-03,OTRSS-NEXT-03,statistics_and_public_numeracy,metadata_or_coordinate_router_only,,,
packet_lane_router_row,OTCS-LANE-04,OTRSS-NEXT-04,semi_constructed_relation_function,return_ingest_only_when_dated_return_exists,,,
packet_lane_router_row,OTCS-LANE-05,OTRSS-NEXT-05,signed_language_and_accessibility,metadata_or_coordinate_router_only,,,
