pointer_row_id,packet_unit,olp_shelf_ids,dmoi_catalog_row_ids,olp_source_routes,dmoi_source_file_hints,packet_use,next_gate,pointer_status
ODRF-PTR-01,proof_reading_and_definition_use,OLP-METHODS-PROOFS-READING-01; OLP-METHODS-USING-DEFINITIONS-01,DMOI-RF-CAT-01,content/methods/proofs/reading-proofs.tex; content/methods/proofs/starting-proofs.tex; content/methods/proofs/inference-patterns.tex; content/methods/proofs/using-definitions.tex; content/methods/proofs/example-1.tex; content/methods/proofs/example-2.tex,source/sec_gt-relations.ptx:288; source/sec_structures-functions.ptx:131; source/sec_intro-structures.ptx:89; source/exercises/intro-functions.ptx:68; source/practice/intro-functions.ptx:66; source/practice/gt-relations.ptx:21; source/sec_structures-relations.ptx:21; source/exercises/gt-relations.ptx:16,"orient future relation/function packet around proof reading, unpacking definitions, and relation/function boundary questions",attribution and reviewer-scope sidecar before any excerpt or surface,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-02,sets_membership_subset_equality,OLP-SFR-SETS-BASICS-01,DMOI-RF-CAT-01,content/sets-functions-relations/sets/basics.tex; content/sets-functions-relations/sets/subsets.tex; content/sets-functions-relations/sets/proofs-about-sets.tex; content/sets-functions-relations/sets/unions-and-intersections.tex; content/sets-functions-relations/sets/pairs-and-products.tex,source/sec_gt-relations.ptx:288; source/sec_structures-functions.ptx:131; source/sec_intro-structures.ptx:89; source/exercises/intro-functions.ptx:68; source/practice/intro-functions.ptx:66; source/practice/gt-relations.ptx:21; source/sec_structures-relations.ptx:21; source/exercises/gt-relations.ptx:16,pair OLP set basics with DMOI relation/function boundary coordinates before local membership or subset surfaces,local terminology authority return and exact-line sidecar,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-03,domain_codomain_range,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-02; DMOI-RF-CAT-06,content/sets-functions-relations/functions/function-basics.tex; content/sets-functions-relations/functions/functions-relations.tex; content/sets-functions-relations/functions/function-kinds.tex; content/sets-functions-relations/functions/composition.tex; content/sets-functions-relations/functions/inverses.tex,source/sec_structures-functions.ptx:85; source/exercises/intro-functions.ptx:22; source/practice/intro-functions.ptx:22; source/sec_counting-advPIE.ptx:18; source/sec_intro-structures.ptx:11; source/sec_counting-combperm.ptx:8; source/sec_structures-functions.ptx:132; source/exercises/intro-functions.ptx:67; source/practice/intro-functions.ptx:65,source-pointer basis for domain/codomain/range language plus mapping notation and arrow-reading conventions across proof and school-to-university function packets,reviewer route decision and local register split,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-04,function_as_relation_boundary,OLP-SFR-FUNCTIONS-BASICS-01; OLP-SFR-RELATIONS-01,DMOI-RF-CAT-01,content/sets-functions-relations/functions/function-basics.tex; content/sets-functions-relations/functions/functions-relations.tex; content/sets-functions-relations/functions/function-kinds.tex; content/sets-functions-relations/functions/composition.tex; content/sets-functions-relations/functions/inverses.tex; content/sets-functions-relations/relations/relations-as-sets.tex; content/sets-functions-relations/relations/special-properties.tex; content/sets-functions-relations/relations/equivalence-relations.tex; content/sets-functions-relations/relations/orders.tex,source/sec_gt-relations.ptx:288; source/sec_structures-functions.ptx:131; source/sec_intro-structures.ptx:89; source/exercises/intro-functions.ptx:68; source/practice/intro-functions.ptx:66; source/practice/gt-relations.ptx:21; source/sec_structures-relations.ptx:21; source/exercises/gt-relations.ptx:16,support the distinction between relation and function without importing any English source prose,scope sidecar deciding whether relation-as-set language belongs in first packet,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-05,injective_surjective_bijective,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-03,content/sets-functions-relations/functions/function-basics.tex; content/sets-functions-relations/functions/functions-relations.tex; content/sets-functions-relations/functions/function-kinds.tex; content/sets-functions-relations/functions/composition.tex; content/sets-functions-relations/functions/inverses.tex,source/exercises/intro-functions.ptx:70; source/practice/intro-functions.ptx:66; source/sec_structures-functions.ptx:53; source/sec_counting-advPIE.ptx:24; source/sec_counting-combperm.ptx:13; source/sec_logic-structures.ptx:13,function property source pointers for one-to-one/onto/bijective terminology before any algebra extension,property-family reviewer return,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-06,relation_properties,OLP-SFR-RELATIONS-01,DMOI-RF-CAT-07,content/sets-functions-relations/relations/relations-as-sets.tex; content/sets-functions-relations/relations/special-properties.tex; content/sets-functions-relations/relations/equivalence-relations.tex; content/sets-functions-relations/relations/orders.tex,source/sec_gt-relations.ptx:47; source/practice/gt-relations.ptx:23; source/sec_logic-structures.ptx:11; source/sec_intro-structures.ptx:8; source/exercises/gt-relations.ptx:7; source/exercises/gt-intro.ptx:1,reflexive/symmetric/antisymmetric/transitive source pointers for later relation-property packets,relation-property reviewer route and local-standard check,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-07,equivalence_order_poset,OLP-SFR-RELATIONS-01,DMOI-RF-CAT-04,content/sets-functions-relations/relations/relations-as-sets.tex; content/sets-functions-relations/relations/special-properties.tex; content/sets-functions-relations/relations/equivalence-relations.tex; content/sets-functions-relations/relations/orders.tex,source/sec_gt-relations.ptx:66; source/practice/gt-relations.ptx:23; source/exercises/gt-relations.ptx:11; source/sec_intro-structures.ptx:11; source/sec_logic-structures.ptx:11; source/sec_addtops-numbth.ptx:7; source/sec_structures-relations.ptx:5; source/exercises/gt-intro.ptx:1,"equivalence relation, partial order, and poset source-pointer bridge for quotient/order language",advanced scope decision; not first undercoverage packet by default,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-08,composition_inverse,OLP-SFR-FUNCTIONS-BASICS-01,DMOI-RF-CAT-05,content/sets-functions-relations/functions/function-basics.tex; content/sets-functions-relations/functions/functions-relations.tex; content/sets-functions-relations/functions/function-kinds.tex; content/sets-functions-relations/functions/composition.tex; content/sets-functions-relations/functions/inverses.tex,source/sec_gt-relations.ptx:17; source/sec_structures-functions.ptx:14; source/sec_logic-implications.ptx:11; source/exercises/gt-relations.ptx:3; source/exercises/intro-functions.ptx:3; source/practice/intro-functions.ptx:3,composition and inverse operation pointers for function-operation sidecar,defer unless first packet explicitly includes operation language,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-09,finite_infinite_equinumerosity,OLP-SFR-SIZE-OF-SETS-01,DMOI-RF-CAT-03; DMOI-RF-CAT-08,content/sets-functions-relations/size-of-sets/equinumerous-sets.tex; content/sets-functions-relations/size-of-sets/comparing-size.tex; content/sets-functions-relations/size-of-sets/enumerability.tex; content/sets-functions-relations/size-of-sets/schroder-bernstein.tex,source/exercises/intro-functions.ptx:70; source/practice/intro-functions.ptx:66; source/sec_structures-functions.ptx:53; source/sec_counting-advPIE.ptx:24; source/sec_counting-combperm.ptx:13; source/sec_logic-structures.ptx:13; source/sec_structures-functions.ptx:213; source/sec_gt-relations.ptx:167; source/exercises/intro-functions.ptx:138; source/practice/intro-functions.ptx:133; source/sec_addtops-genfun.ptx:81; source/sec_intro-structures.ptx:74,"later finite/infinite and same-size-by-bijection source pointers, not first-packet core",separate finite/infinite scope sidecar,source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
ODRF-PTR-10,high_density_source_shelf_selection,OLP-SFR-SETS-BASICS-01; OLP-SFR-FUNCTIONS-BASICS-01; OLP-SFR-RELATIONS-01,DMOI-RF-CAT-08,content/sets-functions-relations/sets/basics.tex; content/sets-functions-relations/sets/subsets.tex; content/sets-functions-relations/sets/proofs-about-sets.tex; content/sets-functions-relations/sets/unions-and-intersections.tex; content/sets-functions-relations/sets/pairs-and-products.tex; content/sets-functions-relations/functions/function-basics.tex; content/sets-functions-relations/functions/functions-relations.tex; content/sets-functions-relations/functions/function-kinds.tex; content/sets-functions-relations/functions/composition.tex; content/sets-functions-relations/functions/inverses.tex; content/sets-functions-relations/relations/relations-as-sets.tex; content/sets-functions-relations/relations/special-properties.tex; content/sets-functions-relations/relations/equivalence-relations.tex; content/sets-functions-relations/relations/orders.tex,source/sec_structures-functions.ptx:213; source/sec_gt-relations.ptx:167; source/exercises/intro-functions.ptx:138; source/practice/intro-functions.ptx:133; source/sec_addtops-genfun.ptx:81; source/sec_intro-structures.ptx:74,use high-density DMOI source-file summary rows plus OLP SFR shelves to choose future exact excerpt candidates,"source-shelf selection matrix with exact path/line reasons, still no source prose",source_pointer_only_no_excerpts_no_source_text_no_surfaces_no_translation
