"recovery_id","priority","scope","blocker_class","exact_path_or_evidence","next_recovery_action","generated_support_status","post_b3_increment_action","no_claim_boundary"
"R6-POST-B3-RECOVERY-001","priority_recovery","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","source_canon_insufficient","source_acquisition_or_gap_only","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-002","priority_recovery","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-003","standard","Jamaican Creole / Jamaican Patois","source_canon_insufficient","source_acquisition_or_gap_only","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-004","standard","Jamaican Creole/Patois","source_canon_insufficient","source_acquisition_or_gap_only","Find Patois STEM/numeracy witness or reviewer route.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-005","standard","Kreyol/Haitian Creole","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_KREYOL_MIT_AYITI_MENFP_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIT-Ayiti route/context provenance; official MENFP-hosted Kreyol math body, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-006","priority_recovery","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","source_canon_insufficient","source_acquisition_or_gap_only","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-007","priority_recovery","Krio","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-008","standard","Mauritian/Seychellois/Indian Ocean Creoles","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MAURITIUS_KREOL_MIE_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIE route/context provenance; exact named-language math/STEM body, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-009","standard","Nigerian Pidgin","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","source_recovery_only_no_draft_support_from_this_row","keep active recovery row; no scaffold expansion from this row","blocker/recovery row only; not source certification, authority approval, or translation completion"
"R6-POST-B3-RECOVERY-010","priority_recovery","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","source_canon_insufficient","source_acquisition_or_gap_only","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","source_recovery_only_no_draft_support_from_this_row","retry source-canon/source-owner/reviewer route before any new draft support","blocker/recovery row only; not source certification, authority approval, or translation completion"
