"language","arxiv_id","live_title","eprint_url","live_download_local_path","live_download_exists","live_download_actual_bytes","live_download_actual_sha256","live_download_hash_status","candidate_body_availability_status","source_canon_action","searched_path_or_recovery_path","exact_blocker_or_next_action","license_or_access_signal","nonclaim_boundary"
"Spanish","1309.7609v1","Identificación y Registro Catastral de Cuerpos de Agua mediante Técnicas de Procesamiento Digital de Imagenes","https://arxiv.org/e-print/1309.7609v1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\1309.7609v1.eprint.source","yes","1200570","4B8E56432C598A0B33B23CA7500C57B746FBE0C425BB9FE931405139C94C60C2","hash_match","candidate-verified-not-promoted","off_topic_spanish_pdf_fallback_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\1309.7609v1.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"Spanish","1311.1146v1","Variedades de álgebras topologicas","https://arxiv.org/e-print/1311.1146v1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\1311.1146v1.eprint.source","yes","218296","0FA77C384E6B7E8B139B12409D074B379EDA1D1753E5A60C5A316F543FEF29B2","hash_match","candidate-verified-not-promoted","adjacent_math_spanish_candidate_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\1311.1146v1.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"Spanish","2206.09700v1","Grupos ortogonales sobre cuerpos de característica positiva","https://arxiv.org/e-print/2206.09700v1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\2206.09700v1.eprint.source","yes","14729","6AFEBF27150A44B35490C508789521B256367CD248E9ABD9F6110FCD5E6C2DC4","hash_match","candidate-verified-not-promoted","adjacent_math_spanish_candidate_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\2206.09700v1.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"Spanish","2209.02110v1","La geometría de los Monoides","https://arxiv.org/e-print/2209.02110v1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\2209.02110v1.eprint.source","yes","48613","D43AF97DEABEEEB48DCA06AAF79D6644718F7DB8550A92405C0BC899679BE823","hash_match","candidate-verified-not-promoted","version_history_only_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\2209.02110v1.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"Spanish","2401.04069v4","Proof of the Nernst heat theorem","https://arxiv.org/e-print/2401.04069v4","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\2401.04069v4.eprint.source","yes","33192","AE0085E6FB3F45625F8FAFBD18C1EFF868B86DF06D51BFF2998048F38AD81AA3","hash_match","candidate-verified-not-promoted","off_topic_or_not_spanish_target_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\2401.04069v4.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"Spanish","2410.00616v1","Detección Automática de Patologías en Notas Clínicas en Español Combinando Modelos de Lenguaje y Ontologías Médicos","https://arxiv.org/e-print/2410.00616v1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\2410.00616v1.eprint.source","yes","2561350","4308DE7940EB7BF8441A421F23EE671F207B53B7D5E837AEE2B6AD9CC4BFC6AE","hash_match","candidate-verified-not-promoted","off_topic_spanish_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\2410.00616v1.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"Spanish","math/0212002v2","Integrally closed ideals in two-dimensional regular local rings are multiplier ideals","https://arxiv.org/e-print/math/0212002v2","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\math_0212002v2.eprint.source","yes","26661","5C1F17C3A7234AC0B39F40623B8903A0CF4B128D38373991A7A35DF9F1BDD1E7","hash_match","candidate-verified-not-promoted","math_relevant_not_spanish_target_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\math_0212002v2.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"Spanish","math/9412207v1","Automorphic $L$\snug-functions, intertwining operators, and the irreducible tempered representations of $p$\snug-adic groups","https://arxiv.org/e-print/math/9412207v1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\math_9412207v1.eprint.source","yes","36532","96119C326CEBEA2ADEFB77F9E55C5046C788E23B3A918BEE0730716E8C555C3D","hash_match","candidate-verified-not-promoted","not_spanish_target_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\math_9412207v1.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"Spanish","physics/0503102v1","La aventura de la fisica","https://arxiv.org/e-print/physics/0503102v1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\physics_0503102v1.eprint.source","yes","277282","876C5A534CB5A3D2D2CB06DACC47DC231464B721FE227FD2733559E23E9C4275","hash_match","candidate-verified-not-promoted","off_topic_spanish_pdf_fallback_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_spanish_supplement_20260705\physics_0503102v1.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print URL verified; no license-clearance claim","source-canon Spanish supplement screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
"French","1205.6530v1","Shift-invariant spaces on SI/Z Lie groups","https://arxiv.org/e-print/1205.6530v1","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_french_batch2_20260705\1205.6530v1.eprint.source","yes","22616","0837846B522F9F07D6D4ED490C251E58F61C50BBD4E3D9B90F8429245CF0914F","hash_match","candidate-verified-not-promoted","english_shift_invariant_false_positive_not_promoted","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\source_canon_witness_downloads\candidate_live_arxiv_french_batch2_20260705\1205.6530v1.eprint.source","Candidate e-print/source archive hash verified, but not copied into transfer body files and not promoted; review topic/language/source-use before body-package promotion.","arXiv API license field blank; access/e-print source archive verified; no license-clearance claim","source-canon French batch screening only; no translation; no glossary expansion; no term promotion; no native review; no approval; no license clearance; no gate promotion; no Git push"
