"key","value"
"parent_frontier","a9c44df2a70dc5d7577ebe7902106c0c4f398d3f"
"packaged_route_frontier","04a2af16d14e53c5398b6884719a36405a8ef180"
"prior_frontier","99be7f683c27ab351a568ca46220d6f344f0962e"
"compare_99be_to_04a_ahead_by","1"
"compare_99be_to_04a_changed_paths","59"
"commit_subject","Add 99BE OLP 2C2 route packet set"
"superseding_b3_parent","a9c44df2a70dc5d7577ebe7902106c0c4f398d3f"
"source_body_promotions","0"
"cjk_signal_paths","0"
"romance_direct_signals","0"
"romance_generated_draft_noncanonical_rows","44"
"persianate_draft_rows","9"
"tajik_promoted_term_rows","0"
"r2_direct_source_body_delta","0"
"r9_direct_path_hits","0"
"interlanguage_manifest_mismatches","0"
"arabic_status","carryforward/gap; no local 04A Arabic child packet found"
"held_olp_04a_roots","3 roots plus 3 transfer notes held for owner README/note placeholder repair"
"handling","B3-safe import of clean Non-Slavic 04A child-return route as source-use/provenance/gap/Fable/adverse and generated-draft/non-canonical context only"
