"alias","branch_path","packet_copy","bytes","sha256","csv_rows","use_in_r3"
"persianate_route_summary","coordination/non-slavic-core-1a823d4a-persianate-tajik-359-route-20260707/NON_SLAVIC_CORE_1A823D4A_PERSIANATE_TAJIK_359_ROUTE_20260707/SUMMARY.json","branch-visible-inputs/persianate_route_summary__SUMMARY.json","1544","53d43971b3feb7ccc71a8609a691447d7463f0f124dc2797b6c639dc09dab8d6","0","source-use/gap route evidence only; no Persian/Dari/Tajik gate promotion"
"persianate_route_source_use_gap_fable_adverse","coordination/non-slavic-core-1a823d4a-persianate-tajik-359-route-20260707/NON_SLAVIC_CORE_1A823D4A_PERSIANATE_TAJIK_359_ROUTE_20260707/PERSIANATE_TAJIK_SOURCE_USE_GAP_FABLE_ADVERSE_PARENT_ROWS_1A823D4A.csv","branch-visible-inputs/persianate_route_source_use_gap_fable_adverse__PERSIANATE_TAJIK_SOURCE_USE_GAP_FABLE_ADVERSE_PARENT_ROWS_1A823D4A.csv","5922","d9eb9394d34a8eefc917d7f4e0f40d7b48e9f199d422d33deb2c1affbb708e72","5","source-use/gap route evidence only; no Persian/Dari/Tajik gate promotion"
"persianate_route_blocker_recovery","coordination/non-slavic-core-1a823d4a-persianate-tajik-359-route-20260707/NON_SLAVIC_CORE_1A823D4A_PERSIANATE_TAJIK_359_ROUTE_20260707/PERSIANATE_TAJIK_BLOCKER_RECOVERY_PARENT_ROWS_1A823D4A.csv","branch-visible-inputs/persianate_route_blocker_recovery__PERSIANATE_TAJIK_BLOCKER_RECOVERY_PARENT_ROWS_1A823D4A.csv","8850","bbd3b54b24c982d1e655f35547fd11a070e3fb4a6d82593ccbf8c4b4b7a22992","8","source-use/gap route evidence only; no Persian/Dari/Tajik gate promotion"
"persianate_child_packet_route","coordination/non-slavic-core-1a823d4a-persianate-tajik-359-route-20260707/NON_SLAVIC_CORE_1A823D4A_PERSIANATE_TAJIK_359_ROUTE_20260707/PERSIANATE_TAJIK_CHILD_PACKET_ROUTE_1A823D4A.csv","branch-visible-inputs/persianate_child_packet_route__PERSIANATE_TAJIK_CHILD_PACKET_ROUTE_1A823D4A.csv","1250","b5bdbcdd557ecc4ab228fc841d92173cd2eb7d8e66a93f1832309acff4ec220e","1","source-use/gap route evidence only; no Persian/Dari/Tajik gate promotion"
"persianate_b3_handoff_boundaries","coordination/non-slavic-core-1a823d4a-persianate-tajik-359-route-20260707/NON_SLAVIC_CORE_1A823D4A_PERSIANATE_TAJIK_359_ROUTE_20260707/B3_HANDOFF_BOUNDARIES_1A823D4A.csv","branch-visible-inputs/persianate_b3_handoff_boundaries__B3_HANDOFF_BOUNDARIES_1A823D4A.csv","4123","6843b9f6d19b871e2253255afe3597be195d3804121595eed0d1de13a7ddc001","3","source-use/gap route evidence only; no Persian/Dari/Tajik gate promotion"
"persianate_branch_compare_summary","coordination/non-slavic-core-1a823d4a-persianate-tajik-359-route-20260707/NON_SLAVIC_CORE_1A823D4A_PERSIANATE_TAJIK_359_ROUTE_20260707/BRANCH_COMPARE_SUMMARY_1A823D4A.csv","branch-visible-inputs/persianate_branch_compare_summary__BRANCH_COMPARE_SUMMARY_1A823D4A.csv","427","3b2b429c5116a3b41665bb6fe887eb63c81c43ed7312d7619d18a6c00edc73a1","12","source-use/gap route evidence only; no Persian/Dari/Tajik gate promotion"
"r3_1a_package_validation","interlanguage-sidecar/r3-1a823d4a-branch-visible-dfb0-359-context-source-use-gap-20260707/R3_1A823D4A_BRANCH_VISIBLE_DFB0_359_CONTEXT_SOURCE_USE_GAP_20260707_20260707T033528Z/PACKAGE_VALIDATION.json","branch-visible-inputs/r3_1a_package_validation__PACKAGE_VALIDATION.json","1270","cc235e9252067f0f32ba4e2aa2049b91566955e9eab6352c997063191f3501ae","0","R3 branch-visible context/witness"
"r3_1a_source_use_gap_recovery","interlanguage-sidecar/r3-1a823d4a-branch-visible-dfb0-359-context-source-use-gap-20260707/R3_1A823D4A_BRANCH_VISIBLE_DFB0_359_CONTEXT_SOURCE_USE_GAP_20260707_20260707T033528Z/R3_1A823D4A_SOURCE_USE_GAP_RECOVERY_ROWS.csv","branch-visible-inputs/r3_1a_source_use_gap_recovery__R3_1A823D4A_SOURCE_USE_GAP_RECOVERY_ROWS.csv","1006","dedd6ea7476c509e779fa66337b1e727e67151d00171cf8266d07efd36acb946","4","R3 branch-visible context/witness"
"r3_1a_fable_adverse_boundary","interlanguage-sidecar/r3-1a823d4a-branch-visible-dfb0-359-context-source-use-gap-20260707/R3_1A823D4A_BRANCH_VISIBLE_DFB0_359_CONTEXT_SOURCE_USE_GAP_20260707_20260707T033528Z/R3_1A823D4A_FABLE_ADVERSE_BOUNDARY_LEDGER.csv","branch-visible-inputs/r3_1a_fable_adverse_boundary__R3_1A823D4A_FABLE_ADVERSE_BOUNDARY_LEDGER.csv","810","3f4fc88fe3438f2ca33f6458f99888f179cf225fbf6a8e542413f746ab41bb46","3","R3 branch-visible context/witness"
"r3_1a_language_boundary","interlanguage-sidecar/r3-1a823d4a-branch-visible-dfb0-359-context-source-use-gap-20260707/R3_1A823D4A_BRANCH_VISIBLE_DFB0_359_CONTEXT_SOURCE_USE_GAP_20260707_20260707T033528Z/R3_1A823D4A_LANGUAGE_BOUNDARY_ROWS.csv","branch-visible-inputs/r3_1a_language_boundary__R3_1A823D4A_LANGUAGE_BOUNDARY_ROWS.csv","905","1db40f2186fb8b500cee952c20f6be5886a36fce1dd662ce4f73ddd69262eca3","5","R3 branch-visible context/witness"
