lane,field,input_queue_count,active_exact_missing_count,alias_satisfied_count,active_unresolved_count,routing_note
noether-arabic-rtl-source-evidence-draft-lane,topic_tags,1,0,0,0,current row is explicit gap/support or already exact-present
noether-cjk-native-source-evidence,sha256_or_other_hash,2,1,1,0,exact field still absent; alias evidence exists
noether-cjk-native-source-evidence,source_url,1,1,0,1,source/provenance evidence still unresolved or requires downgrade
noether-cjk-source-evidence-draft-lane,evidence_tier,9,7,7,0,exact field still absent; alias evidence exists
noether-cjk-source-evidence-draft-lane,sha256_or_other_hash,9,7,7,0,exact field still absent; alias evidence exists
noether-olp-relation-function-support,evidence_tier,17,13,13,0,exact field still absent; alias evidence exists
noether-olp-relation-function-support,non_claim_boundary,17,13,13,0,exact field still absent; alias evidence exists
noether-olp-relation-function-support,sha256_or_other_hash,17,13,13,0,exact field still absent; alias evidence exists
noether-olp-relation-function-support,source_language,17,13,0,13,source/provenance evidence still unresolved or requires downgrade
noether-olp-relation-function-support,source_type,17,13,13,0,exact field still absent; alias evidence exists
noether-olp-relation-function-support,target_language_or_access_target,17,13,0,13,source/provenance evidence still unresolved or requires downgrade
noether-r3-arabic-persianate-linear-algebra,sha256_or_other_hash,1,0,0,0,current row is explicit gap/support or already exact-present
noether-r6-indigenous-creole-sign,license_or_access_signal,82,82,82,0,exact field still absent; alias evidence exists
noether-r6-indigenous-creole-sign,non_claim_boundary,82,82,82,0,exact field still absent; alias evidence exists
noether-r6-indigenous-creole-sign,source_language,82,82,82,0,exact field still absent; alias evidence exists
noether-r6-indigenous-creole-sign,source_type,82,82,82,0,exact field still absent; alias evidence exists
noether-r6-indigenous-creole-sign,target_language_or_access_target,82,82,82,0,exact field still absent; alias evidence exists
noether-r6-indigenous-creole-sign,topic_tags,82,82,82,0,exact field still absent; alias evidence exists
noether-romance-source-evidence-draft-lane,sha256_or_other_hash,1,0,0,0,current row is explicit gap/support or already exact-present
noether-slavic-canonical-baseline,evidence_tier,30,30,30,0,exact field still absent; alias evidence exists
noether-slavic-canonical-baseline,sha256_or_other_hash,30,30,30,0,exact field still absent; alias evidence exists
noether-slavic-canonical-baseline,source_type,30,30,30,0,exact field still absent; alias evidence exists
