status,priority,lane,primary_table,row_index_previous,row_index_current,match_method,source_title,target_language_or_access_target,source_url,current_is_target_language_witness,context_reason,missing_applicable_fields_previous,exact_missing_current,alias_satisfied_current,unresolved_current,special_repair_or_reclassification,recommended_action,non_claim_boundary
explicit_gap_blocker_or_support_context,P2_source_witness_context_gap,noether-arabic-rtl-source-evidence-draft-lane,noether-arabic-rtl-source-evidence-draft-lane/outputs/NOETHER_ARABIC_RTL_SOURCE_CANON_WITNESS_TABLE_NORMALIZED_20260704.csv,13,13,row_index_1_based,GitHub Arabic TeX false positive,Rejected candidate,https://raw.githubusercontent.com/Ag-ilies/pfe/fbd0c804af7c2bf2d151251ad0b39a40dec21809/Content/02_Chapter1/Text/chapter1.tex,false,current_row_marks_is_target_language_witness_false,topic_tags,,,,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-cjk-native-source-evidence,noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json,19,19,row_index_1_based,bulk_codepoint_redo_manifest,zh-Hans,,true,source_witness_or_schema_hardening_row,source_url; sha256_or_other_hash,source_url; sha256_or_other_hash,sha256_or_other_hash,source_url,local codepoint-redo log hash and aggregate source-shelf manifest digest recorded in this hardening ledger; primary table still needs upstream source URL mapping per underlying source row or downgrade to internal telemetry shelf,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
explicit_gap_blocker_or_support_context,P1_source_witness_provenance_gap,noether-cjk-native-source-evidence,noether-cjk-native-source-evidence/outputs/NOETHER_CJK_SOURCE_CANON_FIELD_NORMALIZED_WITNESS_TABLE_20260704.json,20,20,row_index_1_based,cjk_ctan_typesetting_infrastructure,CJK infrastructure,https://ctan.org/pkg/ctex,false,current_row_marks_is_target_language_witness_false,sha256_or_other_hash,sha256_or_other_hash,,sha256_or_other_hash,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,1,1,row_index_1_based,代数学方法 第一卷,zh-Hans,https://github.com/wenweili/AlJabr-1,,source_witness_or_schema_hardening_row,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,2,2,row_index_1_based,代数学方法 第二卷,zh-Hans,https://github.com/wenweili/AlJabr-2,,source_witness_or_schema_hardening_row,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,3,3,row_index_1_based,松村英之『可換環論』ノート,ja,https://github.com/Seasawher/matsumura,,source_witness_or_schema_hardening_row,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,4,4,row_index_1_based,Tetsuya Ando 代数学 lecture notes,ja,https://www.math.s.chiba-u.ac.jp/~ando/LectureNote.html,,source_witness_or_schema_hardening_row,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,5,5,row_index_1_based,古典不変式論ハンドブック,ja,https://www.mathsoc.jp/section/algebra/algsymp_past/algsymp12_files/nagai.pdf,,source_witness_or_schema_hardening_row,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,6,6,row_index_1_based,可換環論,ja,https://ryoya9826.github.io/files/note/ring.pdf,,source_witness_or_schema_hardening_row,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_schema_normalization_gap,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,7,7,row_index_1_based,Akira Masuoka lecture notes page,ja,https://sites.google.com/site/akira298math/home/lecture-notes,,source_witness_or_schema_hardening_row,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,copy/normalize existing alias evidence into exact required source-canon fields; no new translation work,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
explicit_gap_blocker_or_support_context,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,8,8,row_index_1_based,한국어 대수학 source-package search audit,ko,generated:github_api_search_audit,,current_row_context_pattern_gap_no_verified,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
explicit_gap_blocker_or_support_context,P1_source_witness_provenance_gap,noether-cjk-source-evidence-draft-lane,noether-cjk-source-evidence-draft-lane/outputs/NOETHER_CJK_SOURCE_CANON_WITNESS_TABLE_20260704.json,9,9,row_index_1_based,현대대수학1 KOCW course page,ko,https://kocw.net/home/cview.do?ar=relateCourse&kemId=1165165&mty=p,,current_row_context_pattern_weak_lead,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,evidence_tier; sha256_or_other_hash,,,retain as explicit gap/blocker/support row; do not harden as an active target-language source witness unless owner lane changes applicability,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
active_source_witness_unresolved_provenance_gap,P1_source_witness_provenance_gap,noether-olp-relation-function-support,noether-olp-relation-function-support/outputs/SESSION_K_SOURCE_CANON_FIRST_WITNESS_REGISTER_20260704.csv,1,1,row_index_1_based,K-SCW-001,,https://github.com/OpenLogicProject/OpenLogic/ ; https://openlogicproject.org/download/,,source_witness_or_schema_hardening_row,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,target_language_or_access_target; evidence_tier; source_type; sha256_or_other_hash; source_language; non_claim_boundary,evidence_tier; source_type; sha256_or_other_hash; non_claim_boundary,target_language_or_access_target; source_language,,populate missing source witness provenance from URLs/hashes/license/access evidence or downgrade to explicit gap/blocker,"source-canon/provenance hardening only; no translation, glossary/term promotion, native review, public/canonical approval, license clearance, gate promotion, completion claim, or Git push"
