severity,filename,pages,bytes,text_chars,blankish_pages,visible_markup_pages,raw_tex_math_pages,process_note_pages,tofu_pages,bbox_overrun_pages,tiny_text_pages,median_font_size,max_font_size,reasons,recommended_action,flagged_pages,sha256
critical,"40-01 Chinese Original - Nine Chapters, vols. 1-9.pdf",77,776765,85594,3,0,0,1,0,0,0,10.91,17.22,"[""process notes or source-session wording visible"", ""several blankish or very low-text pages""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.","[1, 2, 33, 77]",e0d3f4703f7b0af0190a5a9284fe473b431568d40c05edfe515d14c973227e08
critical,"60-08 Islamic and Arabic Work - al-Battani - Opus Astronomicum, Segments 1-42.pdf",125,3883011,243882,0,0,0,16,0,39,0,7.67,24.79,"[""process notes or source-session wording visible"", ""text block bounding boxes exceed page on multiple pages""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.","[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 49, 50, 51, 52]",9d5dd7f215b480fa301aa3d4268b79cadac150f308074fc2e782b932cd4a97bb
review,"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",59,404097,53881,0,0,0,0,0,0,0,10.91,53.18,"[""very large font span; check title/page scaling""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[],fed3be64a5f84144a256d95bc33035a9b018b9a0277e36fba979f1fb53849309
review,10-14 English Translation - Robert of Chester and Karpinski.pdf,28,158669,56201,0,0,0,0,0,0,1,10.91,49.22,"[""very large font span; check title/page scaling""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[13],23e502155e25d7b92d5b4852cfa48aaa6fe84bedb60178041a1110ecdd6dd38e
review,10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,42,305968,145705,0,0,0,0,0,0,0,10.91,49.22,"[""very large font span; check title/page scaling""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[],808150723a7d58fcb2d9e0941b104909d91f7b4b9a3d15244b4d810015595092
review,20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,104,719908,88445,0,0,0,0,0,1,0,10.91,31.88,"[""possible page-edge overflow""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[69],5cfd7374b136d480b95ed0961ab297bfb00c6123900a6d5716bdc5defaa66114
review,"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",132,1442584,132142,10,0,0,0,0,0,0,10.91,35.87,"[""several blankish or very low-text pages""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.","[2, 35, 36, 37, 39, 51, 54, 68, 88, 117]",52f75771d23e84809c02f25179422d32bcb895a1cdd0952d3c273173f12eca54
review,"50-02 Indian Original - Bhaskara II - Bijaganita, parts 1-3.pdf",59,404097,53881,0,0,0,0,0,0,0,10.91,53.18,"[""very large font span; check title/page scaling""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[],9028001c2f8e20403259fa71b7abf09d006365a927f253f72d7e8b1a12971cce
review,50-04 Indian Original - Brahmagupta - Brahmasphutasiddhanta.pdf,279,1624656,332013,19,0,0,0,0,1,0,10.91,30.69,"[""several blankish or very low-text pages"", ""possible page-edge overflow""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.","[52, 71, 72, 90, 91, 92, 93, 94, 95, 119, 121, 133, 136, 148, 170, 198, 223, 237, 262, 279]",849e94575ce43d0cc8e55b457222cf7c58af3007e051795c25f11b1793bb3ae2
review,60-01 Islamic Original - al-Kashi - Miftah al-Hisab.pdf,27,216035,36770,0,0,0,0,0,0,0,10.91,49.22,"[""very large font span; check title/page scaling""]","Open the PDF and compare against the TeX/source material. Rebuild only if the replacement is visibly better; keep the same human title pattern; remove process notes, visible raw TeX, tofu squares, empty pages, and obvious overflow.",[],42448ac5ed70294d44f2bed4ef672960a3f4b4ead34be0e53c7453ed4bbe933f
