record,filename,class_hint,pages,text_pages,median_body_size,p10_body_size,p90_body_size,page_median_min,page_median_max,page_median_range,page_size_set,likely_scan_or_reference,warnings,bytes,path
non_eu,00 Project Guide - Non-European Mathematics Manuscripts.pdf,reader,2,2,8.6,8.6,8.6,8.6,8.6,0.0,595x842,False,,16277,local workspace path
non_eu,"10-01 English Translation - Nine Chapters, vols. 1-9.pdf",reader,100,100,10.91,8.97,10.91,7.97,10.91,2.94,595x842; 842x595,False,inconsistent-page-font-size;mixed-page-sizes,950809,"local workspace path, vols. 1-9.pdf"
non_eu,"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,144,143,10.91,9.96,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,1326538,"local workspace path, vols. 1-12.pdf"
non_eu,"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",reader,118,118,10.91,8.97,10.91,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,1180873,"local workspace path, fasc. 1-9.pdf"
non_eu,10-04 English Translation - Sunzi Suanjing.pdf,reader,23,23,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,293401,local workspace path
non_eu,"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf",reader,64,64,9.96,8.97,9.96,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,869927,"local workspace path, parts 1-3.pdf"
non_eu,"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,68,68,8.97,8.97,9.96,8.97,11.96,2.99,595x842,False,inconsistent-page-font-size,612232,"local workspace path, parts 1-2.pdf"
non_eu,10-07 English Translation - Aryabhata - Aryabhatiya.pdf,reader,18,18,9.96,9.96,9.96,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,133934,local workspace path
non_eu,"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf",reader,59,59,10.91,10.91,12.55,10.31,13.75,3.44,595x842,False,inconsistent-page-font-size,404097,"local workspace path, parts 1-3.pdf"
non_eu,10-09 English Translation - Bhaskara II - Lilavati.pdf,reader,23,22,9.96,9.96,10.91,9.96,10.91,0.95,595x842,False,,143304,local workspace path
non_eu,10-10 English Translation - Brahmagupta - Brahmasphutasiddhanta.pdf,reader,165,165,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,498153,local workspace path
non_eu,10-11 English Translation - al-Kashi - Miftah al-Hisab.pdf,reader,14,14,10.2,10.2,10.2,10.2,11.5,1.3,612x792,False,inconsistent-page-font-size,75462,local workspace path
non_eu,10-12 English Translation - al-Khwarizmi - Algebra.pdf,reader,33,33,10.91,10.91,10.91,9.96,11.78,1.82,595x842,False,inconsistent-page-font-size,212840,local workspace path
non_eu,10-13 English Translation - al-Tusi - Shakl al-Qatta.pdf,reader,22,22,10.91,10.91,11.45,10.46,11.45,0.99,595x842,False,,216804,local workspace path
non_eu,10-14 English Translation - Robert of Chester and Karpinski.pdf,reader,28,27,10.91,10.91,10.91,9.96,14.35,4.39,595x842,False,inconsistent-page-font-size,158669,local workspace path
non_eu,10-15 English Translation - Omar Khayyam - Treatise on Algebra.pdf,reader,15,15,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,125405,local workspace path
non_eu,10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,reader,42,42,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,305968,local workspace path
non_eu,10-17 English Translation - Ruska - Oldest Arabic Algebra.pdf,reader,50,50,9.96,9.96,9.96,9.96,9.96,0.0,595x842,False,,394504,local workspace path
non_eu,10-18 English Translation - al-Muqaddasi - Ahsan al-Taqasim.pdf,reader,15,15,10.91,9.96,10.96,9.86,14.35,4.49,595x842,False,inconsistent-page-font-size,128368,local workspace path
non_eu,10-19 English Translation - Ibn al-Nadim - Kitab al-Fihrist.pdf,reader,19,19,10.91,10.91,10.91,9.96,10.91,0.95,595x842,False,,171538,local workspace path
non_eu,10-20 English Translation - Said al-Andalusi - Tabaqat al-Umam.pdf,reader,12,12,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,128103,local workspace path
non_eu,10-21 English Translation - Smith-Karpinski - Numerals.pdf,reader,16,16,10.91,9.96,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,130523,local workspace path
non_eu,"20-01 Modern Chinese - Nine Chapters, vols. 1-9.pdf",reader,35,35,9.96,8.97,10.91,8.97,10.91,1.94,595x842,False,inconsistent-page-font-size,592080,"local workspace path, vols. 1-9.pdf"
non_eu,"20-02 Modern Chinese - Li Ye - Ceyuan Haijing, vols. 1-12.pdf",reader,84,83,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,1050145,"local workspace path, vols. 1-12.pdf"
non_eu,20-03 Modern Chinese - Li Ye - Ceyuan Haijing Fenlei Shishu.pdf,reader,104,104,10.91,9.96,10.91,9.96,10.91,0.95,595x842,False,,719908,local workspace path
non_eu,"20-04 Modern Chinese - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf",reader,132,120,10.91,9.96,10.91,9.96,11.96,2.0,595x842,False,inconsistent-page-font-size,1442584,"local workspace path, fasc. 1-9.pdf"
non_eu,20-05 Modern Chinese - Sunzi Suanjing.pdf,reader,16,16,10.91,10.91,10.91,10.91,10.91,0.0,595x842,False,,216732,local workspace path
non_eu,"20-06 Modern Chinese - Yang Hui - Xiangjie, parts 1-3.pdf",reader,77,77,9.96,9.96,17.22,9.96,17.22,7.26,595x842,False,inconsistent-page-font-size;wide-font-size-spread,932691,"local workspace path, parts 1-3.pdf"
non_eu,"20-07 Modern Chinese - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf",reader,38,37,10.91,10.91,10.91,9.38,11.96,2.58,595x842,False,inconsistent-page-font-size,566083,"local workspace path, parts 1-2.pdf"
