pdf,slug,bytes,pages,sample_pages,sample_count,render_failures,blankish_sample_pages,dark_or_inverted_sample_pages,median_black_fraction,median_trim_area_fraction,pdftotext_ok,chars_no_space,line_count,median_line_length,short_line_ratio_le8,looks_like_json_dump,looks_like_tex_dump,text_extract_file,contact_sheet,flags,verdict
00 Project Guide - Non-European Mathematics Manuscripts.pdf,00 Project Guide - Non-European Mathematics Manuscripts,16277,2,1;2,2,0,0,0,0.06374,0.32294,True,3697,64,70.0,0.0,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\00 Project Guide - Non-European Mathematics Manuscripts.txt,,,clean_candidate
"10-01 English Translation - Nine Chapters, vols. 1-9.pdf","10-01 English Translation - Nine Chapters, vols. 1-9",950809,100,1;2;3;4;5;7;13;18;24;30;36;42;48;53;59;65;71;77;83;88;94;96;97;98;99;100,26,0,0,0,0.10498,0.71176,True,202270,2898,65.0,0.1498,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-01 English Translation - Nine Chapters, vols. 1-9.txt",,,clean_candidate
"10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.pdf","10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12",1326538,144,1;2;3;4;5;9;18;26;35;43;51;60;68;77;85;94;102;110;119;127;136;140;141;142;143;144,26,0,0,0,0.09944,0.73811,True,403638,8672,53.0,0.1116,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-02 English Translation - Li Ye - Ceyuan Haijing, vols. 1-12.txt",,,clean_candidate
"10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.pdf","10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9",1180873,118,1;2;3;4;5;8;15;22;29;35;42;49;56;63;70;77;84;90;97;104;111;114;115;116;117;118,26,0,0,0,0.07823,0.75842,True,238648,4001,54.0,0.1435,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-03 English Translation - Qin - Shuxue Jiuzhang, fasc. 1-9.txt",,,clean_candidate
10-04 English Translation - Sunzi Suanjing.pdf,10-04 English Translation - Sunzi Suanjing,293401,23,1;2;3;4;5;6;7;9;10;11;13;14;15;17;18;19;20;21;22;23,20,0,0,0,0.09048,0.6067,True,37164,893,42.0,0.0862,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-04 English Translation - Sunzi Suanjing.txt,,,clean_candidate
"10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.pdf","10-05 English Translation - Yang Hui - Xiangjie, parts 1-3",869927,64,1;2;3;4;5;8;12;16;20;23;27;31;34;38;42;45;49;53;57;60;61;62;63;64,24,0,0,0,0.06744,0.62174,True,118221,3794,24.0,0.3179,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-05 English Translation - Yang Hui - Xiangjie, parts 1-3.txt",,,clean_candidate
"10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.pdf","10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2",612232,68,1;2;3;4;5;9;13;17;21;25;29;33;36;40;44;48;52;56;60;64;65;66;67;68,24,0,0,0,0.08699,0.48628,True,180605,4205,45.0,0.176,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-06 English Translation - Zhu Shijie - Suanxue Qimeng, parts 1-2.txt",,,clean_candidate
10-07 English Translation - Aryabhata - Aryabhatiya.pdf,10-07 English Translation - Aryabhata - Aryabhatiya,133934,18,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18,18,0,0,0,0.15593,0.61935,True,34027,498,83.0,0.1867,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-07 English Translation - Aryabhata - Aryabhatiya.txt,,,clean_candidate
"10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.pdf","10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3",404097,59,1;2;3;4;5;8;11;15;18;21;25;28;32;35;39;42;45;49;52;55;56;57;58;59,24,0,0,0,0.03906,0.57173,True,96267,1494,49.0,0.1827,False,False,"C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-08 English Translation - Bhaskara II - Bijaganita, parts 1-3.txt",,,clean_candidate
10-09 English Translation - Bhaskara II - Lilavati.pdf,10-09 English Translation - Bhaskara II - Lilavati,143304,23,1;2;3;4;5;6;7;9;10;11;13;14;15;17;18;19;20;21;22;23,20,0,0,0,0.18018,0.4766,True,32516,776,33.0,0.2977,False,False,C:\tmp\non_eu_strict_qc_out_20260531\extracted_text\10-09 English Translation - Bhaskara II - Lilavati.txt,,,clean_candidate
