printed_page	role	anchor	body	evidence	status
65	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p065_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
66	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p066_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
67	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p067_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
68	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p068_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
69	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p069_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
70	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p070_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
71	AUTHOR_NOTE_CARRIED_UNCHANGED	*)	Complete author note preserved bytewise and pixelwise from S02; original note corrections remain recorded in S01 evidence.	qa/source/p071_authority.png; qa/NOTE_AUDIT.tsv; qa/s03/S02_READER_REGRESSION.tsv	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
72	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p072_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
73	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p073_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
74	NO_NEW_AUTHOR_NOTE	NONE	No author footnote on controlling leaf; no editorial note inserted into body.	qa/source/p074_authority.png	PASS_CARRIED_FROM_EARLIER_SOURCE_AUDIT
