printed_page	authority_pdf_page	unit_id	formula_id	placement	french_tex	english_tex	cross_layer_tokens	authority_evidence	scan_comparison
87	104	p087.u01	p087.u01.m001	inline	\leg{2^\nu}{p}=\leg{2^\nu}{p}	\leg{2^\nu}{p}=\leg{2^\nu}{p}	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Faisant le produit: identity with 2^nu, full written k/k-prime product and result	MANUALLY_VISUALLY_CHECKED
87	104	p087.u01	p087.u01.m002	display	\leg{2^\nu kk'k''\ldots}{p}=\leg{u}{p}=\leg{2^\nu}{p}.	\leg{2^\nu kk'k''\ldots}{p}=\leg{u}{p}=\leg{2^\nu}{p}.	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Faisant le produit: identity with 2^nu, full written k/k-prime product and result	MANUALLY_VISUALLY_CHECKED
87	104	p087.u02	p087.u02.m001	inline	p	p	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	MANUALLY_VISUALLY_CHECKED
87	104	p087.u02	p087.u02.m002	inline	8n+1	8n+1	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	MANUALLY_VISUALLY_CHECKED
87	104	p087.u02	p087.u02.m003	inline	8n+5	8n+5	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	MANUALLY_VISUALLY_CHECKED
87	104	p087.u02	p087.u02.m004	inline	p	p	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	MANUALLY_VISUALLY_CHECKED
87	104	p087.u02	p087.u02.m005	inline	\leg{2}{p}=1	\leg{2}{p}=1	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	MANUALLY_VISUALLY_CHECKED
87	104	p087.u02	p087.u02.m006	inline	\leg{2^\nu}{p}=1	\leg{2^\nu}{p}=1	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	MANUALLY_VISUALLY_CHECKED
87	104	p087.u02	p087.u02.m007	inline	\leg{u}{p}=1	\leg{u}{p}=1	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	MANUALLY_VISUALLY_CHECKED
87	104	p087.u02	p087.u02.m008	inline	p	p	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	MANUALLY_VISUALLY_CHECKED
