printed_page	scope_leaf	authority_pdf_page	dpi	scope_raster_sha256	full_raster_sha256	status
63	1	80	72	63A894B0D72BBE83F6F965BCF40DBCF4CD96F956D8980F971A8505F7E72F6AA9	63A894B0D72BBE83F6F965BCF40DBCF4CD96F956D8980F971A8505F7E72F6AA9	IDENTICAL
64	2	81	72	D89D5BC92FF560CB3D28AE64E2AC76538007AD7C5DB76519D1B2D975C1129D07	D89D5BC92FF560CB3D28AE64E2AC76538007AD7C5DB76519D1B2D975C1129D07	IDENTICAL
65	3	82	72	70F121CD6C362E2F727F4DF732E68CBB708A1840FB7C443D9A82146489FEA026	70F121CD6C362E2F727F4DF732E68CBB708A1840FB7C443D9A82146489FEA026	IDENTICAL
66	4	83	72	593CC7AD2F8CA3942D16038B288732AD99AE658030AA07C1E238B7AF47D79719	593CC7AD2F8CA3942D16038B288732AD99AE658030AA07C1E238B7AF47D79719	IDENTICAL
67	5	84	72	60DED056D41973C2BC02AD43C37A872B4C106C09EBF2C18B070C9D7906824842	60DED056D41973C2BC02AD43C37A872B4C106C09EBF2C18B070C9D7906824842	IDENTICAL
68	6	85	72	FCF180EEC895A5172F790C97E182EFEFDA34801BED1C81967E3B86ECBDC5FACC	FCF180EEC895A5172F790C97E182EFEFDA34801BED1C81967E3B86ECBDC5FACC	IDENTICAL
69	7	86	72	08FF0D903E622F2313CB0B5B9DE1A81E7AF411CF71B0EB1B8CEF00834C541EE3	08FF0D903E622F2313CB0B5B9DE1A81E7AF411CF71B0EB1B8CEF00834C541EE3	IDENTICAL
70	8	87	72	103F55DC228C4D49713101D83A39578D5CE243EB82D3D1C3B83DE3D62D6D8E6B	103F55DC228C4D49713101D83A39578D5CE243EB82D3D1C3B83DE3D62D6D8E6B	IDENTICAL
71	9	88	72	D0843604FCCFEA170B0F07396B674FDB68A24085C9E1F03730B2F6925D74962E	D0843604FCCFEA170B0F07396B674FDB68A24085C9E1F03730B2F6925D74962E	IDENTICAL
72	10	89	72	5BBE887EBF079E731B800D4791A932AEBBA0C008CD3B426F0A97FCB307ED17BC	5BBE887EBF079E731B800D4791A932AEBBA0C008CD3B426F0A97FCB307ED17BC	IDENTICAL
73	11	90	72	4205E525B983F86050304DF0B33C5FF81B2216042C5BB20A9830F55680F03B78	4205E525B983F86050304DF0B33C5FF81B2216042C5BB20A9830F55680F03B78	IDENTICAL
74	12	91	72	451C9B6DF818BEEC3D9A037F347D6B662CC94D8B4231856D3C770243FFBCF204	451C9B6DF818BEEC3D9A037F347D6B662CC94D8B4231856D3C770243FFBCF204	IDENTICAL
75	13	92	72	2A238BCA15C2911B952E2B9539B9D3C000A570C52E435448ADAEB6D4C4570CFC	2A238BCA15C2911B952E2B9539B9D3C000A570C52E435448ADAEB6D4C4570CFC	IDENTICAL
76	14	93	72	3C2DCCFEC2D7EA728532E762B0B20EDACC04EC2B2902DC9597B540C5E197197C	3C2DCCFEC2D7EA728532E762B0B20EDACC04EC2B2902DC9597B540C5E197197C	IDENTICAL
77	15	94	72	663C455E9C419F25DD30BF6227314CF7D0D08D798CED1F3C2DE5F051D0257038	663C455E9C419F25DD30BF6227314CF7D0D08D798CED1F3C2DE5F051D0257038	IDENTICAL
78	16	95	72	A806E8A77CA095DE3C60E17725E3637129DBDFE511318557291506C988BECBAF	A806E8A77CA095DE3C60E17725E3637129DBDFE511318557291506C988BECBAF	IDENTICAL
79	17	96	72	F798E8948AC66B8484F7EE67803E9C70922AE2C24417C875DE9E2C10502E064F	F798E8948AC66B8484F7EE67803E9C70922AE2C24417C875DE9E2C10502E064F	IDENTICAL
80	18	97	72	C6DD966989A9EF8EF32CBCDDCEB8FE3139B3BBF991C5EFAF33C98E77B7A97AF9	C6DD966989A9EF8EF32CBCDDCEB8FE3139B3BBF991C5EFAF33C98E77B7A97AF9	IDENTICAL
81	19	98	72	5F4C5319808507DD6F3C15C9894D9D142C30F0FEB81ED7F4CDBAA9624D089DA6	5F4C5319808507DD6F3C15C9894D9D142C30F0FEB81ED7F4CDBAA9624D089DA6	IDENTICAL
82	20	99	72	4805D6EC1052794608E91829425FD77E6098B754A7F2D6E37E4702E8C3303435	4805D6EC1052794608E91829425FD77E6098B754A7F2D6E37E4702E8C3303435	IDENTICAL
83	21	100	72	A6B09E16E2DD12CD70BC63326FA38DC4237175214642DA56FB4821EBE561DB4E	A6B09E16E2DD12CD70BC63326FA38DC4237175214642DA56FB4821EBE561DB4E	IDENTICAL
84	22	101	72	D633719741087AF736ABD778ED3A119CD28C1A86DA6499C9DAF0BC9858EFE9FD	D633719741087AF736ABD778ED3A119CD28C1A86DA6499C9DAF0BC9858EFE9FD	IDENTICAL
85	23	102	72	8123D6FEC769CE59785A8357C4397C8643D55EC6DABCB8D9021FA5B1E0B85316	8123D6FEC769CE59785A8357C4397C8643D55EC6DABCB8D9021FA5B1E0B85316	IDENTICAL
86	24	103	72	D162ABCC624E39D9A64D724D382A10CD189A7DB04185F1C343649CB0CC464925	D162ABCC624E39D9A64D724D382A10CD189A7DB04185F1C343649CB0CC464925	IDENTICAL
87	25	104	72	A7CE9103B44EC61FA6ADB8BEBCB215F0E9002F5CC27210B449D147E549C70E9A	A7CE9103B44EC61FA6ADB8BEBCB215F0E9002F5CC27210B449D147E549C70E9A	IDENTICAL
