layer	pdf_page	printed_page	image	image_sha256	review_evidence	method	observation	status
fr	1	65	qa/s03/visual/fr/page01_p065.png	4A1835E2DF9AD019D34DBA311D946F84DB566116D8696C529424F014D9715E2B	qa/s03/visual/regression_sheets/fr_pp065_066.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	2	66	qa/s03/visual/fr/page02_p066.png	D43BB2CAC5D9E01B4D5CA3B70DD6831743A0D614335554C19CB5227EDA2F30AE	qa/s03/visual/regression_sheets/fr_pp065_066.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	3	67	qa/s03/visual/fr/page03_p067.png	F7E15B977878F2DCE2EE78E267A55774BD6A7BA457CBCFDC7E73F09F03AF7851	qa/s03/visual/regression_sheets/fr_pp067_068.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	4	68	qa/s03/visual/fr/page04_p068.png	BC635DC1A251554C46F0C96EF8BBFCC55006E43179D929B175A0B6066104F1C1	qa/s03/visual/regression_sheets/fr_pp067_068.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	5	69	qa/s03/visual/fr/page05_p069.png	24FAE51D9144B89F9676CEF652CE1F118AE9392D91909201AFE84D1ED738701B	qa/s03/visual/regression_sheets/fr_pp069_070.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	6	70	qa/s03/visual/fr/page06_p070.png	75962FEE06E61984840FC690F4A8EA6A8EF95DA26600DB69153C4FE1B36F5E10	qa/s03/visual/regression_sheets/fr_pp069_070.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	7	71	qa/s03/visual/fr/page07_p071.png	4C90B84E567656C66F64DAB729500A21AE816527F656919D158FB10F33AB7FB2	qa/s03/visual/regression_sheets/fr_pp071_072.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow. Original *) author note and complete bottom block remain visible; exact S02 pixels.	PASS
fr	8	72	qa/s03/visual/fr/page08_p072.png	2A4D43415B817BDC65E622A6123A895E372202557E6A323FA967208F0512873F	qa/s03/visual/regression_sheets/fr_pp071_072.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	9	73	qa/s03/visual/fr/page09_p073.png	0258CDF19F8EC771920BB958922CC436DFA2F47BFBC134D2E8F401B264A5B220	qa/s03/visual/regression_sheets/fr_pp073_074.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	10	74	qa/s03/visual/fr/page10_p074.png	EF93D062DCB97FA25346111D223AEF5702F92C3736611BF69D7D36CC462C4821	qa/s03/visual/regression_sheets/fr_pp073_074.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	11	75	qa/s03/visual/fr/page11_p075.png	228C994E883FB918C937FE3F42B573A5CB930885417FD5F9D447BCCEEFCE665F	qa/s03/visual/regression_sheets/fr_pp075_076.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
fr	12	76	qa/s03/visual/fr/page12_p076.png	78AE94B7B91ACABDFF57CA08DDBB6FB594F14AA0C826F0EE39191DD906294806	qa/s03/visual/regression_sheets/fr_pp075_076.png	MANUALLY_REVIEWED_IN_NATIVE_SIZE_PAIR_SHEET_PLUS_EXACT_S02_TEXT_PIXEL_REGRESSION	All text blocks, displays, folio/order, note positions and margins reviewed; no visible clipping, missing glyph, broken math or overflow.	PASS
