layer	pdf_page	printed_page	width	height	characters	text_spans_outside_page	status
fr	1	65	595.280029296875	841.8900146484375	1871	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	2	66	595.280029296875	841.8900146484375	2286	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	3	67	595.280029296875	841.8900146484375	2192	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	4	68	595.280029296875	841.8900146484375	1265	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	5	69	595.280029296875	841.8900146484375	1654	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	6	70	595.280029296875	841.8900146484375	2136	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	7	71	595.280029296875	841.8900146484375	2417	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	8	72	595.280029296875	841.8900146484375	1262	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	9	73	595.280029296875	841.8900146484375	1516	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	10	74	595.280029296875	841.8900146484375	1798	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	11	75	595.280029296875	841.8900146484375	1861	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	12	76	595.280029296875	841.8900146484375	1692	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	13	77	595.280029296875	841.8900146484375	2035	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	14	78	595.280029296875	841.8900146484375	2186	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
fr	15	79	595.280029296875	841.8900146484375	1317	0	PASS_GEOMETRY_ONLY_NOT_SUBSTITUTE_FOR_VISUAL_REVIEW
