from_printed_page	to_printed_page	authority_pdf_pages	source_end	source_start	french	english	evidence	observation	status
74	75	91;92	φ′²+bu′²=KL.	Il est très facile de s’assurer	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p074_authority.png; qa/s03/source/p075_authority.png	Section4 factor block is followed by E/F coprimality, not a new title. Existing p74 source unchanged. Freshly rechecked in S03; both source leaves and unchanged current reader pages inspected.	PASS
75	76	92;93	(δ′): t±ψ≡0 (mod.b), ((t∓ψ)/b)=1.	Il résulte du théorème énoncé	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p075_authority.png; qa/s02/source/p076_authority.png	The next page uses the preceding section3 theorem and δ results.	PASS
76	77	93;94	(t/b)=1 ou (t/b)=−1.	Il suffira de chercher	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p076_authority.png; qa/s02/source/p077_authority.png	Prose explains how to decide the just-stated alternatives.	PASS
77	78	94;95	pour toutes les valeurs	de b, telles que	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p077_authority.png; qa/s02/source/p078_authority.png	Single source paragraph split; no full stop or bridge added.	PASS
78	79	95;96	etc.	5. / Désignons par a	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p078_authority.png; qa/s02/source/p079_authority.png	Section5 begins on the next printed page.	PASS
79	80	96;97	les nombres premiers h,	h′, h″, … sont en nombre pair ou impair.	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p079_authority.png; qa/s02/source/p080_authority.png	Prime-factor list split after the unprimed h, with comma.	PASS
80	81	97;98	(t/p)=−(t/a).	Ces deux cas sont compris	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s03/source/p080_authority.png; qa/s03/source/p081_authority.png	Both preceding t parity cases reunited in η; no formula omitted or repeated. Freshly rechecked in S03; both source leaves and unchanged current reader pages inspected.	PASS
81	82	98;99	(E/a)=1, (F/a)=1.	La différence des nombres impairs	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p081_authority.png; qa/s02/source/p082_authority.png	Squared E,F factors lead to the following parity argument.	PASS
82	83	99;100	((ψ+t)/a)=((ψ−t)/a)=(−1)^((p−1)/4+(t−1)/2).	Si l’on compare	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p082_authority.png; qa/s02/source/p083_authority.png	Next leaf compares this result with θ; numerator order remains ψ±t.	PASS
83	84	100;101	ou, ce qui est la	même chose, d’après un théorème connu	EXACT_SOURCE_BREAK_RETAINED	BREAK_AT_CORRESPONDING_FULL_ARGUMENT_POSITION	qa/s02/source/p083_authority.png; qa/s02/source/p084_authority.png	Single sentence split, no inserted punctuation.	PASS
