layer	printed_page	pdf_page	s02_text_sha256	s03_text_sha256	s02_pixels_sha256	s03_pixels_sha256	text	pixels
fr	65	1	DC77ECE60BC86E13FC2524F4405F7C383AF0026889169CFF2FD1836AC1C1D3CD	DC77ECE60BC86E13FC2524F4405F7C383AF0026889169CFF2FD1836AC1C1D3CD	CA6CFFC22713F5191700477709D97EECF085C895BBB1401C8BEB41D328D98691	CA6CFFC22713F5191700477709D97EECF085C895BBB1401C8BEB41D328D98691	IDENTICAL	IDENTICAL_126_DPI
fr	66	2	E848FA2BDCE682374CCA39123329F565D1251FEE9FF6083421715F3814F6DFD7	E848FA2BDCE682374CCA39123329F565D1251FEE9FF6083421715F3814F6DFD7	A240E0506ABE89CC7E4C2107A900B5367EB7B4E6C9ABD653867F9C1F188629F5	A240E0506ABE89CC7E4C2107A900B5367EB7B4E6C9ABD653867F9C1F188629F5	IDENTICAL	IDENTICAL_126_DPI
fr	67	3	E851FDB15401DBB9BC9957CF49E4ACBF6867C540DD6D2E321FDB494E0C5E11F5	E851FDB15401DBB9BC9957CF49E4ACBF6867C540DD6D2E321FDB494E0C5E11F5	8203DE11EFBA57042CCA7534D942EEC14AE12A24D1A67EF76AA178FE0A0C8E79	8203DE11EFBA57042CCA7534D942EEC14AE12A24D1A67EF76AA178FE0A0C8E79	IDENTICAL	IDENTICAL_126_DPI
fr	68	4	90EA11E86EB383108711EB123B44013A283052134117636494A5092AA189F9FA	90EA11E86EB383108711EB123B44013A283052134117636494A5092AA189F9FA	671C5694883299FB71FBD12ADDBCC50D1FC708E2B082B3B6DA59CB5498A135F3	671C5694883299FB71FBD12ADDBCC50D1FC708E2B082B3B6DA59CB5498A135F3	IDENTICAL	IDENTICAL_126_DPI
fr	69	5	E799069ED67AD2632C966031AE9B4C84203A953FB9DF3308B72F272619127819	E799069ED67AD2632C966031AE9B4C84203A953FB9DF3308B72F272619127819	CB4FFC46136AB5A4ABCC44C092B2A5442184E34F00A1653D15DF7E73073B4FD9	CB4FFC46136AB5A4ABCC44C092B2A5442184E34F00A1653D15DF7E73073B4FD9	IDENTICAL	IDENTICAL_126_DPI
fr	70	6	25D74D93A2890EA1F19D61C6413A87E6547BF4C57845D594E0D6AD6DB9EC35F7	25D74D93A2890EA1F19D61C6413A87E6547BF4C57845D594E0D6AD6DB9EC35F7	DBD9D00A9C9837FA9D3AB28172470369BEB2F68FF9882696DACF3A436C241486	DBD9D00A9C9837FA9D3AB28172470369BEB2F68FF9882696DACF3A436C241486	IDENTICAL	IDENTICAL_126_DPI
fr	71	7	AC454B29D5C94770A4C4BB4A3E4AFB2EEE2A31346CC0D6A149C9B0803830FE61	AC454B29D5C94770A4C4BB4A3E4AFB2EEE2A31346CC0D6A149C9B0803830FE61	286AC1070D6B96378444AFD2D079374FDDF9D8A47B3636535C5A50DDB0FDA8C8	286AC1070D6B96378444AFD2D079374FDDF9D8A47B3636535C5A50DDB0FDA8C8	IDENTICAL	IDENTICAL_126_DPI
fr	72	8	DF3E636D886125D563806B8FA4AB6C0F7AB03BABD26954441E3AF26FDD3F318F	DF3E636D886125D563806B8FA4AB6C0F7AB03BABD26954441E3AF26FDD3F318F	C0DF29E5AE594FA6FACF28AEE007E64232EEEC487374DCFB1592EBB9B7ED76F2	C0DF29E5AE594FA6FACF28AEE007E64232EEEC487374DCFB1592EBB9B7ED76F2	IDENTICAL	IDENTICAL_126_DPI
fr	73	9	42F95FBB8FB261C8870E5C43BFB9D8A30CE62C7262360DD84D4D6C550BB8F14A	42F95FBB8FB261C8870E5C43BFB9D8A30CE62C7262360DD84D4D6C550BB8F14A	B4E98ABB793FAF101397EE9D33C7C626774BF50D993F5714B44D1A5D540D1A8A	B4E98ABB793FAF101397EE9D33C7C626774BF50D993F5714B44D1A5D540D1A8A	IDENTICAL	IDENTICAL_126_DPI
fr	74	10	AE6EDAC104BEFD57B889941618D8D79304933CF85C64B33953383673F885FFC7	AE6EDAC104BEFD57B889941618D8D79304933CF85C64B33953383673F885FFC7	545CCAA58EEEDE662E27D6EE70BBD1FE4AA0ABB2AD5EDE1CC7E8CC9D6F4F0A56	545CCAA58EEEDE662E27D6EE70BBD1FE4AA0ABB2AD5EDE1CC7E8CC9D6F4F0A56	IDENTICAL	IDENTICAL_126_DPI
fr	75	11	50000AD6E9DACD1DA13DD7CFDB4F493056173D9328F4F09312D709905564EC8B	50000AD6E9DACD1DA13DD7CFDB4F493056173D9328F4F09312D709905564EC8B	6377A62FB975F308584E764367ECB80425A402DA0D895D9F23B9D9834BF097FB	6377A62FB975F308584E764367ECB80425A402DA0D895D9F23B9D9834BF097FB	IDENTICAL	IDENTICAL_126_DPI
fr	76	12	3A26C1AB478735A2DB1A9A149C5DFB94B16A09E78759A23FFD9EC870B2F29A9E	3A26C1AB478735A2DB1A9A149C5DFB94B16A09E78759A23FFD9EC870B2F29A9E	40EAC31355FE59C13E23F1E96663236B42C5D83889976B7CEA62214A56BAE8BB	40EAC31355FE59C13E23F1E96663236B42C5D83889976B7CEA62214A56BAE8BB	IDENTICAL	IDENTICAL_126_DPI
fr	77	13	FB9E72081D3C2B86BAF65EAF90514C8BFEE7B10D4D5C376DA8018115979CA283	FB9E72081D3C2B86BAF65EAF90514C8BFEE7B10D4D5C376DA8018115979CA283	A5285774B9B22DFF51F8FE1E906BAEBA744DD490361E9243F860912F5D05CECB	A5285774B9B22DFF51F8FE1E906BAEBA744DD490361E9243F860912F5D05CECB	IDENTICAL	IDENTICAL_126_DPI
fr	78	14	90152F5E596CC26E77D641B520D919E5192D8F1D7B08C41DA81856E3E508B87C	90152F5E596CC26E77D641B520D919E5192D8F1D7B08C41DA81856E3E508B87C	F4583F3068900CD0B43EA538EFF93E90E95CDACE9D103D3DE6EF39DC5CF944CC	F4583F3068900CD0B43EA538EFF93E90E95CDACE9D103D3DE6EF39DC5CF944CC	IDENTICAL	IDENTICAL_126_DPI
fr	79	15	99A2DD4A0D26CA91DDBD38E8396F19D79DF946176153643C12DADEC06F5D72D0	99A2DD4A0D26CA91DDBD38E8396F19D79DF946176153643C12DADEC06F5D72D0	26F2C1FDF40CEC4E191D5EEED79644A01A23B65799B7FED5D6B89E26AB768DDD	26F2C1FDF40CEC4E191D5EEED79644A01A23B65799B7FED5D6B89E26AB768DDD	IDENTICAL	IDENTICAL_126_DPI
fr	80	16	C08BA1A17F2424CAD8692CF4594CF74935070D2F23F946FE4141573CA234E04B	C08BA1A17F2424CAD8692CF4594CF74935070D2F23F946FE4141573CA234E04B	4E1F232BB980447DAC58F279A5ADE5B0CB544B4B9C34B9011C1A3E71A10FDC83	4E1F232BB980447DAC58F279A5ADE5B0CB544B4B9C34B9011C1A3E71A10FDC83	IDENTICAL	IDENTICAL_126_DPI
fr	81	17	DEB23895BB6AC183B440D4297DD60341FB3B9F0796DA73B49FC346B4DEF14091	DEB23895BB6AC183B440D4297DD60341FB3B9F0796DA73B49FC346B4DEF14091	492EFAAD25C34EB0BB5F3BBE8032BBE5C138C7C3D21D5FBC01EC69662183CB93	492EFAAD25C34EB0BB5F3BBE8032BBE5C138C7C3D21D5FBC01EC69662183CB93	IDENTICAL	IDENTICAL_126_DPI
fr	82	18	A18317E01797DE4DD1B9E84F376EE4C3762A44FC48E812B7FAAA0044BB37E60C	A18317E01797DE4DD1B9E84F376EE4C3762A44FC48E812B7FAAA0044BB37E60C	A4A3821D16DC389A23A13C2CC8F149D5BCCE434A8EE461D49FA5C34D4B5F239B	A4A3821D16DC389A23A13C2CC8F149D5BCCE434A8EE461D49FA5C34D4B5F239B	IDENTICAL	IDENTICAL_126_DPI
fr	83	19	BF201DFB07FA5B5ACC597D42B928399B1B1F9FAB82A7BD409FC6B7D0EF5C12ED	BF201DFB07FA5B5ACC597D42B928399B1B1F9FAB82A7BD409FC6B7D0EF5C12ED	60453BD8A2391E1EDEC3C44E8FF9DF89D96B053806F635AE6CBBCB2CFE82793F	60453BD8A2391E1EDEC3C44E8FF9DF89D96B053806F635AE6CBBCB2CFE82793F	IDENTICAL	IDENTICAL_126_DPI
fr	84	20	8FD24002D0E12135CDC6BFDD2AC6D3A7ECAC41AFC34B724CD76BC39BCFFFCA22	8FD24002D0E12135CDC6BFDD2AC6D3A7ECAC41AFC34B724CD76BC39BCFFFCA22	DEAEFF19623B77C92E7C4510C012A65FB8B5B5A0B9B33C0273AB3FA3C0178710	DEAEFF19623B77C92E7C4510C012A65FB8B5B5A0B9B33C0273AB3FA3C0178710	IDENTICAL	IDENTICAL_126_DPI
fr	85	21	1FA4BB6E21852A648300B6CF14FAAC89FFD141AB77B8C2D09962623A420A5C69	1FA4BB6E21852A648300B6CF14FAAC89FFD141AB77B8C2D09962623A420A5C69	EC032266C4D565F20C32000AF79E753240CF2D5EF24BA97F6F1D8DDAB41BF072	EC032266C4D565F20C32000AF79E753240CF2D5EF24BA97F6F1D8DDAB41BF072	IDENTICAL	IDENTICAL_126_DPI
fr	86	22	F380F031D9006AF9A3E5CAA873F3F9134491B5FA4A19E7E815CED16E0C3D6511	F380F031D9006AF9A3E5CAA873F3F9134491B5FA4A19E7E815CED16E0C3D6511	EDA8E2F2669A31F7D99B66FBC51386640108AE4483FE40DE361E5678BF3FCE09	EDA8E2F2669A31F7D99B66FBC51386640108AE4483FE40DE361E5678BF3FCE09	IDENTICAL	IDENTICAL_126_DPI
en	65	1	D50E955CEF4C6A3CE2496A108CBAE9EE636BC476FF762A978A52FBDFD01B23DA	D50E955CEF4C6A3CE2496A108CBAE9EE636BC476FF762A978A52FBDFD01B23DA	540B17FF1141FDA1B5DB8AFB0A3A1CDA881EB3F68D043CAF42B58B2DD8052AE1	540B17FF1141FDA1B5DB8AFB0A3A1CDA881EB3F68D043CAF42B58B2DD8052AE1	IDENTICAL	IDENTICAL_126_DPI
en	66	2	94709ED4C2FE17287672D5BF77F49F0B37EF2800CD4D1588FF0531F98ECA0DE3	94709ED4C2FE17287672D5BF77F49F0B37EF2800CD4D1588FF0531F98ECA0DE3	102A930F50175B85900999C4BB391F24D8173069228290A47ABC80EEC5C345CC	102A930F50175B85900999C4BB391F24D8173069228290A47ABC80EEC5C345CC	IDENTICAL	IDENTICAL_126_DPI
en	67	3	BB83432B016FFE7ADBA4082084763BC3C9BF449698F3E607D612CA6740E40E3E	BB83432B016FFE7ADBA4082084763BC3C9BF449698F3E607D612CA6740E40E3E	8A2948992858DFED13ED2D17997F8D06DF0CFED2641427FD51B42244244A9D0B	8A2948992858DFED13ED2D17997F8D06DF0CFED2641427FD51B42244244A9D0B	IDENTICAL	IDENTICAL_126_DPI
en	68	4	7D4373037011C69AF78BFE5451BF4D9152D3FB04588CBE616EE44385EF499908	7D4373037011C69AF78BFE5451BF4D9152D3FB04588CBE616EE44385EF499908	18EFD06A47203B7769F0865295D82B80C7D66835D430DAC6670256E7E79C93F4	18EFD06A47203B7769F0865295D82B80C7D66835D430DAC6670256E7E79C93F4	IDENTICAL	IDENTICAL_126_DPI
en	69	5	358A27B167A99866009028FAE16AB3DBAEA3458ECAD51CF46586DB4320B59485	358A27B167A99866009028FAE16AB3DBAEA3458ECAD51CF46586DB4320B59485	51688B2AF74C7C423999B0F576E973C8F7F572C56BEA0141BCDCA861E0378E34	51688B2AF74C7C423999B0F576E973C8F7F572C56BEA0141BCDCA861E0378E34	IDENTICAL	IDENTICAL_126_DPI
en	70	6	1B96BDB0027198CC2D6B299DA3F358C2F092106CA9C5B14DBD3E908535D4E1F3	1B96BDB0027198CC2D6B299DA3F358C2F092106CA9C5B14DBD3E908535D4E1F3	6ECFFE599B48D3BA072A512AA2F994EA734BE17BF8D95869E613963380945C0B	6ECFFE599B48D3BA072A512AA2F994EA734BE17BF8D95869E613963380945C0B	IDENTICAL	IDENTICAL_126_DPI
