layer	pdf_page	printed_page	authority_pdf_page	scope_leaf	page_source	page_source_sha256	heading_excerpt	occurrences	status
fr	1	65	82	3	editions/fr/pages/p065.tex	6CC978016477EA895F383E8A035FD559EA909CE8E573978B605E92032B1A208B	RECHERCHES SUR LES DIVISEURS PREMIERS D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 1er Mémoire. On trouve,	1	PASS
fr	2	66	83	4	editions/fr/pages/p066.tex	586434BF206814EAB0B4D30006E60AF66E6E37F476D78F0C6B9FD6F927A9C7EC	66 RECHERCHES SUR LES DIVISEURS PREMIERS 1. „Si l’on peut attribuer à l’indéterminée x une valeur	1	PASS
fr	3	67	84	5	editions/fr/pages/p067.tex	C34E1F7911C0EBFCBF20BB29E10E1E6FEC0D20D82384FE2EA39A837498285FD2	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 67 „Si les nombres A et A′ sont tous	1	PASS
fr	4	68	85	6	editions/fr/pages/p068.tex	87AFEAC601601716340520DD782DD69B7D45E0506528680690632903BE195A74	68 RECHERCHES SUR LES DIVISEURS PREMIERS de la forme 4n + 1, ( k p )	1	PASS
fr	5	69	86	7	editions/fr/pages/p069.tex	C78FD026E8F11807DEF6F883742042FDDEAA487F6D9680927162138373B86A62	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 69 d’où il suit, en multipliant: (gg′g′′ . .	1	PASS
fr	6	70	87	8	editions/fr/pages/p070.tex	4319A650B197727BDE64F965E54C8546A2DDA8D5DCEC072BC1601CE12F0AB44F	70 RECHERCHES SUR LES DIVISEURS PREMIERS Nous aurons ainsi: p = t2 + 2u2 = φ2	1	PASS
fr	7	71	88	9	editions/fr/pages/p071.tex	A43ABA468B2EB2E96BB5C07EA8C8D31E7F90C037B53EBF44A58355831A3583D0	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 71 Il y a un troisième théorème propre à	1	PASS
fr	8	72	89	10	editions/fr/pages/p072.tex	92269E0BAFA0C0BA24009F74CFB217B7D13A0645144863CC92E80BA2A2A87727	72 RECHERCHES SUR LES DIVISEURS PREMIERS on aura ce résultat: (α) (u p ) = (2ν	1	PASS
fr	9	73	90	11	editions/fr/pages/p073.tex	4293ADA4C42618DB4BD57CE134C01FEA20420CBB0A5DD24F7D51EBEDE802DD11	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 73 (g b ) = 1, (g′ b )	1	PASS
fr	10	74	91	12	editions/fr/pages/p074.tex	8F2D4D6EF30917F323545BCF499C561B7682831BF785456232882BA9F0A5DC84	74 RECHERCHES SUR LES DIVISEURS PREMIERS pour u p−1 2 dans la congruence obtenue plus haut,	1	PASS
fr	11	75	92	13	editions/fr/pages/p075.tex	B507605383DAA9F782AF62649A8F8B9C230BD104756032A709F02251F06ED8B9	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 75 Il est très facile de s’assurer que les	1	PASS
fr	12	76	93	14	editions/fr/pages/p076.tex	8AC0155733C73AF2276F595F53D57F2D9357B57F66C916237351A29B7AE86CC7	76 RECHERCHES SUR LES DIVISEURS PREMIERS Il résulte du théorème énoncé à la fin du paragraphe	1	PASS
fr	13	77	94	15	editions/fr/pages/p077.tex	762412E086744165772ABC2F75092E45344949038D8C1BFDD384B2FF5C617396	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 77 Il suﬀira de chercher un nombre qui satisfasse	1	PASS
fr	14	78	95	16	editions/fr/pages/p078.tex	2C3C691DE32759983DB70B6E608931EA7E01D2354AF1BC09E1539706437B9CC7	78 RECHERCHES SUR LES DIVISEURS PREMIERS de b, telles que la formule t2 −bu2 n’ait que	1	PASS
fr	15	79	96	17	editions/fr/pages/p079.tex	3198958B1CFD1F9F674DB9710F64E437DE57FCFA624FACC1E5EFC0A4976C2E89	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 79 5. Désignons par a un nombre premier 4n	1	PASS
fr	16	80	97	18	editions/fr/pages/p080.tex	DC326D3E4F56241BC01D94CD3DEF4AE5BD53E167D6A5909644C76D17F9BE63D7	80 RECHERCHES SUR LES DIVISEURS PREMIERS h′, h′′, … sont en nombre pair ou impair. On	1	PASS
fr	17	81	98	19	editions/fr/pages/p081.tex	3721EFEFA33A8AE189D0ADF952CB46555474AEBC13E661D960DF963731FE4AC3	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 81 Ces deux cas sont compris dans la formule	1	PASS
fr	18	82	99	20	editions/fr/pages/p082.tex	2553FCD275BE37EEA038335D5A5F8B4492F2EC57B996EF2BB4DD8305EABFDC2C	82 RECHERCHES SUR LES DIVISEURS PREMIERS La différence des nombres impairs t + ψ et t	1	PASS
fr	19	83	100	21	editions/fr/pages/p083.tex	00A3E0146643AD7703A25F043F558A6350ADB86775602904F48A185D11876EF0	D’UNE CLASSE DE FORMULES DU QUATRIÈME DEGRÉ. 83 Si l’on compare ce qui vient d’être prouvé	1	PASS
