printed_page	full_pdf_page	scope_leaf	dpi	pixel_equality	image	sha256
74	91	12	216	PASS	qa/s03/source/p074_authority.png	FB5AE30032EE51C16A7134B86143C23CFEEB62EA7ED527D624373D4FB01FA427
75	92	13	216	PASS	qa/s03/source/p075_authority.png	202CFC7EEA5698250E925680C2EB5BB85AB5422093C71CE8DBF76A20D11CB6EB
80	97	18	216	PASS	qa/s03/source/p080_authority.png	8F696A0950C224428C819A2E16020DA8529A3F6001798EFF3AA8861B49451223
81	98	19	216	PASS	qa/s03/source/p081_authority.png	7F35973012AA5F6E272F8C48A63D644FACF442813DCFB5F28025A61B860405BA
86	103	24	216	PASS	qa/s03/source/p086_authority.png	B5A4A90B4CFFCE88F87F4F899ACD3A8CCCE550D8F18A63400DCBC33D4C494D29
87	104	25	216	PASS	qa/s03/source/p087_authority.png	563958058A4ABFB1CC62CB1DF0EFA8F90FB85E62B1A6BF39C049FFBE3227D0C4
88	105	26	216	PASS	qa/s03/source/p088_authority.png	B6F297B04C00F39B49745CC417D7B83027E9F9975D10074BF47979B5E731B7D9
89	106	27	216	PASS	qa/s03/source/p089_authority.png	E0672A904D6875325188CD81CD3A06F4FFFB217D5CFC8077C7A0F074493D703A
90	107	28	216	PASS	qa/s03/source/p090_authority.png	195B076A10B9EDAB1C90AEE562E141AC41347EE5137FEC066AC521E9ED5BA32C
91	108	29	216	PASS	qa/s03/source/p091_authority.png	5CF4FB9D8609F5A2951D87AB0EC08B53AFFC6342317B4467384CB4D329B6DF1C
92	109	30	216	PASS	qa/s03/source/p092_authority.png	303E9813A3720660C7EE8C0BD4328F5D876B9C4C4BD2A002BEA5EC08AFA35FF5
93	110	31	216	PASS	qa/s03/source/p093_authority.png	F4E18AF95CFCBE155D57997E120EF8959014B7FC704B6863F751C3D0468521F2
94	111	32	216	PASS	qa/s03/source/p094_authority.png	ED73CA1806969994F750AA1B815AE778343996B3B448165F42265469528FD68D
95	112	33	216	PASS	qa/s03/source/p095_authority.png	6D5D0117A124FC9979383E20EC0D7D641E092BEF672BBEE39A5210F3D8387F9B
96	113	34	216	PASS	qa/s03/source/p096_authority.png	0498B28AC33C7416AE35ABCE2E5C4CE89D2A72D6B684D7F76678DD8608DCEFDD
97	114	35	216	PASS	qa/s03/source/p097_authority.png	9C1A7684431460D17D19831305208749BE0461EBDDECFB8FB6CB7072B438E26E
98	115	36	216	PASS	qa/s03/source/p098_authority.png	C8E1041859F3B23EF30A6AD796826A672111FD831FE5E18D62B39A8BA11E1F5B
