printed_page	authority_pdf_page	scope_leaf	unit_id	structure	fr_tex_lines	en_tex_lines	math_segments	authority_evidence	french_audit	english_audit
87	104	25	p087.u01	continuation of p086.u04	3-8	3-8	2	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Faisant le produit: identity with 2^nu, full written k/k-prime product and result	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
87	104	25	p087.u02	continuation	10-19	10-19	15	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Le nombre p: both residue classes, impairement pair, nu=1, and label beta-prime	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
87	104	25	p087.u03	continuation	21-39	21-39	9	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; Reprenons: both three-prime l rows, four terminal dots, product identity and label gamma-prime	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
87	104	25	p087.u04	continuation	41-53	41-53	8	qa/s03/source/p087_authority.png; full PDF 104; scope leaf 25; En mettant: congruence t²=bu², exponent (p−1)/4, full two-step substitution using beta-prime	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
88	105	26	p088.u01	continuation	3-6	3-6	5	qa/s03/source/p088_authority.png; full PDF 105; scope leaf 26; Cette dernière: comparison of u/p and t/b using gamma-prime	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
88	105	26	p088.u02	labelled-statement	8-13	8-13	5	qa/s03/source/p088_authority.png; full PDF 105; scope leaf 26; label delta-prime, complete residue/non-residue alternatives	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
88	105	26	p088.u03	paragraph-start	15-25	15-25	7	qa/s03/source/p088_authority.png; full PDF 105; scope leaf 26; Décomposons: p=phi²+psi², equation with ps² and transposition	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
88	105	26	p088.u04	paragraph-start	27-41	27-41	21	qa/s03/source/p088_authority.png; full PDF 105; scope leaf 26; Les nombres s,t,u: s non-divisible by b, gcd m, primed substitution and divisor citation no.197	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
88	105	26	p088.u05	paragraph-start	43-52	43-52	9	qa/s03/source/p088_authority.png; full PDF 105; scope leaf 26; La dernière: both factors, E/F/K/L block in original two-by-two order	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
88	105	26	p088.u06	paragraph-start; continues on p089	54-59	54-59	9	qa/s03/source/p088_authority.png; full PDF 105; scope leaf 26; Il est facile: complete first half of coprimality proof, through D’un autre	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
89	106	27	p089.u01	continuation of p088.u06	3-12	3-12	15	qa/s03/source/p089_authority.png; full PDF 106; scope leaf 27; côté: second half of coprimality proof and both square-factor symbols	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
89	106	27	p089.u02	continuation	14-35	14-35	10	qa/s03/source/p089_authority.png; full PDF 106; scope leaf 27; On a aussi: K/b,L/b, multiplied identities, reversed psi order, epsilon-prime with free signs	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
89	106	27	p089.u03	paragraph-start	37-50	37-50	19	qa/s03/source/p089_authority.png; full PDF 106; scope leaf 27; Comme on a: both roots between ±b/2, t²=chi²s², paired signs and substituting for ±t	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
90	107	28	p090.u01	continuation	3-14	3-14	6	qa/s03/source/p090_authority.png; full PDF 107; scope leaf 28; D’un autre côté: reciprocity sign, multiplying equations, cancelling s²	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
90	107	28	p090.u02	continuation	16-23	16-23	6	qa/s03/source/p090_authority.png; full PDF 107; scope leaf 28; comparison with delta-prime: labelled zeta-prime and both product tests	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
90	107	28	p090.u03	continuation	25-35	25-35	22	qa/s03/source/p090_authority.png; full PDF 107; scope leaf 28; Cette proposition: divisible case, exact b powers k and h, definitions of primed quantities and product	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
90	107	28	p090.u04	continuation; word divided at source page boundary	37-51	37-51	15	qa/s03/source/p090_authority.png; full PDF 107; scope leaf 28; Il faut: k greater-or-double-equal h versus k<h, all three b-power factorizations, reuse of h, ending der-	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
91	108	29	p091.u01	continuation of p090.u04; completes der-/nière	3-13	3-13	16	qa/s03/source/p091_authority.png; full PDF 108; scope leaf 29; nière: product m²b^r(g²+bh²), impossibility of both factors divisible, paired signs and E/K factorization	SOURCE_CONFIRMED	FULL_CORRESPONDENCE_REVIEWED
