check	status	evidence	scope
S02_INTAKE_BYTES_HASH_CRC_BINDINGS	PASS	qa/s03/S02_INTAKE_VALIDATION.json	Prompt03 only; independent final cold audit still required
CONTROLS00_09_AND_LITERAL_PROMPT03_READ	PASS	qa/s03/INSTRUCTION_READ_RECEIPT.json	Prompt03 only; independent final cold audit still required
IMMUTABLE_ORIGINALS21_UNCHANGED	PASS	qa/s03/IMMUTABLE_INPUT_PRESERVATION.tsv	Prompt03 only; independent final cold audit still required
PRIOR517_MEMBER_BYTES_PRESERVED	PASS	qa/s03/S02_MEMBER_PRESERVATION.tsv	Prompt03 only; independent final cold audit still required
EXACT_ONCE36_LEAVES_34_AUTHOR_2_COPY	PASS	ledgers/TOPOLOGY.tsv	Prompt03 only; independent final cold audit still required
DIRECT_SOURCE87_98_FRENCH_AND_ENGLISH	PASS	qa/s03/SOURCE_LINE_AUDIT.tsv	Prompt03 only; independent final cold audit still required
547_NEW_PAIRED_MATH_SEGMENTS	PASS	qa/s03/FORMULA_AUDIT.tsv	Prompt03 only; independent final cold audit still required
APPARATUS34_PAGE_RECORDS	PASS	apparatus/CATALOGUE.tsv	Prompt03 only; independent final cold audit still required
MANDATED_SEAMS_AND_NEW_BOUNDARIES	PASS	qa/s03/PAGE_SEAM_AUDIT.tsv	Prompt03 only; independent final cold audit still required
PDF115_IS_PRINTED98_PDF116_EXCLUDED	PASS	qa/s03/BOUNDARY_RECEIPT.json	Prompt03 only; independent final cold audit still required
SIX_FINAL_XELATEX_PASSES_CLEAN	PASS	qa/s03/BUILD_RUNS.json	Prompt03 only; independent final cold audit still required
ALL72_OUTPUT_PAGES_RENDERED_AND_REVIEWED	PASS	qa/s03/VISUAL_AUDIT.tsv	Prompt03 only; independent final cold audit still required
ALL44_PRIOR_AUTHOR_PAGES_PIXEL_TEXT_IDENTICAL	PASS	qa/s03/S02_READER_REGRESSION.tsv	Prompt03 only; independent final cold audit still required
RETAINED_SOURCE_ISSUES_LITERAL	PASS	qa/s03/RETAINED_SOURCE_ISSUES.tsv	Prompt03 only; independent final cold audit still required
NO_PROMPT04_EXECUTION	PASS	state/CURSOR.json	Prompt03 only; independent final cold audit still required
