printed_page	layer	path	sha256	disposition	apparatus
66	fr	editions/fr/pages/p066.tex	586434BF206814EAB0B4D30006E60AF66E6E37F476D78F0C6B9FD6F927A9C7EC	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p066.md
66	en	editions/en/pages/p066.tex	70144AAB0D207FCEE5F0DA610D19E340697FC21F39B17C7E8CFFE758D868A482	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p066.md
70	fr	editions/fr/pages/p070.tex	4319A650B197727BDE64F965E54C8546A2DDA8D5DCEC072BC1601CE12F0AB44F	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p070.md
70	en	editions/en/pages/p070.tex	22EA3CABB55C8762BA7EFB569B7A62D97AF7B8EA158A77F81CE5EC574D3D87B1	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p070.md
77	fr	editions/fr/pages/p077.tex	762412E086744165772ABC2F75092E45344949038D8C1BFDD384B2FF5C617396	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p077.md
77	en	editions/en/pages/p077.tex	DE9F69D6AF6C9A46F61156B857DFDABD93991F6618C4F77B71666EB766FF633C	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p077.md
82	fr	editions/fr/pages/p082.tex	2553FCD275BE37EEA038335D5A5F8B4492F2EC57B996EF2BB4DD8305EABFDC2C	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p082.md
82	en	editions/en/pages/p082.tex	344BADCE98313D2A07EE3D8E2ED0074E368F70C386DDE011F3D76FA00C061922	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p082.md
85	fr	editions/fr/pages/p085.tex	5AEFE0C09EE08C586878AAC5CEC499FB3644BAD2BF14CB1C6EE9605AD2EF76D1	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p085.md
85	en	editions/en/pages/p085.tex	967F4BB96B82D33979C03183AA800592A41606293718F7493172FDDCC2B8BF80	PRINTED_READING_UNCHANGED_FROM_ACCEPTED_S02	apparatus/pages/p085.md
