id,isv,addition,partOfSpeech,type,en,sameInLanguages,genesis,ru,be,uk,pl,cs,sk,sl,hr,sr,mk,bg,cu,de,nl,eo,frequency,intelligibility,using_example
5101,a takože,,conj.,1,as well as,,,а также,а таксама,а також,"oraz, a także","a takže, a také, jakož i","a tiež, ako aj, práve tak ako, rovnako ako","in, pa tudi, kot tudi, ravno tako kot","kao i, također","као и, а такође, исто","како и, исто така како, такуѓере","както и, също така",тожде,"und auch, sowie",evenals,"kaj ankaŭ, sed ankaŭ",7609,be+ bg- cs~ hr+ pl+ ru+ sk+ sl- sr+ uk+,"The user's query is empty. To help me provide the information you're looking for, please specify what you would like me to generate for this cell."
1855,a,,conj.,1,"and, but",,,"а, да","а, і, ды","і, та, але",a,"ale, a (odporovací)","ale, no, a (odporovacie), jednako, avšak","in, a","a, i ","а, и","а, и, но",а,"а, и","und, aber","en, maar","kaj, sed",8531,be+ bg+ cs~ hr+ hsb+ mk+ pl+ ru+ sk- sl+ sr+ uk+,!
24020,abak,,m.,1,abacus,v z j,I,"счёты, абак, абака",абак,"рахівниця, абак","abak, abakus","počítadlo, abakus","počítadlo, abakus","abak, abakus",abakus,абакус,"сметалка, абакус","сметало, абак",!,Abakus,telraam,abako,1504,be+ bg+ cs- hr+ pl+ ru+ sl+ uk+,!
6114,abažur,,m.,1,lampshade,,F,абажур,абажур,абажур,abażur,"stínidlo, stínítko, abažúr (zastarale)","tienidlo, abažúr (zastaralo)",senčnik,"sjenilo, abažur",абажур,абажур,абажур,!,Lampenschirm,lampenkap,lampoŝirmilo,2030,be+ bg+ cs- hr- mk+ pl+ ru+ sk+ sr+ uk+,!
35658,abdikacija,,f.,1,abdication,,I,"отречение, абдикация, сложение полномочий","абдыкацыя, вырачэнне, адрачэнне, адпінанне, выраканне, выцуранне, зраканне, цуранне","відречення, зречення",abdykacja,abdikace,abdikácia,odstop,abdikacija,одрицање,"абдикација, одрекување, откажување",абдикация,отреченїе,Abdankung,"aftreden, abdicatie",abdiko,2378,be+ cs+ hr+ mk+ pl+ ru+,!
11,abdikovati,,v.intr. ipf./pf.,1,abdicate,,I,отрекаться,адракацца,відрекатися,abdykować,abdikovat,abdikovať,odstopiti,abdicirati,одрицати,"абдицира, откажува",абдикирам,"отрицатьсѧ, ѿметатисѧ, отрекатьсѧ",abdanken,"aftreden, abdiceren",abdiki,2445,cs+ hr+ pl+,!
35691,abeceda,,f.,2,alphabet (usually Latin),,,алфавит (обычно латиница),"абэцэда, абяцадла, азбука (лацінская)","абетка, алфавіт (зазвичай латинка)",abecadło,abeceda,abeceda,abeceda,"abeceda, alfabet",абецеда,абецеда,азбука (обикновено латиница),"азбоука, азвѣди",Alphabet (gewöhnlich das lateinische),"alfabet (meestal Latijns), abc",aboco,3974,be+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!A je prva bukva latinskoj **abecedy**.
24026,Abhaz,,m.anim.,1,Abkhaz,v z j,,"абхаз, абхазец",абхаз,абхаз,Abchaz,Abcházec,Abcházec,Abhazijec,Abhaz,Абхаз,Абхазиец,абхаз,!,Abchase,Abchaziër,abĥazo,830,be+ bg+ cs+ hr+ pl+ ru+ uk+,!
6165,Abhazija,,f.sg.,1,Abkhazia,v z j,,Абхазия,Абхазія,Абхазія,Abchazja,Abcházie,Abcházsko,Abhazija,Abhazija,Абхазија,Абхазија,Абхазия,Абхаꙁі́ꙗ,Abchasien,Abchazië,Abĥazio,2634,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!Novy Aton jest grad v **Abhaziji**.
36565,abhazsky,,adj.,1,"Abkhaz, Abkhazian",v z j,,абхазский,абхазскі,абхазький,abchaski,abcházský,abcházsky,abhaški,abhaski,абхазијски,абхазиски,абхазки,!,abchasisch,Abchazisch,abĥaza,1332,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!Ešera jest želěznična stancija **Abhazskoj** želěznice.
24029,ablativ,,m.,1,ablative,,I,"отложительный падеж, аблатив (грам.)","адкладны склон, аблатыў (грам.)","аблатив, відкладний відмінок",ablatyw,"ablativ, odlučník ","ablatív (6. pád v ugrofínskych jazykoch, lat.)","ablativ, ločilnik",ablativ,аблатив,аблатив,"аблатив, отделителен падеж",!,Ablativ,ablatief,ablativo,645,be+ bg+ cs~ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
6375,abo,,conj.,2,or,ub pl sk,,"или, либо","або, альбо, ці","або, чи","albo, lub","nebo, či, anebo, aneb, neboli","alebo, či, abo",ali,ili,или,или,или,"або, ай, али, аль, алюбо, ли, любо, ово",oder,of,aŭ,8260,be+ bg- cs+ hr- hsb+ pl+ ru- sk+ sl+ sr- uk+,!
24031,abolicionist,,m.anim.,1,abolitionist,v z j,I,аболиционист,абаліцыяніст,аболіціоніст,abolicjonista,abolicionista,abolicionista,abolicionist,abolicionist,аболиционист,аболиционист,аболиционист,!,Abolitionist,abolitionist,"abolisto, aboliciisto",1032,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
24032,abolicionizm,,m.sg.,1,abolitionism,v z j,I,аболиционизм,абаліцыянізм,аболіціонізм,abolicjonizm,abolicionismus,abolicionizmus,abolicionizem,abolicionizam,аболиционизам,аболиционизам,аболиционизъм,!,Abolitionismus (Bewegung zur Abschaffung der Sklaverei),abolitionisme,"abolismo, aboliciismo",566,be+ bg+ cs+ hr+ mk+ pl+ ru+ sk+ sl+ sr+ uk+,!
34768,abonement,,m.,1,"subscription, season ticket",,F,"абонемент, подписка","абанемент, падпіска","підписка, абонемент","abonament, prenumerata, bilet okresowy","předplatné, permanentka","predplatné, permanentka, odber","naročnina, abonma","pretplata, abonman",претплата,"претплата, сезонски билет","предплата, абонамент",!,Abonnement,abonnement,abono,2811,be+ bg+ cs~ hr+ pl+ ru+ uk+,!
