ledger_id,row_id,target_language,english_concept,source_use_label,branch_weight_proxy,marginal_intelligibility,adverse_evidence,do_not_use_boundary,branch_head,non_claim_boundary,new_branch_head_212dfb,branch_212dfb_source_use_decision
CJK-C7FB-INT-FABLE-0001,CJK-SG-20260706-0015,ja,module homomorphism,source-gated-interlinear-ready-generated-draft,0.82,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Do not shorten to generic `準同型` when module context is needed.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0002,CJK-SG-20260706-0018,ja,group,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Do not use `群` as evidence for group algebra/ring compounds without compound evidence.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0003,term-ja-0040,ja,ring,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Keep `環` separate from field/algebra context in formula-neighboring notes.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0004,CJK-SG-20260706-0001,zh-Hans,simple module,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Do not normalize to `单纯模` without a direct local source hit or reviewer bridge.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0005,CJK-SG-20260706-0002,zh-Hans,free module,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Do not replace module-language with generic free abelian-group language unless formula context requires it.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0006,CJK-SG-20260706-0003,zh-Hans,Lie group,source-gated-interlinear-ready-generated-draft,0.82,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Do not silently convert the saved source form `Lie 群` to `李群`.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0007,CJK-SG-20260706-0004,zh-Hans,group ring/group algebra,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Keep group ring and group algebra senses separate where German/English anchor distinguishes them.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0008,CJK-SG-20260706-0009,zh-Hans,algebra,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Do not collapse algebra/ring rows in formula-neighboring notes.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0009,CJK-SG-20260706-0010,zh-Hans,norm,source-gated-interlinear-ready-generated-draft,0.82,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Do not confuse field norm/group norm/form norm without the formula anchor.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
CJK-C7FB-INT-FABLE-0010,CJK-SG-20260706-0011,zh-Hans,ring of integers,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,Do not use `整环` for ring of integers without a direct context anchor.,"Do not use as approved terminology, native review, source certification, or translation completion.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry Fable/source-use/adverse interlinear ledger under 212dfb; no approval
