row_id,target_language,english_concept,whole_corpus_status,generated_draft_target_rendering,term_alternatives_register_notes,interlinear_or_semiconstructed_scaffold,source_context_citation_or_note,formula_neighboring_usage_note,codepoint_tex_pdf_note,source_body_paths,source_use_label,fable_branch_weight_proxy,marginal_intelligibility_note,branch_head,non_claim_boundary,new_branch_head_212dfb,branch_212dfb_use
CJK-SG-20260706-0015,ja,module homomorphism,source-checked-literal-anchor-generated-draft,加群の準同型,加群の準同型; 加群準同型; 準同型,CJK-PRE::module_homomorphism :: ja[加群の準同型] || zh-Hans[模同态] || ko-src[가군 준동형],Direct Japanese TeX source hit in a flat-module sentence with `A`-module homomorphism notation.,"Formula-neighboring line includes `$A$`, `$M$`, and `f \colon N_1 \to N_2`; keep Japanese text outside math mode and preserve `\colon`/subscripts.",加群の準同型 codepoints: U+52A0 U+7FA4 U+306E U+6E96 U+540C U+578B; keep CJK/fullwidth punctuation outside TeX math mode.; TeX source-body line; CJK text must remain outside math mode; preserve TeX variables/macros/punctuation in math mode; verify CJK font coverage before PDF use.,native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,source-gated-interlinear-ready-generated-draft,0.82,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
CJK-SG-20260706-0018,ja,group,source-body-linked-generated-draft,群,群,CJK-PRE::group :: ja[群] || zh-Hans[群] || ko-src[군 | 군론],native-source-bodies/ja/html-bodies/akira_masuoka_lecture_notes_page_20260704.html :: native-source-bodies/ja/html-bodies/akira_masuoka_lecture_notes_page_20260704.html lines 13|31|129 form `群` count 8; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip :: matsumura-48b9d10bab2d1c2525966cd17d7cf867731a88b0/preamble.tex lines 160|166|292 form `群` count 3; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip :: matsumura-48b9d10bab2d1c2525966cd17d7cf867731a88b0/section10.tex lines 128|164|174|184|348|391|403 form `群` count 7; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip :: matsumura-48b9d10bab2d1c2525966cd17d7cf867731a88b0/section11.tex lines 13|42|45|154|163|177|206|208 form `群` count 26; native-source-bodies/ja/source-arc...,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,"Recovered ja[cjk-unified-ideograph U+7FA4]; original packet note: JP[gap-or-symbolic ]; zh-Hans[cjk-unified-ideograph U+7FA4..U+7FA4]; ko-source[hangul U+AD70..U+B860]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.; Keep target text outside TeX math mode; preserve German/Noether source variables and macros in math mode; verify CJK font coverage before PDF output. Source-archive evidence records zip members/line refs, not quoted source bodies.",native-source-bodies/ja/html-bodies/akira_masuoka_lecture_notes_page_20260704.html; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
term-ja-0040,ja,ring,source-body-linked-generated-draft,環,環,CJK-PRE::ring :: ja[環] || zh-Hans[环] || ko-src[환 | 환론],native-source-bodies/ja/html-bodies/akira_masuoka_lecture_notes_page_20260704.html :: native-source-bodies/ja/html-bodies/akira_masuoka_lecture_notes_page_20260704.html lines 13|31|129 form `環` count 4; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip :: matsumura-48b9d10bab2d1c2525966cd17d7cf867731a88b0/README.md lines 2 form `環` count 1; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip :: matsumura-48b9d10bab2d1c2525966cd17d7cf867731a88b0/matsumura.tex lines 7|42 form `環` count 2; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip :: matsumura-48b9d10bab2d1c2525966cd17d7cf867731a88b0/preamble.tex lines 5|17|74|77|78|81|97|99 form `環` count 9; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525...,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,"Recovered ja[cjk-unified-ideograph U+74B0]; original packet note: JP[gap-or-symbolic ]; zh-Hans[cjk-unified-ideograph U+73AF..U+73AF]; ko-source[hangul U+B860..U+D658]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.; Keep target text outside TeX math mode; preserve German/Noether source variables and macros in math mode; verify CJK font coverage before PDF output. Source-archive evidence records zip members/line refs, not quoted source bodies.",native-source-bodies/ja/html-bodies/akira_masuoka_lecture_notes_page_20260704.html; native-source-bodies/ja/source-archives/Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
CJK-SG-20260706-0001,zh-Hans,simple module,source-body-linked-generated-draft,单模,单模; 简单模; 单纯模; 不可约模,CJK-PRE::simple_module :: ja[単純加群] || zh-Hans[单模] || ko-src[단순 가군],native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/Errata-Al-jabr-1-v1.tex lines 196 form `单模` count 1; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter6.tex lines 18|89|1635|1645|1647|1664|1674|1684 form `单模` count 15; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/prelude.tex lines 77 form `单模` count 1,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,"Recovered zh-Hans[cjk-unified-ideograph U+5355 U+6A21]; original packet note: JP[cjk-unified-ideograph U+52A0..U+7FA4]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+AC00..U+C21C]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.; Keep target text outside TeX math mode; preserve German/Noether source variables and macros in math mode; verify CJK font coverage before PDF output. Source-archive evidence records zip members/line refs, not quoted source bodies.",native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
CJK-SG-20260706-0002,zh-Hans,free module,source-body-linked-generated-draft,自由模,自由模; 自由加群,CJK-PRE::free_module :: ja[自由加群] || zh-Hans[自由模] || ko-src[자유 가군],native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter2.tex lines 917 form `自由模` count 1; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter4.tex lines 1148 form `自由模` count 1; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter6.tex lines 338|340|341|348|371|375|380|445 form `自由模` count 23; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter7.tex lines 127|736|820|825|1031|1068 form `自由模` count 8; native-source-bodies/zh-Hans/...,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,"Recovered zh-Hans[cjk-unified-ideograph U+81EA U+7531 U+6A21]; original packet note: JP[cjk-unified-ideograph U+52A0..U+81EA]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+AC00..U+C790]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.; Keep target text outside TeX math mode; preserve German/Noether source variables and macros in math mode; verify CJK font coverage before PDF output. Source-archive evidence records zip members/line refs, not quoted source bodies.",native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
CJK-SG-20260706-0003,zh-Hans,Lie group,source-checked-literal-anchor-generated-draft,Lie 群,Lie 群; Lie群; 李群,CJK-PRE::lie_group :: ja[リー群] || zh-Hans[Lie 群] || ko-src[리 군],"Direct target-language TeX source hit in a category/topological-group explanation; sufficient for generated-draft/source-context support, not approval.",No local formula on the selected line; nearby TeX macros include \cate{Top}; keep `Lie 群` outside math mode and preserve category macros.,Lie 群 codepoints: U+004C U+0069 U+0065 U+0020 U+7FA4; keep CJK/fullwidth punctuation outside TeX math mode.; TeX source-body line; CJK text must remain outside math mode; preserve TeX variables/macros/punctuation in math mode; verify CJK font coverage before PDF use.,native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,source-gated-interlinear-ready-generated-draft,0.82,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
CJK-SG-20260706-0004,zh-Hans,group ring/group algebra,source-body-linked-generated-draft,群环／群代数,群环; 群代数; 群代數,CJK-PRE::group_ring_group_algebra :: ja[群環／群代数] || zh-Hans[群环／群代数] || ko-src[군환 | 군대수],native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter5.tex lines 783|786|787|799|811|819|820|823 form `群环` count 9; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter5.tex lines 817|819|820 form `群代数` count 3; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter6.tex lines 377 form `群环` count 1; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter7.tex lines 74|481 form `群环` count 3; native-source-bodies/zh-Hans/source-archives/...,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,"Recovered zh-Hans[cjk-unified-ideograph|fullwidth-punctuation U+7FA4 U+73AF U+FF0F U+7FA4 U+4EE3 U+6570]; original packet note: JP[cjk-unified-ideograph U+4EE3..U+FF0F]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+AD70..U+D658]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.; Keep target text outside TeX math mode; preserve German/Noether source variables and macros in math mode; verify CJK font coverage before PDF output. Source-archive evidence records zip members/line refs, not quoted source bodies.",native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
CJK-SG-20260706-0009,zh-Hans,algebra,source-body-linked-generated-draft,代数,代数,CJK-PRE::algebra :: ja[代数] || zh-Hans[代数] || ko-src[대수 | 대수학],native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/AJbook.cls lines 1 form `代数` count 1; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/AJerrata.cls lines 1 form `代数` count 1; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/Al-jabr-1.tex lines 4|11|77 form `代数` count 3; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/Al-jabr.bib lines 157|544|798|1023|1031|1054 form `代数` count 6; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_a...,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,"Recovered zh-Hans[cjk-unified-ideograph U+4EE3 U+6570]; original packet note: JP[cjk-unified-ideograph U+4EE3..U+6570]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+B300..U+D559]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.; Keep target text outside TeX math mode; preserve German/Noether source variables and macros in math mode; verify CJK font coverage before PDF output. Source-archive evidence records zip members/line refs, not quoted source bodies.",native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
CJK-SG-20260706-0010,zh-Hans,norm,source-checked-literal-anchor-generated-draft,范数,范数; norm,CJK-PRE::norm :: ja[ノルム] || zh-Hans[范数] || ko-src[노름 | norm],Direct target-language TeX source hit in a norm/trace definition with symbolic `Nm`; supports algebraic norm register.,"Formula-neighboring line includes `\Nm`; preserve macro and subscripts in math mode, with `范数` outside math mode.",范数 codepoints: U+8303 U+6570; keep CJK/fullwidth punctuation outside TeX math mode.; TeX source-body line; CJK text must remain outside math mode; preserve TeX variables/macros/punctuation in math mode; verify CJK font coverage before PDF use.,native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,source-gated-interlinear-ready-generated-draft,0.82,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
CJK-SG-20260706-0011,zh-Hans,ring of integers,source-body-linked-generated-draft,整数环,整数环; 代数整数环; 整环,CJK-PRE::ring_of_integers :: ja[整数環] || zh-Hans[整数环] || ko-src[정수환],native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter10.tex lines 184|1118 form `整数环` count 2; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter10.tex lines 363|631|712|721|1390|1393|1454 form `整环` count 7; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter5.tex lines 10|363|416|687|778|959|1044|1365 form `整数环` count 8; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip :: AlJabr-1-ae1e8747164059b35c19a2d5a7e4605be535517b/chapter5.tex lines 199|200|337|344|350|361|413|713 form `整环` c...,Use scaffold only beside already anchored formulas; preserve TeX macros/variables; keep CJK/Hangul outside math mode; verify font coverage before PDF use.,"Recovered zh-Hans[cjk-unified-ideograph U+6574 U+6570 U+73AF]; original packet note: JP[cjk-unified-ideograph U+6570..U+74B0]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+C218..U+D658]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.; Keep target text outside TeX math mode; preserve German/Noether source variables and macros in math mode; verify CJK font coverage before PDF output. Source-archive evidence records zip members/line refs, not quoted source bodies.",native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; native-source-bodies/zh-Hans/source-archives/wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,source-gated-interlinear-ready-generated-draft,0.68,usable as source-gated generated-draft/interlinear support only; reviewer/native authority absent,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry source-gated generated-draft/non-canonical interlinear row; no row promotion or source certification
