row_id,target_language,english_concept,whole_corpus_status,blocker_status,generated_draft_rendering,reason_not_advanced,next_recovery_or_review_action,branch_head,non_claim_boundary,new_branch_head_212dfb,branch_212dfb_use
CJK-SG-20260706-0014,ja,right module,source-body-linked-generated-draft,retained-review/source blocker,右加群,visual/source review of PDF pages before row promotion,visual/source review of PDF pages before row promotion,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
CJK-SG-20260706-0016,ja,group algebra,source-body-linked-generated-draft,retained-review/source blocker,群代数／群環,visual/source review of PDF pages before row promotion; obtain stronger direct row-context source before using as direct translation evidence,visual/source review of PDF pages before row promotion; obtain stronger direct row-context source before using as direct translation evidence,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
CJK-SG-20260706-0019,ja,division ring,retained-blocker-adverse-false-positive,retained-blocker-false-positive,斜体,"The literal hit says theorem-environment alphabet should not be italic; it is typography/style evidence, not division-ring terminology.","Search additional Japanese algebra source bodies for `斜体`, `除法環`, `可除環`, or another explicit division-ring register before draft advancement.",c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
term-ja-0003,ja,localization,source-canon-insufficient-recovery,source-canon-insufficient,局所化,"{""insufficiency_subtype"": ""row_scope_source_anchor_gap"", ""missing_source_evidence"": ""Need a direct Lokalisierung/localization source anchor or explicit reviewer bridge. Quotient ring, ideal quotient, and R_a-adjacent evidence remain adjacent only."", ""next_source_acquisition_action"": ""Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row."", ""target_language_witnesses_or_weak_leads"": [{""evidence_tier"": ""tier_1_source_archive_or_tex_repository"", ""gap_or_blocker_note"": [""This is a secondary Japanese source witness, not a native review or canonical glossary."", ""No retained German blocker is closed from the source package without direct row-anchor mapping.""], ""is_pdf_docx_or_text_fallback"": false, ""is_source_level_tex_or_archive"": true, ""license_or_access_sig...",Continue source recovery and exact row-context search before source-gated draft use.,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
term-ja-0009,ja,tensor product,source-canon-insufficient-recovery,source-canon-insufficient,テンソル積,"{""insufficiency_subtype"": ""row_scope_source_anchor_gap"", ""missing_source_evidence"": ""Need a direct source anchor for Tensor/Tensorprodukt/tensor product in the relevant German/local source or an explicit reviewer bridge. Noisy \\otimes, crossed-product, direct-product, product theorem, product-ring, Kronecker-product matrix, and module-symbol passages remain non-anchor evidence."", ""next_source_acquisition_action"": ""Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row."", ""target_language_witnesses_or_weak_leads"": [{""evidence_tier"": ""tier_1_source_archive_or_tex_repository"", ""gap_or_blocker_note"": [""This is a secondary Japanese source witness, not a native review or canonical glossary."", ""No retained German blocker is closed from the source package witho...",Continue source recovery and exact row-context search before source-gated draft use.,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
term-ja-0018,ja,Noether/Noetherian,source-canon-insufficient-recovery,source-canon-insufficient,ネーター／Noetherian,"{""insufficiency_subtype"": ""row_scope_source_anchor_gap"", ""missing_source_evidence"": ""Need direct Noetherian-ring/Noetherian row evidence. Noether person-name, title, or fundamental-theorem context remains source/context evidence only."", ""next_source_acquisition_action"": ""Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row."", ""target_language_witnesses_or_weak_leads"": [{""evidence_tier"": ""tier_1_source_archive_or_tex_repository"", ""gap_or_blocker_note"": [""This is a secondary Japanese source witness, not a native review or canonical glossary."", ""No retained German blocker is closed from the source package without direct row-anchor mapping.""], ""is_pdf_docx_or_text_fallback"": false, ""is_source_level_tex_or_archive"": true, ""license_or_access_signal"": ""Reposi...",Continue source recovery and exact row-context search before source-gated draft use.,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
term-ja-0019,ja,Noetherian,source-canon-insufficient-recovery,source-canon-insufficient,ネーター的,"{""insufficiency_subtype"": ""row_scope_source_anchor_gap"", ""missing_source_evidence"": ""Need direct Noetherian-ring/Noetherian row evidence. Noether person-name, title, or fundamental-theorem context remains source/context evidence only."", ""next_source_acquisition_action"": ""Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row."", ""target_language_witnesses_or_weak_leads"": [{""evidence_tier"": ""tier_1_source_archive_or_tex_repository"", ""gap_or_blocker_note"": [""This is a secondary Japanese source witness, not a native review or canonical glossary."", ""No retained German blocker is closed from the source package without direct row-anchor mapping.""], ""is_pdf_docx_or_text_fallback"": false, ""is_source_level_tex_or_archive"": true, ""license_or_access_signal"": ""Reposi...",Continue source recovery and exact row-context search before source-gated draft use.,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
term-ja-0020,ja,Noetherian/Noether,source-canon-insufficient-recovery,source-canon-insufficient,ネーター的／ネーター,"{""insufficiency_subtype"": ""row_scope_source_anchor_gap"", ""missing_source_evidence"": ""Need direct Noetherian-ring/Noetherian row evidence. Noether person-name, title, or fundamental-theorem context remains source/context evidence only."", ""next_source_acquisition_action"": ""Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row."", ""target_language_witnesses_or_weak_leads"": [{""evidence_tier"": ""tier_1_source_archive_or_tex_repository"", ""gap_or_blocker_note"": [""This is a secondary Japanese source witness, not a native review or canonical glossary."", ""No retained German blocker is closed from the source package without direct row-anchor mapping.""], ""is_pdf_docx_or_text_fallback"": false, ""is_source_level_tex_or_archive"": true, ""license_or_access_signal"": ""Reposi...",Continue source recovery and exact row-context search before source-gated draft use.,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
term-ja-0025,ja,Harish-Chandra,source-canon-insufficient-recovery,source-canon-insufficient,ハリシュ＝チャンドラ,"{""insufficiency_subtype"": ""row_scope_source_anchor_gap"", ""missing_source_evidence"": ""Need a direct German/local corpus anchor or explicit reviewer bridge for Harish-Chandra."", ""next_source_acquisition_action"": ""Search the German/local baseline, repair witnesses, source-control notes, and target-language source shelf for an exact row anchor; keep source witness metadata but do not promote the row."", ""target_language_witnesses_or_weak_leads"": [{""evidence_tier"": ""tier_1_source_archive_or_tex_repository"", ""gap_or_blocker_note"": [""This is a secondary Japanese source witness, not a native review or canonical glossary."", ""No retained German blocker is closed from the source package without direct row-anchor mapping.""], ""is_pdf_docx_or_text_fallback"": false, ""is_source_level_tex_or_archive"": true, ""license_or_access_signal"": ""Repository page lists GPL-3.0; LICENSE present; repository archived...",Continue source recovery and exact row-context search before source-gated draft use.,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
CJK-SG-20260706-0005,zh-Hans,Artin/Artinian,source-body-linked-generated-draft,retained-review/source blocker,Artin／Artinian,review register/partial-literal status against source context,review register/partial-literal status against source context,c7fb7e644e04102b67cc5da379ba9d4226feaef8,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,carry review/recovery row; do not advance without source/reviewer evidence
