blocker_id,row_id,target_language,english_concept,blocker_status,probe_terms,source_paths_checked,source_paths_present,source_paths_missing,source_paths_readable_or_listable,pdf_review_required_paths,literal_hit_terms,literal_hit_paths,literal_hit_total,source_use_decision,next_recovery_or_review_action,codepoint_tex_pdf_note,fable_branch_weight_proxy,marginal_intelligibility_note,adverse_evidence_note,branch_head,non_claim_boundary,new_branch_head_212dfb,branch_212dfb_recovery_effect
CJK-WC-BLOCK-0001,CJK-SG-20260706-0014,ja,right module,retained-review/source blocker,右加群; 右 A 加群; 右R加群; 右 A 加群 (literal; 右.{0; 8}加群 (normalized_regex; 右加群 (literal; 加群,15,10,5,9,6,加群,language-source-bodies\cjk\native-source-bodies\ja\html-bodies\akira_masuoka_lecture_notes_page_20260704.html; language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,61,literal hits found but require row-context/source review before draft advancement,visual/source review of PDF pages before row promotion,"Recovered ja[cjk-unified-ideograph U+53F3 U+52A0 U+7FA4]; original packet note: JP[gap-or-symbolic ]; zh-Hans[cjk-unified-ideograph U+53F3..U+6A21]; ko-source[hangul U+AC00..U+CABD]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.",0.25,blocked/recovery row; intelligibility support only after source-context review,Do not promote from PDF extraction alone; keep left/right module orientation explicit near formulas.,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0002,CJK-SG-20260706-0016,ja,group algebra,retained-review/source blocker,群代数／群環; 群代数; 群環; 群多元環; 群.{0; 4}代数 (normalized_regex; 4}環 (normalized_regex; group algebra,15,10,5,9,6,,,0,no searchable literal closure; PDF bodies present but require visual/source review,visual/source review of PDF pages before row promotion; obtain stronger direct row-context source before using as direct translation evidence,"Recovered ja[cjk-unified-ideograph|fullwidth-punctuation U+7FA4 U+4EE3 U+6570 U+FF0F U+7FA4 U+74B0]; original packet note: JP[gap-or-symbolic ]; zh-Hans[cjk-unified-ideograph U+4EE3..U+7FA4]; ko-source[hangul U+AD70..U+C218]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.",0.15,blocked/recovery row; intelligibility support only after source-context review,Do not merge group algebra and group ring unless the source formula/context permits it.,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0003,CJK-SG-20260706-0019,ja,division ring,retained-blocker-false-positive,斜体; 可除環; 除法環; 非可換体; division ring,9,9,0,9,6,斜体,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,1,retained adverse/false-positive until explicit algebraic source context is found,"Search additional Japanese algebra source bodies for `斜体`, `除法環`, `可除環`, or another explicit division-ring register before draft advancement.",斜体 codepoints: U+659C U+4F53; keep CJK/fullwidth punctuation outside TeX math mode.,0.05,blocked/recovery row; intelligibility support only after source-context review,"The literal hit says theorem-environment alphabet should not be italic; it is typography/style evidence, not division-ring terminology.",8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0004,term-ja-0003,ja,localization,source-canon-insufficient,局所化; 局所環; localization; Lokalisierung,10,9,1,9,6,局所化; 局所環,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,23,literal or weak hits do not close retained blocker without direct German/local row anchor or reviewer bridge,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0005,term-ja-0009,ja,tensor product,source-canon-insufficient,テンソル積; テンソル; tensor; \otimes; Tensorprodukt,10,9,1,9,6,\otimes; tensor; テンソル; テンソル積,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,55,literal or weak hits do not close retained blocker without direct German/local row anchor or reviewer bridge,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0006,term-ja-0018,ja,Noether/Noetherian,source-canon-insufficient,ネーター／Noetherian; ネーター環 for Noetherian ring; Noether; Noetherian; ネーター; ネータ; ネーター環,10,9,1,9,6,Noether; ネータ; ネーター; ネーター環,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,39,literal Noether hits remain person/name/title-adjacent unless row context proves Noetherian-ring usage,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0007,term-ja-0019,ja,Noetherian,source-canon-insufficient,ネーター的; Noetherian; ネーター; Noether; ネータ; ネーター環,10,9,1,9,6,Noether; ネータ; ネーター; ネーター環,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,39,literal Noether hits remain person/name/title-adjacent unless row context proves Noetherian-ring usage,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0008,term-ja-0020,ja,Noetherian/Noether,source-canon-insufficient,ネーター的／ネーター; Noetherian; Noether; ネーター; ネータ; ネーター環,10,9,1,9,6,Noether; ネータ; ネーター; ネーター環,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip,39,literal Noether hits remain person/name/title-adjacent unless row context proves Noetherian-ring usage,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0009,term-ja-0025,ja,Harish-Chandra,source-canon-insufficient,ハリシュ＝チャンドラ; Harish-Chandra; Harish; ハリシュ; チャンドラ,10,9,1,9,6,,,0,no searchable literal closure; PDF bodies present but require visual/source review,Continue source recovery and exact row-context search before source-gated draft use.,Keep CJK text outside TeX math mode; preserve formula macros/variables in math mode; verify CJK-capable fonts before PDF use.,0.10,blocked/recovery row; intelligibility support only after source-context review,,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
CJK-WC-BLOCK-0010,CJK-SG-20260706-0005,zh-Hans,Artin/Artinian,retained-review/source blocker,Artin／Artinian; Artin; Artinian; 阿廷; 阿丁; 阿廷环; Artin环,9,4,5,3,0,Artin; Artinian,language-source-bodies\cjk\native-source-bodies\ja\source-archives\Seasawher_matsumura_48b9d10bab2d1c2525966cd17d7cf867731a88b0.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-1_ae1e8747164059b35c19a2d5a7e4605be535517b.zip; language-source-bodies\cjk\native-source-bodies\zh-Hans\source-archives\wenweili_AlJabr-2_adc65ba29255f04d669a8f8a88d9fa30b71aec5b.zip,82,literal hits found but require row-context/source review before draft advancement,review register/partial-literal status against source context,"Recovered zh-Hans[fullwidth-punctuation|latin U+0041 U+0072 U+0074 U+0069 U+006E U+FF0F U+0041 U+0072 U+0074 U+0069 U+006E U+0069 U+0061 U+006E]; original packet note: JP[cjk-unified-ideograph|kana U+30A2..U+FF0F]; zh-Hans[gap-or-symbolic ]; ko-source[hangul U+B974..U+D658]. Missing branches remain GAP; keep CJK/Hangul outside TeX math mode; preserve TeX macros, variables, and formula punctuation in math mode.",0.25,blocked/recovery row; intelligibility support only after source-context review,Do not use `阿廷` or `阿丁` as accepted Chinese renderings from the current local hit set alone.,8f7d1cb30ca4347812d05bfbe110b134bb758870,generated-draft/non-canonical/not native reviewed/not accepted terminology/not canonical approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not translation completion,212dfb1c7728f7c23274714434aa35d590e1aab7,unchanged by 212dfb; continue exact JP/zh-Hans source recovery or row-context review
