id,paper,language,printed_page,latex,status
dirichlet.v1.p04b.eq.001,IVb,fr,75,"\leg{E}{b}=1,\qquad \leg{F}{b}=1.",typed
dirichlet.v1.p04b.en.eq.001,IVb,en,75,"\leg{E}{b}=1,\qquad \leg{F}{b}=1.",translated_text_same_formula
dirichlet.v1.p04b.eq.002,IVb,fr,75,"\leg{K}{b}=1,\qquad \leg{L}{b}=1.",typed
dirichlet.v1.p04b.en.eq.002,IVb,en,75,"\leg{K}{b}=1,\qquad \leg{L}{b}=1.",translated_text_same_formula
dirichlet.v1.p04b.eq.003,IVb,fr,75,"\leg{EK}{b}=1,\qquad \leg{FL}{b}=1,",typed
dirichlet.v1.p04b.en.eq.003,IVb,en,75,"\leg{EK}{b}=1,\qquad \leg{FL}{b}=1,",translated_text_same_formula
dirichlet.v1.p04b.eq.004,IVb,fr,75,"(\delta)\qquad \leg{t+\psi}{b}=1,\qquad \leg{t-\psi}{b}=1.",typed
dirichlet.v1.p04b.en.eq.004,IVb,en,75,"(\delta)\qquad \leg{t+\psi}{b}=1,\qquad \leg{t-\psi}{b}=1.",translated_text_same_formula
dirichlet.v1.p04b.eq.005,IVb,fr,75,"(\delta')\qquad t\pm\psi\equiv0\pmod b,\qquad \leg{t\mp\psi}{b}=1.",typed
dirichlet.v1.p04b.en.eq.005,IVb,en,75,"(\delta')\qquad t\pm\psi\equiv0\pmod b,\qquad \leg{t\mp\psi}{b}=1.",translated_text_same_formula
dirichlet.v1.p04b.eq.006,IVb,fr,76,"\leg{\psi+t}{b}=1,\qquad \leg{\psi-t}{b}=-1.",typed
dirichlet.v1.p04b.en.eq.006,IVb,en,76,"\leg{\psi+t}{b}=1,\qquad \leg{\psi-t}{b}=-1.",translated_text_same_formula
dirichlet.v1.p04b.eq.007,IVb,fr,76,"\leg{t}{b}=\leg{\chi}{b},\qquad \leg{\chi+\psi}{b}=1,",typed
dirichlet.v1.p04b.en.eq.007,IVb,en,76,"\leg{t}{b}=\leg{\chi}{b},\qquad \leg{\chi+\psi}{b}=1,",translated_text_same_formula
dirichlet.v1.p04b.eq.008,IVb,fr,76,\leg{t}{b}=\leg{\chi(\chi+\psi)}{b}.,typed
dirichlet.v1.p04b.en.eq.008,IVb,en,76,\leg{t}{b}=\leg{\chi(\chi+\psi)}{b}.,translated_text_same_formula
dirichlet.v1.p04b.eq.009,IVb,fr,76,"\leg{t}{b}=-\leg{\chi}{b},\qquad \leg{\psi+\chi}{b}=-1,",typed
dirichlet.v1.p04b.en.eq.009,IVb,en,76,"\leg{t}{b}=-\leg{\chi}{b},\qquad \leg{\psi+\chi}{b}=-1,",translated_text_same_formula
dirichlet.v1.p04b.eq.010,IVb,fr,76,\leg{t}{b}=\leg{\chi(\chi+\psi)}{b}.,typed
dirichlet.v1.p04b.en.eq.010,IVb,en,76,\leg{t}{b}=\leg{\chi(\chi+\psi)}{b}.,translated_text_same_formula
dirichlet.v1.p04b.eq.011,IVb,fr,76,\leg{t}{b}=1\quad\hbox{ou}\quad \leg{t}{b}=-1.,typed
dirichlet.v1.p04b.en.eq.011,IVb,en,76,\leg{t}{b}=1\quad\hbox{ou}\quad \leg{t}{b}=-1.,translated_text_same_formula
dirichlet.v1.p04b.eq.012,IVb,fr,77,\leg{t}{b}=\leg{\chi(\chi+\psi)}{b}.,typed
dirichlet.v1.p04b.en.eq.012,IVb,en,77,\leg{t}{b}=\leg{\chi(\chi+\psi)}{b}.,translated_text_same_formula
dirichlet.v1.p04b.eq.013,IVb,fr,77,"t\pm\psi\equiv0\pmod b,\qquad \leg{t\mp\psi}{b}=1.",typed
