path_id,filename,status,additions,deletions,changes,top_category,lane_classification,r9_route_signal,source_or_ocr_signal,direct_r9_source_body_signal,classification_note,source_use_label
R9-9737E10C-PATH-0001,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/B3_HANDOFF_SENT_6034C6B4.md,added,15,0,15,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0002,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/B3_PACKAGE_ROOT_SUMMARY_6034C6B4.csv,added,10,0,10,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0003,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/B3_PACKAGE_SUMMARY_6034C6B4.csv,added,2,0,2,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0004,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/BRANCH_COMPARE_SUMMARY_6034C6B4.csv,added,2,0,2,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0005,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/CHILD_LANE_PACKET_INVENTORY_6034C6B4.csv,added,14,0,14,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0006,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/CHILD_PACKET_CSV_ROW_COUNTS_6034C6B4.csv,added,704,0,704,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0007,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/EIGHT_LANE_ROUTING_STATUS_6034C6B4.csv,added,9,0,9,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0008,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/EXACT_BLOCKER_RECOVERY_ROWS_6034C6B4.csv,added,5,0,5,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0009,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/MANIFEST.csv,added,14,0,14,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0010,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/PACKET_MANIFEST_REPLAY_6034C6B4.csv,added,14,0,14,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0011,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/README.md,added,10,0,10,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0012,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/SHA256SUMS.txt,added,13,0,13,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
R9-9737E10C-PATH-0013,coordination/non-slavic-core-6034c6b4-19b2-second-wave-visibility-route-20260707/NON_SLAVIC_CORE_6034C6B4_19B2_SECOND_WAVE_VISIBILITY_ROUTE_20260707/SIBLING_WAKE_LEDGER_6034C6B4.csv,added,3,0,3,coordination,slavic_watcher,false,false,false,non-R9 or cross-lane package visibility context,branch-visible path classification; not source certification
