"field","value","source","boundary"
"requested_frontier","61f213fafabc80e526dcb5a169b9a5e47732e4d8","frontier-correction wake","requested OLP source-use frontier"
"requested_subject","Add 9F OLP source-use interlinear refresh","git log 61f213fa","package visibility only"
"requested_parent","9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","git log 61f213fa --pretty=%P","prior package lineage"
"prior_frontier","9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","frontier-correction wake","prior OLP source-use/interlinear frontier"
"compare_9f_to_61f_ahead_by","1","frontier-correction wake and git log","route visibility only"
"compare_9f_to_61f_changed_paths","44","frontier-correction wake and git diff","route visibility only"
"compare_9f_to_61f_commit","61f213fa Add 9F OLP source-use interlinear refresh","frontier-correction wake","package visibility only; not reviewer/source return"
"coordinator_post_seal_note","no local 61f/9f output packet found in post-seal search","frontier-correction wake","recovery trigger, not failure claim"
"prior_source_use_package","OLP_9F97502E_SOURCE_USE_FABLE_D214_ROUTE_REFRESH_20260707","local artifact lineage","prior source-use/Fable package"
"prior_interlinear_package","OLP_9F97502E_INTERLINEAR_TERMINOLOGY_D214_ROUTE_REFRESH_20260707","local artifact lineage","prior interlinear package"
"companion_review_boundary_package","OLP_61F213FA_REVIEW_BOUNDARY_9F_PACKAGE_VISIBILITY_20260707","local artifact lineage","review-only companion package"
"observed_remote_frontier_after_fetch","a942e99d597d24bdc6fb0822cae5f7716a0f9004","fresh fetch during recovery","B3 package visibility lineage only"
"observed_remote_subject_after_fetch","Add 61F OLP review boundary visibility","git log -1 origin/codex/noether-pc-20260629","B3 package visibility lineage only"
"observed_61f_to_a942_ahead_by","1","git log 61f213fa..origin/codex/noether-pc-20260629","B3 package visibility lineage only"
"observed_61f_to_a942_changed_paths","26","git diff --name-only 61f213fa..origin/codex/noether-pc-20260629","B3 package visibility lineage only"
"real_reviewer_return_rows","0","no direct reviewer/source return evidence changed in OLP lane","zero-claim boundary"
"mapping_count_delta","0","no direct mapping evidence changed in OLP lane","zero-claim boundary"
"translation_count_delta","0","no direct translation evidence changed in OLP lane","zero-claim boundary"
"approval_count_delta","0","no direct approval evidence changed in OLP lane","zero-claim boundary"
