authority_pdf_page	authority_role	comparator_pdf_page	comparator_role	source_volume_page	source_volume_coordinate_definition	paper_folio	paper_folio_coordinate_definition	paper_folio_visibility	running_locator	prompt_id	authority_sha256	work_disposition	copy_matter_disposition	visual_object_policy	major_marker
1	CONTROLLING_IAS_NUMBER22	1	COLLECTED_SPLIT_COMPARISON_ONLY	494	COLLECTED_PAPERS_VOLUME_II_PAGE	143	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	IMPLICIT_TITLE_LEAF	TITLE_LEAF_NO_DERA_LABEL	P01	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Title; byline par P. Deligne et M. Rapoport; notes (1) and (2); Antwerp 1972 congress footer
2	CONTROLLING_IAS_NUMBER22	2	COLLECTED_SPLIT_COMPARISON_ONLY	495	COLLECTED_PAPERS_VOLUME_II_PAGE	144	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-2	P01	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Sommaire begins
3	CONTROLLING_IAS_NUMBER22	3	COLLECTED_SPLIT_COMPARISON_ONLY	496	COLLECTED_PAPERS_VOLUME_II_PAGE	145	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-3	P01	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Sommaire concludes
4	CONTROLLING_IAS_NUMBER22	4	COLLECTED_SPLIT_COMPARISON_ONLY	497	COLLECTED_PAPERS_VOLUME_II_PAGE	146	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-4	P01	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Introduction
5	CONTROLLING_IAS_NUMBER22	5	COLLECTED_SPLIT_COMPARISON_ONLY	498	COLLECTED_PAPERS_VOLUME_II_PAGE	147	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-5	P01	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
6	CONTROLLING_IAS_NUMBER22	6	COLLECTED_SPLIT_COMPARISON_ONLY	499	COLLECTED_PAPERS_VOLUME_II_PAGE	148	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-6	P01	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
7	CONTROLLING_IAS_NUMBER22	7	COLLECTED_SPLIT_COMPARISON_ONLY	500	COLLECTED_PAPERS_VOLUME_II_PAGE	149	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-7	P02	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
8	CONTROLLING_IAS_NUMBER22	8	COLLECTED_SPLIT_COMPARISON_ONLY	501	COLLECTED_PAPERS_VOLUME_II_PAGE	150	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-8	P02	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
9	CONTROLLING_IAS_NUMBER22	9	COLLECTED_SPLIT_COMPARISON_ONLY	502	COLLECTED_PAPERS_VOLUME_II_PAGE	151	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-9	P02	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
10	CONTROLLING_IAS_NUMBER22	10	COLLECTED_SPLIT_COMPARISON_ONLY	503	COLLECTED_PAPERS_VOLUME_II_PAGE	152	ORIGINAL_ANTWERP_PROCEEDINGS_PAGE	VISIBLE	DeRa-10	P02	201E758341C69FC4CD635104B965A67BEDDAF93C295FBEEA36CA37118E174864	INCLUDE_EXACT_WORK	RUNNING_DERA_LOCATOR_AND_PRINTED_FOLIO_EXCLUDE_BODY_RETAIN_PROVENANCE	REPLAY_ALL_FORMULAS_DIAGRAMS_TABLES;_USE_PAIRED_RAW_CROP_DERIVATIVE_IF_EDITABLE_ENCODING_UNSAFE	Scholarly body continuation
