authority_pdf_page	source_volume_page	paper_folio	prompt_id	disposition	source_status	english_status	apparatus_status	final_status	record_sha256_source	record_sha256_english	record_sha256_apparatus
1	494	143	P01	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	7CA2D53A302F20DD9FC99E79513C0ECB6DB6C16EA841EA80451EF3802A1CFB07	9C0005BCAA7E39EEDE1489D52608750BCC098B047F9F7DC496C36C7D04C93BDE	9BFA53EA545A25C4F9365DE9B1DFF1C19702FFB7FEA4E7A64C9128CC6EC9DDFF
2	495	144	P01	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1CA118D5CACFBF239E994B1C033E8DABB413A87CF7D3FAE87F1EE9143092EBAD	FA715B34BE6ED2780094B47A6CD4DE464CFFAA73CEE0503AF83411594E994580	7F18E97E4A8067665BDAFE719F4AAB7539210C151B40F93C65C1633A57FD56D5
3	496	145	P01	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	152EA5C2513F31C384EB63482A5C237A2B2E518BEF5A403D5B2B76243E8BEF61	0B33312B2BF26665E0D6E8CA624F551C7C28C7B34FB135EC5DE6FAA2A5985DEF	67E989CD2FEED57344A5EAB01541938C8FA5FB7F6FE72DD7B1D2189C1BCD747C
4	497	146	P01	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0E817CD4AE8605C5434FD0F027EAC32CB5EEB51D914FBF8FA2A296E858BFFF0D	560FD303DEE7D10118EF3B6719DF78328F6D31568E52ADF35A6BE287883A24D9	D7220190758AAAD03AFFC93F465550168BB64FA5B163E831BC6F9D3CDAF80FB0
5	498	147	P01	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6152C5F3F221690D5A2A2836B8550437F70101D5B99229E569161784A710CFE2	C52FD6BC57D11257D203FCF9C53FD1C4A35D490A411436AA5A4242C79B0A3FFB	ABC5335D526307522D10D8349AD1D28F73A10D469A045F80A8B5891F8C849307
6	499	148	P01	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	8F3AFBB925E23297DCEADC9CD57CE0DEEE019BB7B82B75F688365441D5564654	A39B509F7EBBB578BF7EF3B8A80979DFB7958D44FB6C1D49DD1BBA19529819C8	C32796B1F073A896FC6059B6341298638236FA28C9FECB86F99F48744D50D0E5
7	500	149	P02	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F153B60B1438FEE92C9C6449B5C000FAA437878416E1258E5CA8CF0B86135FE7	20AF8740CC0B202D597E850B361515756E95973074E709D28D5284E848962FDB	1EAE6CDA06889F248DD0A9D71B326692BAB951D17E1CA71E5B990F040B252DAA
8	501	150	P02	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A74A16D48F57AE9FD8837356E8D7305C0243581883A5D3C6FF957AC57D6DD91C	B1BBE976BF1154179D2C2CEBD2991575E17948CB5C15D1B2EAE7642DD2E2CFCF	3CF44DD79EC7F6595D2C9946CC09B48E8EE7AE83EEBB15FF983ED1B6ED49CB52
9	502	151	P02	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	6FEB02AE1B929D2CA0203C0C906201C284A2A9CE07988FCF8C7E0184416807DC	C4D7A6A6CB84C402C4EE4DD1FCF1105D663861ECFFF8A4A6A8E50F6EB7B953D8	706022B21D6932647A00F334646F483C68F5A19687BDF7C7167A702D2F2AB5A2
10	503	152	P02	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2AA032F83C4BFC1540691CF23B95DE11BF77A977F9B5EDB3C16E4DC4B48F4962	A1BEF6B78E8A789402965365033EE30F2A27C549798A04EFEFE8809AB749468A	F85EFE5B7E1F8E9F102E371D5145962BE80790D7311DC3418FEBCDA62AF0147D
