term_id,german_source,korean_rendering,hanja_record,running_text_policy,ko_kr_state,ko_kp_state,sense_window,excluded_senses,evidence_ids,confidence,decision_state,lexical_attractor_basin,mandarin_simplified_dominance_risk_debt
KO-P29-T001,Charakteristik,표수,標數,Hangul only,accepted_internal,unverified_do_not_claim,"Ring or field characteristic; in U01 specifically p or zero.",Euler characteristic or personality trait,KO-P29-E001|KO-P29-E002|KO-P29-E005,high,accepted_for_ko_KR,modern Sino-xenic coinage/calque,"None from the Korean shelf; Chinese P29 excluded as authority."
KO-P29-T002,Integritätsbereich,정역,整域,Hangul only,accepted_internal,unverified_do_not_claim,Commutative domain without zero divisors,geographic domain or generic integer area,KO-P29-E001|KO-P29-E002|KO-P29-E003|KO-P29-E005,high,accepted_for_ko_KR,modern Sino-xenic coinage/calque,"None from the Korean shelf; Chinese P29 excluded as authority."
KO-P29-T003,Körper,체,體,Hangul only,accepted_internal,unverified_do_not_claim,Algebraic field,physical body or style,KO-P29-E002|KO-P29-E003|KO-P29-E005,high,accepted_for_ko_KR,Sino-xenic inherited,"None from the Korean shelf; Chinese P29 excluded as authority."
KO-P29-T004,Modulbasis,가군 생성계,加群 生成系,Hangul plus German label on first occurrence,accepted_core_provisional_compound,unverified_do_not_claim,Finite module generating system in Noether's historical statement; no linear independence or freeness is asserted,software module or free-module basis,KO-P29-E003|KO-P29-E004|KO-P29-E006,medium,source_label_on_first_occurrence,modern Sino-xenic coinage/calque,"Korean 가군 and 유한생성 are independently evidenced; the exact historical compound remains unsupported."
KO-P29-T005,Quotientenkörper,분수체,分數體,Hangul only,accepted_internal,unverified_do_not_claim,Fraction field of a domain,quotient ring or residue field,KO-P29-E002|KO-P29-E003|KO-P29-E005,high,accepted_for_ko_KR,modern Sino-xenic coinage/calque,"None from the Korean shelf; Chinese P29 excluded as authority."
KO-P29-T006,Unterring,부분환,部分環,Hangul only,accepted_internal,unverified_do_not_claim,Subring contained in a ring,subset without ring operations,KO-P29-E003|KO-P29-E005,high,accepted_for_ko_KR,modern Sino-xenic coinage/calque,"None from the Korean shelf; Chinese P29 excluded as authority."
KO-P29-T007,Endlichkeitssatz,유한성 정리,有限性 定理,Hangul only,provisional_compositional,unverified_do_not_claim,Finiteness theorem meaning finite generation of invariant algebra,finite cardinality theorem,KO-P29-E001|KO-P29-E002|KO-P29-E006,medium,accepted_with_sense_window,modern Sino-xenic coinage/calque,"Korean 유한생성 대수 evidence supports the sense window; no Chinese evidence used."
KO-P29-T008,Endlichkeitskriterium,유한성 판정기준,有限性 判定基準,Hangul plus German label on first occurrence,provisional_historical,unverified_do_not_claim,Noether's stated iff criterion for finite generation via integral dependence,algorithmic termination test or finite-cardinality criterion,KO-P29-E006,medium,held_for_human_review,modern Sino-xenic coinage/calque,"Korean 유한생성 대수 and 정수확장 support the modern semantic frame; the historical criterion label remains unsupported and Chinese rendering is not imported."
KO-P29-T009,Integritätsbasis,정수성 기저,整數性 基底,Hangul plus German label on first occurrence,provisional_historical,unverified_do_not_claim,Historical invariant-theory finite algebra generating basis,integral basis of a number field or ordinary vector basis,,low,held_for_human_review,mixed/contested,"High ambiguity debt; no Mandarin evidence used and no cross-language authorization."
KO-P29-T010,Rationalbasis,유리 기저,有理 基底,Hangul plus German label on first occurrence,provisional_historical,unverified_do_not_claim,Finite rational generating basis for a function system or intermediate field,rational-number vector basis,,low,held_for_human_review,mixed/contested,"No Korean compound-specific evidence; Chinese P29 excluded."
KO-P29-T011,Teilerkettensatz,약수사슬정리,,Hangul plus German label on first occurrence,provisional_historical,unverified_do_not_claim,Historical divisor-chain theorem used for integral elements in a finite extension,generic divisibility chain or an unproved identification with ACC/DCC,,low,held_for_human_review,unresolved,"No Korean evidence; no Hanja form promoted."
KO-P29-T012,Wurzelring,근환,根環,Hangul plus German label on first occurrence,provisional_historical,unverified_do_not_claim,Historical root ring in the cited Artin--van der Waerden finiteness condition,radical ideal or root system ring,,low,held_for_human_review,unresolved,"No Korean evidence; Chinese/Japanese forms do not authorize."
KO-P29-T013,Galois'sche Resolvente,갈루아 분해식,,Hangul plus German label on first occurrence,provisional,unverified_do_not_claim,Galois resolvent polynomial whose coefficients generate invariants,splitting field or arbitrary factorization formula,,medium,held_for_human_review,mixed/contested,"Only broad Korean 분해식 usage located; exact compound unsupported."
KO-P29-T014,Relativ-Invarianten,상대 불변식,相對 不變式,Hangul plus German label on first occurrence,provisional_compositional,unverified_do_not_claim,Relative invariants in finite-group invariant theory,relative numerical invariant in other fields,,medium,accepted_with_source_label,modern Sino-xenic coinage/calque,"Korean-specific compound evidence absent; Chinese P29 excluded."
KO-P29-T015,Modular-Invarianten,모듈러 불변식,,Hangul plus German label on first occurrence,provisional,unverified_do_not_claim,Invariants in the modular case where characteristic divides group order,modular forms or software modules,,medium,accepted_with_source_label,global modern loan,"Global loan plus Korean 불변식; Mandarin evidence not used."
KO-P29-T016,projektive Invarianten mod p,법 p의 사영 불변식,射影 不變式,Hangul only,provisional_compositional,unverified_do_not_claim,Projective invariants reduced modulo p,projective-geometric invariant without modular reduction,,medium,accepted_with_quotes,modern Sino-xenic coinage/calque,"Korean-specific compound evidence absent; Chinese P29 excluded."
