"authority_not_claimed","ethics_boundary","lane_scope","next_action","route_or_language"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not generalize across creoles/contact languages; keep named-language source-owner/reviewer route.","creole_contact","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","Bislama / Vanuatu"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not infer community consent or technical register from official-route metadata; require source-owner and language-community/reviewer route before use.","indigenous","continue source-owner/manual/browser recovery; do not widen support","Ecuador Kichwa/CNIB"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not infer community consent or technical register from official-route metadata; require source-owner and language-community/reviewer route before use.","indigenous","continue source-owner/manual/browser recovery; do not widen support","Ecuador EIB/CNIB general"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not infer community consent or technical register from official-route metadata; require source-owner and language-community/reviewer route before use.","indigenous","continue source-owner/manual/browser recovery; do not widen support","Paraguay Guarani/PRODEPA"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not infer community consent or technical register from official-route metadata; require source-owner and language-community/reviewer route before use.","indigenous","continue source-owner/manual/browser recovery; do not widen support","Paraguay PRODEPA background"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not copy media, derive signs/stills, or build visual inventory before media/source-owner/license/accessibility/reviewer route.","sign_access","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","ASL algebra/STEM"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not copy media, derive signs/stills, or build visual inventory before media/source-owner/license/accessibility/reviewer route.","sign_access","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","ASL math dictionary"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not copy media, derive signs/stills, or build visual inventory before media/source-owner/license/accessibility/reviewer route.","sign_access","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","DGS math videos"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not copy media, derive signs/stills, or build visual inventory before media/source-owner/license/accessibility/reviewer route.","sign_access","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","DGS corpus dictionary"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not copy media, derive signs/stills, or build visual inventory before media/source-owner/license/accessibility/reviewer route.","sign_access","verify media/source ownership, captions/transcripts, license/access, and sign-community reviewer route before any sign/access support","DGS open dictionary comparator"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not infer community consent or technical register from official-route metadata; require source-owner and language-community/reviewer route before use.","indigenous","continue source-owner/manual/browser recovery; do not widen support","Paraguay Guarani language program"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","Do not infer community consent or technical register from official-route metadata; require source-owner and language-community/reviewer route before use.","indigenous","continue source-owner/manual/browser recovery; do not widen support","Paraguay mathematics program comparator"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","creole_contact","Should MIT-Ayiti matematik be retained as the default classroom-math draft label?","Kreyol / Haitian Creole"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","creole_contact","Should reviewer distinguish anseyman matematik from a shorter classroom label?","Kreyol / Haitian Creole"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","creole_contact","Should this title phrase be reusable as a technical phrase or marked title-only?","Kreyol / Haitian Creole"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","creole_contact","Should official title capitalization/spelling be preserved in running draft notes?","Bislama / Vanuatu"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","creole_contact","Should Saens remain a separate STEM register route in draft notes?","Bislama / Vanuatu"
"native review; accepted terminology; community consent; approval; license clearance; gate promotion; source certification; final status; bridge/pilot; translation completion","do not infer community consent, accepted terminology, source certification, or broad creole/contact authority","creole_contact","Which Bislama math-note spellings need dictionary verification before a reader-side draft?","Bislama / Vanuatu"
