"output_file","source_file","source_exists","source_sha256","output_rows","source_use_label","scope"
"R3_8E839C49_ARABIC_SOURCE_CHECKED_DRAFT_ROWS_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\ARABIC_FAA2C330_6ROW_SOURCE_CHECKED_DRAFT_TABLE_20260706.csv","True","eb973e65e33a3c7af831713a1cd514cb8006217dd8819c59d4c1bf5712128b27","6","generated-draft/non-canonical/source-gated","six Arabic row draft/pretranslation table"
"R3_8E839C49_ARABIC_MANUAL_SOURCE_BLOCKERS_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\ARABIC_FAA2C330_6ROW_MANUAL_SOURCE_BLOCKERS_20260706.csv","True","c5a67055b1b03ad387ca1e3e8a5a0b473425253e812e518acdf15006d5153b76","6","source-review-blocker/gap","six Arabic manual/source-review blocker rows"
"R3_8E839C49_ARABIC_EXACT_BLOCKERS_ACTIVE_RECOVERY_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\ARABIC_FAA2C330_EXACT_BLOCKERS_ACTIVE_RECOVERY_20260706.csv","True","cacb18fd8619199347c6cdca94f33810baef6b2182249ba200e4ccac583c6aba","5","blocker/recovery","Arabic exact blockers and recovery searches"
"R3_8E839C49_ARABIC_SOURCE_WITNESS_INDEX_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\ARABIC_FAA2C330_SOURCE_WITNESS_INDEX_20260706.csv","True","edd62bbcd6777276e3ce5cf0f6e4c1f95b223fab8fab955934a5dba9692236d7","426","source-witness-index/provenance","Arabic source witness index rows"
"R3_8E839C49_ARABIC_ROW_SOURCE_USE_ADVERSE_LEDGER_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\ARABIC_FAA2C330_ROW_SOURCE_USE_ADVERSE_LEDGER_20260706.csv","True","9cd64fd135ff979bd7a2d03d01e30e7067d848833c6c28699183bd330d0c117e","6","source-use/adverse/do-not-use","six-row Arabic source-use/adverse gate ledger"
"R3_8E839C49_ARABIC_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\ARABIC_FAA2C330_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER_20260706.csv","True","a2a27c38dcee993b1a40bbd426652001fc1db2286078c45c5555a359ea1adfe5","2858","Fable/source-use/adverse-evidence/do-not-use","Arabic Fable source-use and adverse-evidence ledger rows"
"R3_8E839C49_ARABIC_RTL_REGISTER_FORMULA_NOTES_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\ARABIC_FAA2C330_RTL_REGISTER_PUNCTUATION_TEXPDF_NOTES_20260706.csv","True","f75555c5f3b76b5e5c6c12b76d204027460b47814e20add374658a33bc148b78","6","rtl/formula-neighboring-note","Arabic RTL/register/punctuation/TeX-PDF notes"
"R3_8E839C49_ARABIC_SOURCE_GATED_MICRO_EVIDENCE_ROWS_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\BRANCH_FAA2_R3_0D_ARABIC_SOURCE_GATED_MICRO_EVIDENCE_ROWS.csv","True","7042285f9511903b4687628a8fb806c0f935456c6e2230fddbe4643f6667867d","61","source-gated-micro-evidence/generated-draft","Arabic source-gated micro-evidence rows"
"R3_8E839C49_ARABIC_FORMULA_INTERLINEAR_NOTES_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\BRANCH_FAA2_R3_0D_ARABIC_FORMULA_INTERLINEAR_NOTES.csv","True","4c81e7f224ac38ee9429de68a2d24eaf5c41ebcc00b62ed6d15bc6e9c9b739ce","61","formula-neighboring/interlinear/generated-draft","Arabic formula-neighboring and interlinear support rows"
"R3_8E839C49_ARABIC_TERM_ALTERNATIVES_SOURCE_GATED_REHEADED.csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706\R3_FD3754D1_FAA2_MULTILANE_CURRENT_HEAD_SOURCE_GATED_AUDIT_20260706_20260706T154915Z\branch_visible_arabic_faa2c330_copy\BRANCH_FAA2_R3_0D_ARABIC_TERM_ALTERNATIVES_SOURCE_GATED.csv","True","cbc089a3fe45e9aaaf0929c68ca98591fb2e413963e93403284953b1d2363794","11","term-alternatives/generated-draft/non-canonical","Arabic term alternative rows"
