"metric","value","note"
"current_frontier","8e839c490e413b64f4d5dad9ebc10c84d14a3dab","B3-verified 8E frontier"
"source_table_count","13","Reheaded source/draft/gap/adverse tables"
"source_table_rows_total","4770","Total rows reheaded from source carriers"
"rows:R3_8E839C49_ARABIC_SOURCE_CHECKED_DRAFT_ROWS_REHEADED.csv","6","generated-draft/non-canonical/source-gated"
"rows:R3_8E839C49_ARABIC_MANUAL_SOURCE_BLOCKERS_REHEADED.csv","6","source-review-blocker/gap"
"rows:R3_8E839C49_ARABIC_EXACT_BLOCKERS_ACTIVE_RECOVERY_REHEADED.csv","5","blocker/recovery"
"rows:R3_8E839C49_ARABIC_SOURCE_WITNESS_INDEX_REHEADED.csv","426","source-witness-index/provenance"
"rows:R3_8E839C49_ARABIC_ROW_SOURCE_USE_ADVERSE_LEDGER_REHEADED.csv","6","source-use/adverse/do-not-use"
"rows:R3_8E839C49_ARABIC_FABLE_SOURCE_USE_ADVERSE_EVIDENCE_LEDGER_REHEADED.csv","2858","Fable/source-use/adverse-evidence/do-not-use"
"rows:R3_8E839C49_ARABIC_RTL_REGISTER_FORMULA_NOTES_REHEADED.csv","6","rtl/formula-neighboring-note"
"rows:R3_8E839C49_ARABIC_SOURCE_GATED_MICRO_EVIDENCE_ROWS_REHEADED.csv","61","source-gated-micro-evidence/generated-draft"
"rows:R3_8E839C49_ARABIC_FORMULA_INTERLINEAR_NOTES_REHEADED.csv","61","formula-neighboring/interlinear/generated-draft"
"rows:R3_8E839C49_ARABIC_TERM_ALTERNATIVES_SOURCE_GATED_REHEADED.csv","11","term-alternatives/generated-draft/non-canonical"
"rows:R3_8E839C49_R3_0D_BLOCKERS_ACTIVE_RECOVERY_ROWS_REHEADED.csv","1156","blocker/recovery/source-gap"
"rows:R3_8E839C49_R3_0D_SOURCE_USE_ADVERSE_LEDGER_REHEADED.csv","162","source-use/adverse/fable-boundary"
"rows:R3_8E839C49_R3_0D_REVIEW_ONLY_BOUNDARY_GUARDS_REHEADED.csv","6","review-only-boundary-guard"
"language_gate_rows","7","Explicit Arabic/fa_IR/Dari/Tajik/Urdu/Ottoman/Pan-Turkic boundary rows"
