check_id	category	status	evidence
archive_identity	source	PASS	D013_AUDITED_COMPLETE_CUMULATIVE_FULL_STATE.zip; bytes=1044442; sha256=6D5FF1E176801CEBBB2AE2BB1F0013AD0BCE071B29C56C878D9AF8473630AD7E
archive_member_ledger_and_extraction	source	PASS	archive_members=17; ledger_rows=17; extraction_files=18; STORE+1980 timestamps; exact CRC/SHA/byte/path matches
inner_manifest	source	PASS	16 self-excluding inner-manifest rows match all non-manifest archive members
register_rows_and_statuses	state	PASS	source_gates=37 accepted; seeded_defects=5 accepted; math/diagram/citation=24 accepted; corrections=14; fallback_rows=0
page_map	state	PASS	physical=1-14; printed=237-250; collected=289-302; prompts={'P01': 6, 'P02': 5, 'P03': 3}
outer_state_cursor	state	PASS	P03 EOF closure; accepted physical pages 1-14; next/untouched page null; 14 corrections; zero fallbacks
pdf_topology	pdf	PASS	authority/readers exact bytes+SHA; pages=14/14/14/3; uniform boxes; rotation=0; no encryption/forms/annotations/JS/attachments/actions; text objects parse
tex_structure_and_standalone_scope	tex	PASS	exact TeX hashes; French/English contiguous physical markers 1-14 with 13 effective page breaks plus macro definition; balanced standalone documents; no external inclusions
source_french_english_math_and_tail	content	PASS	exact titles, seeded-defect loci, both diagrams, canonical 1/q^m point-count encoding, tildes/bars/actions, 19 registered display tags, bibliography/tails and physical EOF retained in both lanes
apparatus_exclusions_fallbacks	content	PASS	14 apparatus correction rows; publication furniture only excluded; authorial tail retained; zero fallback claim agrees with header-only ledger; EOF closed
fresh_nonpatching_cold_builds	build	PASS	2 isolated builds x 2 passes x 3 exact TeX inputs; output hashes stable per document; zero TeX/log box anomalies; engine=['pdfTeX, Version 3.141592653-2.6-1.40.29']
cross_engine_build_equivalence	build	PASS	pdfTeX 1.40.29 raw hashes differ from bundled 1.40.26 as expected; pagewise normalized text and character order exact; coordinate drift <=0.011 pt; rendered changed-channel fraction <=0.001 and max delta <=65
all_page_render_inventory	visual	PASS	76 contiguous 140-dpi page renders: 45 supplied PDF pages plus 31 representative cold-build pages
independent_all_page_visual_review	visual	PASS	authority 14/14, French 14/14, English 14/14, apparatus 3/3 inspected at original detail; formulas/diagrams/tails complete; zero visual defects
known_machine_text_parenthesis_mapping	pdf	PASS	French and English each expose 11 NUL + 11 SOH ToUnicode controls for visually intact scalable math parentheses; visual and source-TeX gates remain authoritative
