"probe_id","surface","target_family","language_access_target","query","query_url","http_status","result_count_or_status","top_result_names_or_titles","top_result_urls","license_access_signal","classification","related_gap_rows","ethics_authority_note","next_gate","blocked_before"
"R6-DISC-GH-001","github_repository_search","Indigenous Americas","Quechua/Kichwa","Quechua mathematics latex","https://api.github.com/search/repositories?q=Quechua%20mathematics%20latex&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-001; R6-GITHUB-GAP-001","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-002","github_repository_search","Indigenous Americas","Aymara","Aymara mathematics latex","https://api.github.com/search/repositories?q=Aymara%20mathematics%20latex&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-001; R6-GITHUB-GAP-001","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-003","github_repository_search","Indigenous Americas","Guarani","Guarani matematica latex","https://api.github.com/search/repositories?q=Guarani%20matematica%20latex&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-001; R6-GITHUB-GAP-001","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-004","github_repository_search","Indigenous Americas","Nahuatl/Hnahnu/Maya/Uspanteko","Nahuatl matematicas latex OR Uspanteko matematicas","https://api.github.com/search/repositories?q=Nahuatl%20matematicas%20latex%20OR%20Uspanteko%20matematicas&per_page=5","200","1","mexicanisimo/Tutoaula","https://github.com/mexicanisimo/Tutoaula","MIT repository license signal from GitHub API; source-body reuse and target-language math corpus status not cleared","candidate_repository_metadata_route_not_strict_witness_source_body_review_required","R6-SRCARCH-GAP-001; R6-GITHUB-GAP-001","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","Manual repository review for target-language Nahuatl mathematical source content, source-body hash/capture policy, source-owner/reviewer route, and B3 package boundary before any witness-table movement.","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-005","github_repository_search","Creole/contact","Kreyol / Haitian Creole","Kreyol matematik latex","https://api.github.com/search/repositories?q=Kreyol%20matematik%20latex&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-002; R6-GITHUB-GAP-002","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-006","github_repository_search","Creole/contact","Bislama","Bislama mathematics latex","https://api.github.com/search/repositories?q=Bislama%20mathematics%20latex&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-002; R6-GITHUB-GAP-002","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-007","github_repository_search","Creole/contact","Papiamento/Papiamentu","Papiamento matematica latex","https://api.github.com/search/repositories?q=Papiamento%20matematica%20latex&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-002; R6-GITHUB-GAP-002","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-008","github_repository_search","Creole/contact","Kreol Morisien / Indian Ocean Creoles","Kreol Morisien matematik latex","https://api.github.com/search/repositories?q=Kreol%20Morisien%20matematik%20latex&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-002; R6-GITHUB-GAP-002","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-009","github_repository_search","Creole/contact","Jamaican Creole / Nigerian Pidgin / Krio / Tok Pisin / Sranan","Jamaican Patois mathematics OR Nigerian Pidgin mathematics OR Krio mathematics OR Tok Pisin mathematics OR Sranan mathematics","https://api.github.com/search/repositories?q=Jamaican%20Patois%20mathematics%20OR%20Nigerian%20Pidgin%20mathematics%20OR%20Krio%20mathematics%20OR%20Tok%20Pisin%20mathematics%20OR%20Sranan%20mathematics&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-002; R6-GITHUB-GAP-002","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
"R6-DISC-GH-010","github_repository_search","Signed language","ASL / ASL-STEM","ASL STEM mathematics source","https://api.github.com/search/repositories?q=ASL%20STEM%20mathematics%20source&per_page=5","200","0","","","","no_repository_hits_returned_for_query","R6-SRCARCH-GAP-003; R6-GITHUB-GAP-003","public search metadata only; no raw source body saved; hits are not source authority, reviewer approval, license clearance, translation support, accepted terms, accepted signs, visual inventory, pilot, completion, or Git push","manual target-language mathematical source review plus license/access and reviewer/source-owner route before any row can move from gap to witness","no source-authority promotion, terms, signs, excerpts, copied media, translation, visual inventory, pilot, completion claim, or Git push"
