"active_row_id","target_family","language_access_target","bucket","scoped_sufficiency_or_gap_scope","coverage_state","strict_witness_count","explicit_gap_count","strict_witness_ids","gap_ids","source_witness_or_gap_basis","known_source_urls","known_local_paths","known_sha256s","license_access_signals","language_topic_evidence","draft_output_route","acquisition_output_route","next_gate","non_claim_boundary"
"R6-ACTIVE-001","Creole/contact","Bislama","source_canon_sufficient_for_scoped_draft_work","Official Vanuatu Matematiks/Saens school math/STEM register only; not higher algebra or invariant theory","retry_capture_plus_explicit_blockers","0","10","","R6-GAP-AUTO-001; R6-GAP-AUTO-002; R6-CR-P2-001; R6-CR-P2-001A; R6-CR-P2-002; R6-CR-P2-002A; R6-CR-P2-003; R6-CR-P2-003A; R6-CR-P2-004; R6-CR-P2-005","R6-BISLAMA-RETRY-001 through R6-BISLAMA-RETRY-006 exact official PDF/index captures with hashes.","","","","","","NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.csv; NOETHER_R6_DRAFT_SUPPORT_INTERLINEAR_SCAFFOLDS_COVERED_ROWS_20260705.csv","","Exact official Matematiks/Saens PDF and Bislama dictionary/index captures are recorded in NOETHER_R6_BISLAMA_OFFICIAL_SOURCE_RETRY_ADDENDUM_20260705.csv; record reviewer/source-owner and reuse/license return before source-authority reader, terms, excerpts, translation, visual inventory, or pilot movement. National curriculum update rows R6-CR-P2-002/R6-CR-P2-002A still require exact capture or retirement.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-002","Creole/contact","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-SRCARCH-GAP-002","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-003","Creole/contact","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GAP-AUTO-003","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-004","Creole/contact","Jamaican Creole / Jamaican Patois","source_canon_insufficient","source_acquisition_or_gap_only","strict_witness_plus_explicit_blockers","2","1","R6-CR-P2-015; R6-CR-P2-016","R6-GAP-AUTO-004","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","https://moey.gov.jm/wp-content/uploads/2015/04/JECCG_Four-to-Five-Year-Old__final_intrnt.pdf || https://moey.gov.jm/wp-content/uploads/2025/06/SEP-Jamaica-Education-Project-P178595-16-JUN-2025.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_early_childhood_curriculum_guide_4_5.pdf || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\jamaica_education_project_sep_2025.pdf","649c98526f7979c8ae017730bb522365eea135e44da8af98d8e2999709650bdc || 2ec4e8c0e9fa78a62c01a5e76431941a3fe752346f1595dc26c354bd0f813e22","license/reuse pending; source-owner/reviewer return required","Jamaican Creole / Jamaican Patois; creole/contact; official curriculum guide mentioning Jamaican patois/creole and mathematics concepts; source-canon || Jamaican Creole / Jamaican Patois; creole/contact; current official STEM/curriculum project context; not Patois witness; source-canon","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-005","Creole/contact","Jamaican Creole/Patois","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GAP-AUTO-005","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Find Patois STEM/numeracy witness or reviewer route.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-006","Creole/contact","Kreyol / Haitian Creole","source_canon_sufficient_for_scoped_draft_work","MIT-Ayiti Kreyol classroom mathematics/numeracy only; not MENFP body or invariant theory","strict_witness_metadata_only","4","0","R6-KR-SAR-001; R6-KR-SAR-002; R6-KR-SAR-003; R6-KR-SAR-004","","R6-KR-SAR-001 through R6-KR-SAR-004 exact MIT-Ayiti HTML captures with URLs/hashes.","https://mit-ayiti.net/matye/matematik/ || https://mit-ayiti.net/anseyman-matematik/ || https://mit-ayiti.net/resous/tiraj-san-remiz-avek-lod/ || https://mit-ayiti.net/resous/matematik-k-ap-bouyi-sou-3-woch-dife/","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_index.html || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_anseyman_matematik.html || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_tiraj_san_remiz_avek_lod.html || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260630T213000Z_r6_kreyol_asl_source_capture_pass3\html_captures\kreyol\mit_ayiti_matematik_k_ap_bouyi_sou_3_woch_dife.html","b32e6dbb79d9eb78e49af78478b0704971d0b09eeadf7904c4c30fdb0206f4a2 || e60423506a27529b140f43bbaf327630dfc12daf2985ee53f8c26a2aeda85d27 || 05e2428742f1b70189e69b15cfa48f7d553a42656dc589cbce571e57bb446a21 || 34e8592f68d669158040dc025ba7e85c4af969cdb32b082db6ec36e8ce48785d","license/reuse pending; link-only until source-owner or reviewer return","Kreyol; Haitian Creole; mathematics; numeracy; MIT-Ayiti; HTML; source-authority-request","NOETHER_R6_SCOPED_DRAFT_TRANSLATION_SUPPORT_CREOLE_COVERED_ROWS_20260705.csv; NOETHER_R6_DRAFT_SUPPORT_INTERLINEAR_SCAFFOLDS_COVERED_ROWS_20260705.csv","","no excerpt, copied prose, term promotion, translation, surface, or pilot | no copied prose, excerpt, term promotion, translation, surface, or pilot | no copied media/prose, excerpt, term promotion, translation, surface, or pilot","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-007","Creole/contact","Kreyol/Haitian Creole","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GAP-AUTO-006","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_KREYOL_MIT_AYITI_MENFP_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIT-Ayiti route/context provenance; official MENFP-hosted Kreyol math body, source-owner/reviewer return, and reuse decision remain required.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-008","Creole/contact","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","1","","R6-GITHUB-GAP-002","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-009","Creole/contact","Krio","source_canon_insufficient","source_acquisition_or_gap_only","explicit_blocker_only","0","2","","R6-GAP-AUTO-007; R6-CR-P2-019","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","","","","","","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
"R6-ACTIVE-010","Creole/contact","Mauritian/Seychellois/Indian Ocean Creoles","source_canon_insufficient","source_acquisition_or_gap_only","strict_witness_plus_explicit_blockers","3","2","R6-CR-P2-010; R6-CR-P2-011; R6-CR-P2-012","R6-GAP-AUTO-008; R6-GAP-AUTO-009","Use existing crosswalk/gap/provenance rows; exact source-canon sufficiency not recorded for draft support.","https://mie.ac.mu/curriculum.html || https://web.mie.ac.mu/curriculum_books/ || https://web.mie.ac.mu/wp-content/uploads/2025/01/Implementation-guidelines_abridged.pdf","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum.html || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_mie_curriculum_books.html || C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701T203000Z_r6_creole_contact_exact_witness_capture_pass2\captures\mauritius_fplns_implementation_guidelines_abridged.pdf","6bf4f367f90237bd4b767dcfcd893b1f23ccbbed88cc75ab1633870f9b90376a || ef972eaf0ea191e456da7d6598ff7306b6fc8b494e7cb6784c08ec7e1440199b || 7aabdbceec529a90f1268c78e9c89215353ee93b04492e80de8189eac917e270","license/reuse pending; source-owner/reviewer return required","Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum locator with Kreol Morisien/Kreol Rodrige resource pointers; source-canon || Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; MIE curriculum/textbook locator with Kreol resources and practice papers; source-canon || Mauritian/Seychellois/Indian Ocean Creoles; creole/contact; Mauritius implementation guideline with Kreol Morisien/numeracy context; source-canon","","NOETHER_R6_SOURCE_ACQUISITION_ACTIONS_FOR_INSUFFICIENT_ROWS_20260705.csv","Use NOETHER_R6_MAURITIUS_KREOL_MIE_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIE route/context provenance; exact named-language math/STEM body, source-owner/reviewer return, and reuse decision remain required.","draft/noncanonical/source-canon metadata only; not native review, canonical approval, accepted terminology, license clearance, gate promotion, translation completion, pilot, or Git push"
