"crosswalk_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_form","zh_hant_controlled_form","zh_hant_status","ja_form","ko_form","ja_ko_evidence_status","sense_window","excluded_senses","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","independent_check_status"
"P38-ZH-X001","P38-ZH-T001","segment A main theorem","normale Divisionsalgebra","正规除代数","正規除代數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A finite-dimensional division algebra whose center is the stated algebraic number field, in the paper's historical normality sense.","a normal subgroup; an integrally closed ordinary field; a normalized algebra; any division ring without the center condition","modern Sino-xenic coinage/calque","High: 正规 has several Mainland mathematical senses and may invite modern central-simple reinterpretation; regional wording is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X002","P38-ZH-T002","segment A main theorem and reductions","zyklisch","循环","循環","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","Cyclic in the Galois/algebra sense used by Hasse's theory, including cyclic division algebras and cyclic realizability.","periodic numerical behavior; a loop in computation; circular reasoning","modern Sino-xenic coinage/calque","Medium: 循环 is Mainland-dominant and broadly shared but its regional historical-algebra register is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X003","P38-ZH-T003","segment A main theorem","Dicksonscher Typus","Dickson 型","Dickson 型","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The named Dickson construction/type stated as synonymous with cyclicity in the theorem.","a generic classification type; a personal-name translation not tied to the algebra construction","global modern loan","Medium: Latin-script Dickson avoids transliteration choice but regional typography and name convention are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X004","P38-ZH-T004","segments A-B reductions","überall zerfallende Algebra","处处分裂代数","處處分裂代數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","An algebra whose extension to every completion at every prime place is split.","an algebra that decomposes globally into arbitrary factors; an everywhere discontinuous object; polynomial splitting alone","modern Sino-xenic coinage/calque","High: 处处 is concise Mandarin prose but can conceal the prime-place quantifier; regional wording and 劈裂 terminology are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X005","P38-ZH-T005","segment A definition","normale einfache Algebra","正规单代数","正規單代數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A simple algebra whose center is exactly the stated algebraic number field.","a normal subgroup algebra; merely a simple algebra; a commutative field; a normalized algebra","mixed/contested","High: modern Mandarin often favors 中心单代数, while the producer preserves 正规单代数 from the historical register; regional practice is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X006","P38-ZH-T006","segment A definition of A~Omega","Ähnlichkeit","相似性","相似性","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The equivalence relation identifying matrix algebras with the same associated division algebra, not ordinary matrix conjugacy.","matrix similarity by conjugation; geometric similarity; vague resemblance","mixed/contested","High: 相似性 strongly attracts ordinary matrix-similarity meaning in Mandarin; the parenthetical definition controls the intended Brauer-class sense.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X007","P38-ZH-T007","segment A local definition","p-adische Erweiterung","p-进扩张","p-進擴張","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The algebra obtained by extending coefficients from the number field to its completion at the prime place $p$.","a formal power-series extension; an extension of the p-adic valuation only; a field extension unrelated to scalar extension","global modern loan","Medium: p-进 is standard Mainland notation but regional typography and use of Latin p are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X008","P38-ZH-T008","segments A-B and theorem 3","p-Grad","p-次数","p-次數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The degree of the corresponding completed field extension at the specified prime place.","global field degree; polynomial degree; valuation order; exponent","mixed/contested","High: 次数 is Mandarin-dominant but competes with 度 and can collide with powers; the local formula supplies scope.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X009","P38-ZH-T009","segments A-C","p-Index","p-指标","p-指標","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The index of the algebra after extension to the completion at the prime place $p$.","array index; subgroup index; global algebra index; economic indicator","mixed/contested","High: 指标 is used to distinguish Index from Exponent, but many Mandarin sources use 指数 for both or for Index; regional convention is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X010","P38-ZH-T010","segments A-B","auflösbarer Zerfällungskörper","可解分裂域","可解分裂域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","A splitting field whose relevant Galois group is solvable, enabling the chain of cyclic prime-degree extensions.","a field in which equations are computationally solvable; a resolved physical region; algebraic closure","modern Sino-xenic coinage/calque","Medium: 可解 is standard Mainland group-theory language but the implicit Galois-group subject can be obscured; regional terminology is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
"P38-ZH-X011","P38-ZH-T011","segment A reduction 2","Sylowkörper","Sylow 域","Sylow 域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","","","JA and KO not consulted and not authorized as Chinese evidence","The invariant field of a Sylow subgroup of the Galois group, relative to the chosen prime $p$.","a field named after an unrelated construction; a Sylow subgroup itself; a finite field","global modern loan","High: Sylow 域 is a producer compression and may be opaque; explicit 不变域 is a held alternative and regional naming is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","independent check absent; pending"
