"adverse_id","term_decision_id","source_locator","exact_german_phrase","zh_hans_cn_producer_choice","trap_or_adverse_reading","contextual_reason_for_exclusion","alternative_held_for_independent_review","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_status","review_state"
"P38-ZH-A001","P38-ZH-T001","segment A main theorem","normale Divisionsalgebra","正规除代数","a normal subgroup; an integrally closed ordinary field; a normalized algebra; any division ring without the center condition","A finite-dimensional division algebra whose center is the stated algebraic number field, in the paper's historical normality sense.","中心除代数; 正常除代数","modern Sino-xenic coinage/calque","High: 正规 has several Mainland mathematical senses and may invite modern central-simple reinterpretation; regional wording is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A002","P38-ZH-T002","segment A main theorem and reductions","zyklisch","循环","periodic numerical behavior; a loop in computation; circular reasoning","Cyclic in the Galois/algebra sense used by Hasse's theory, including cyclic division algebras and cyclic realizability.","轮换; 周期; 循环型","modern Sino-xenic coinage/calque","Medium: 循环 is Mainland-dominant and broadly shared but its regional historical-algebra register is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A003","P38-ZH-T003","segment A main theorem","Dicksonscher Typus","Dickson 型","a generic classification type; a personal-name translation not tied to the algebra construction","The named Dickson construction/type stated as synonymous with cyclicity in the theorem.","迪克森型; Dickson 类型","global modern loan","Medium: Latin-script Dickson avoids transliteration choice but regional typography and name convention are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A004","P38-ZH-T004","segments A-B reductions","überall zerfallende Algebra","处处分裂代数","an algebra that decomposes globally into arbitrary factors; an everywhere discontinuous object; polynomial splitting alone","An algebra whose extension to every completion at every prime place is split.","各处劈裂代数; 局部处处分裂代数","modern Sino-xenic coinage/calque","High: 处处 is concise Mandarin prose but can conceal the prime-place quantifier; regional wording and 劈裂 terminology are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A005","P38-ZH-T005","segment A definition","normale einfache Algebra","正规单代数","a normal subgroup algebra; merely a simple algebra; a commutative field; a normalized algebra","A simple algebra whose center is exactly the stated algebraic number field.","中心单代数; 正常单代数","mixed/contested","High: modern Mandarin often favors 中心单代数, while the producer preserves 正规单代数 from the historical register; regional practice is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A006","P38-ZH-T006","segment A definition of A~Omega","Ähnlichkeit","相似性","matrix similarity by conjugation; geometric similarity; vague resemblance","The equivalence relation identifying matrix algebras with the same associated division algebra, not ordinary matrix conjugacy.","等价; Brauer 等价; 同类","mixed/contested","High: 相似性 strongly attracts ordinary matrix-similarity meaning in Mandarin; the parenthetical definition controls the intended Brauer-class sense.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A007","P38-ZH-T007","segment A local definition","p-adische Erweiterung","p-进扩张","a formal power-series extension; an extension of the p-adic valuation only; a field extension unrelated to scalar extension","The algebra obtained by extending coefficients from the number field to its completion at the prime place $p$.","p-进标量扩张; p-adic 扩张","global modern loan","Medium: p-进 is standard Mainland notation but regional typography and use of Latin p are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A008","P38-ZH-T008","segments A-B and theorem 3","p-Grad","p-次数","global field degree; polynomial degree; valuation order; exponent","The degree of the corresponding completed field extension at the specified prime place.","p-局部次数; p-度","mixed/contested","High: 次数 is Mandarin-dominant but competes with 度 and can collide with powers; the local formula supplies scope.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A009","P38-ZH-T009","segments A-C","p-Index","p-指标","array index; subgroup index; global algebra index; economic indicator","The index of the algebra after extension to the completion at the prime place $p$.","p-指数; p-局部指标","mixed/contested","High: 指标 is used to distinguish Index from Exponent, but many Mandarin sources use 指数 for both or for Index; regional convention is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A010","P38-ZH-T010","segments A-B","auflösbarer Zerfällungskörper","可解分裂域","a field in which equations are computationally solvable; a resolved physical region; algebraic closure","A splitting field whose relevant Galois group is solvable, enabling the chain of cyclic prime-degree extensions.","可解群分裂域; 可解劈裂域","modern Sino-xenic coinage/calque","Medium: 可解 is standard Mainland group-theory language but the implicit Galois-group subject can be obscured; regional terminology is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A011","P38-ZH-T011","segment A reduction 2","Sylowkörper","Sylow 域","a field named after an unrelated construction; a Sylow subgroup itself; a finite field","The invariant field of a Sylow subgroup of the Galois group, relative to the chosen prime $p$.","西罗域; Sylow 不变域","global modern loan","High: Sylow 域 is a producer compression and may be opaque; explicit 不变域 is a held alternative and regional naming is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A012","P38-ZH-T012","segment A reduction 3","Faktorensystem","因子系","a generic system of factors; numerical factorization; quotient system without cocycle structure","The multiplication factor system used to present the associated crossed product or cyclic algebra.","因子系统; 乘法因子集; 2-余循环","modern Sino-xenic coinage/calque","High: 因子系 is historically compact and Mainland-oriented; modern or regional shelves may prefer a longer or cohomological term.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A013","P38-ZH-T013","segment B norm argument","Hassescher Normensatz","Hasse 范数定理","a vector-norm theorem; Hasse's unrelated local theorem; a normalization statement","The local-global norm theorem invoked for cyclic extensions, including the prime-degree Hilbert-Furtwängler case.","哈塞范数定理; Hasse 诺姆定理","global modern loan","Medium: retaining Hasse in Latin script avoids transliteration variation; 范数 is Mainland-dominant and regional naming is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A014","P38-ZH-T014","segments B-C","Normenrestsymbol","范数剩余符号","a remainder after numerical division; a generic norm sign; a residue-class norm without the local symbol","The local norm-residue symbol whose order gives the local index and which satisfies the product theorem.","范数留数符号; 诺姆剩余符号","modern Sino-xenic coinage/calque","High: 剩余/留数 traditions differ and the long compound is Mainland-oriented; regional evidence is absent.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A015","P38-ZH-T015","segment A supplement; segment B theorem 1","Exponent","指数","a power in elementary algebra; an exponential function; a book superscript; the local algebra index","The order/exponent of the algebra's Brauer class, asserted equal to the algebra index over a number field.","周期; 类指数","mixed/contested","High: 指数 also translates mathematical exponent and is easily confused with Index; the target deliberately pairs 指数 with 指标.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A016","P38-ZH-T016","segments A-C","Index","指标","an economic indicator; subgroup index; an array position; Brauer-class exponent","The algebra index, globally or after local completion, paired with Exponent in theorem 1.","指数; Schur 指数","mixed/contested","High: 指标 is chosen to avoid collision with Exponent=指数, but differs from common Chinese algebra usage where Index may also be 指数.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
"P38-ZH-A017","P38-ZH-T017","segment B theorem 2 and segment C","Grundideal","基本理想","an arbitrary basic ideal; the unit ideal; Dedekind's Grundideal for different/discriminant; a foundational principle","The ideal defined via the reduced norm of the reduced different, with explicit warning against Dedekind's other use.","基理想; 基础理想; 基准理想","mixed/contested","High: 基本理想 is literal and Mandarin-oriented while the source itself warns of terminological collision; regional evidence is absent.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending"
