"decision_id","source_locator","exact_german_phrase","concept_scope","zh_hans_cn_choice","sense_window","excluded_senses","alternatives_considered","lexical_attractor_basin","mandarin_simplified_dominance_risk_debt","evidence_class","controlled_hant_form","controlled_hant_status","independent_check_status","producer_note"
"P38-ZH-T001","segment A main theorem","normale Divisionsalgebra","central division algebra over its center in the historical terminology","正规除代数","A finite-dimensional division algebra whose center is the stated algebraic number field, in the paper's historical normality sense.","a normal subgroup; an integrally closed ordinary field; a normalized algebra; any division ring without the center condition","中心除代数; 正常除代数","modern Sino-xenic coinage/calque","High: 正规 has several Mainland mathematical senses and may invite modern central-simple reinterpretation; regional wording is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","正規除代數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The producer retains the historical adjective rather than silently replacing it with 中心."
"P38-ZH-T002","segment A main theorem and reductions","zyklisch","cyclic algebra or cyclic splitting-field construction","循环","Cyclic in the Galois/algebra sense used by Hasse's theory, including cyclic division algebras and cyclic realizability.","periodic numerical behavior; a loop in computation; circular reasoning","轮换; 周期; 循环型","modern Sino-xenic coinage/calque","Medium: 循环 is Mainland-dominant and broadly shared but its regional historical-algebra register is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","循環","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Used with 域, 代数, 表示, or extension context."
"P38-ZH-T003","segment A main theorem","Dicksonscher Typus","Dickson type of cyclic division algebra","Dickson 型","The named Dickson construction/type stated as synonymous with cyclicity in the theorem.","a generic classification type; a personal-name translation not tied to the algebra construction","迪克森型; Dickson 类型","global modern loan","Medium: Latin-script Dickson avoids transliteration choice but regional typography and name convention are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","Dickson 型","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Personal name remains in Latin script."
"P38-ZH-T004","segments A-B reductions","überall zerfallende Algebra","algebra split at every prime place after local extension","处处分裂代数","An algebra whose extension to every completion at every prime place is split.","an algebra that decomposes globally into arbitrary factors; an everywhere discontinuous object; polynomial splitting alone","各处劈裂代数; 局部处处分裂代数","modern Sino-xenic coinage/calque","High: 处处 is concise Mandarin prose but can conceal the prime-place quantifier; regional wording and 劈裂 terminology are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","處處分裂代數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The local-completion definition remains adjacent in segment A."
"P38-ZH-T005","segment A definition","normale einfache Algebra","historical normal simple algebra with center equal to the base number field","正规单代数","A simple algebra whose center is exactly the stated algebraic number field.","a normal subgroup algebra; merely a simple algebra; a commutative field; a normalized algebra","中心单代数; 正常单代数","mixed/contested","High: modern Mandarin often favors 中心单代数, while the producer preserves 正规单代数 from the historical register; regional practice is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","正規單代數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Checker should assess historical fidelity versus modern terminology."
"P38-ZH-T006","segment A definition of A~Omega","Ähnlichkeit","Brauer similarity/equivalence by associated division algebra","相似性","The equivalence relation identifying matrix algebras with the same associated division algebra, not ordinary matrix conjugacy.","matrix similarity by conjugation; geometric similarity; vague resemblance","等价; Brauer 等价; 同类","mixed/contested","High: 相似性 strongly attracts ordinary matrix-similarity meaning in Mandarin; the parenthetical definition controls the intended Brauer-class sense.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","相似性","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Recorded as a major sense trap for checking."
"P38-ZH-T007","segment A local definition","p-adische Erweiterung","scalar extension to the p-adic completion","p-进扩张","The algebra obtained by extending coefficients from the number field to its completion at the prime place $p$.","a formal power-series extension; an extension of the p-adic valuation only; a field extension unrelated to scalar extension","p-进标量扩张; p-adic 扩张","global modern loan","Medium: p-进 is standard Mainland notation but regional typography and use of Latin p are untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","p-進擴張","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept paired with the named completion."
"P38-ZH-T008","segments A-B and theorem 3","p-Grad","local degree at a prime place","p-次数","The degree of the corresponding completed field extension at the specified prime place.","global field degree; polynomial degree; valuation order; exponent","p-局部次数; p-度","mixed/contested","High: 次数 is Mandarin-dominant but competes with 度 and can collide with powers; the local formula supplies scope.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","p-次數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Not generalized outside the local-degree passages."
"P38-ZH-T009","segments A-C","p-Index","local Schur index of the completed algebra","p-指标","The index of the algebra after extension to the completion at the prime place $p$.","array index; subgroup index; global algebra index; economic indicator","p-指数; p-局部指标","mixed/contested","High: 指标 is used to distinguish Index from Exponent, but many Mandarin sources use 指数 for both or for Index; regional convention is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","p-指標","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept distinct from the producer's 指数 for Exponent."
"P38-ZH-T010","segments A-B","auflösbarer Zerfällungskörper","splitting field with solvable Galois group","可解分裂域","A splitting field whose relevant Galois group is solvable, enabling the chain of cyclic prime-degree extensions.","a field in which equations are computationally solvable; a resolved physical region; algebraic closure","可解群分裂域; 可解劈裂域","modern Sino-xenic coinage/calque","Medium: 可解 is standard Mainland group-theory language but the implicit Galois-group subject can be obscured; regional terminology is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","可解分裂域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The following field chain supplies the group-theoretic sense."
"P38-ZH-T011","segment A reduction 2","Sylowkörper","fixed field of a Sylow subgroup","Sylow 域","The invariant field of a Sylow subgroup of the Galois group, relative to the chosen prime $p$.","a field named after an unrelated construction; a Sylow subgroup itself; a finite field","西罗域; Sylow 不变域","global modern loan","High: Sylow 域 is a producer compression and may be opaque; explicit 不变域 is a held alternative and regional naming is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","Sylow 域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The parenthetical definition is retained."
"P38-ZH-T012","segment A reduction 3","Faktorensystem","factor set in the cyclic/crossed-product algebra construction","因子系","The multiplication factor system used to present the associated crossed product or cyclic algebra.","a generic system of factors; numerical factorization; quotient system without cocycle structure","因子系统; 乘法因子集; 2-余循环","modern Sino-xenic coinage/calque","High: 因子系 is historically compact and Mainland-oriented; modern or regional shelves may prefer a longer or cohomological term.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","因子系","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Historical register retained without modernization."
"P38-ZH-T013","segment B norm argument","Hassescher Normensatz","Hasse norm theorem","Hasse 范数定理","The local-global norm theorem invoked for cyclic extensions, including the prime-degree Hilbert-Furtwängler case.","a vector-norm theorem; Hasse's unrelated local theorem; a normalization statement","哈塞范数定理; Hasse 诺姆定理","global modern loan","Medium: retaining Hasse in Latin script avoids transliteration variation; 范数 is Mainland-dominant and regional naming is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","Hasse 範數定理","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Distinguished from the norm-residue symbol."
"P38-ZH-T014","segments B-C","Normenrestsymbol","norm-residue symbol controlling local splitting","范数剩余符号","The local norm-residue symbol whose order gives the local index and which satisfies the product theorem.","a remainder after numerical division; a generic norm sign; a residue-class norm without the local symbol","范数留数符号; 诺姆剩余符号","modern Sino-xenic coinage/calque","High: 剩余/留数 traditions differ and the long compound is Mainland-oriented; regional evidence is absent.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","範數剩餘符號","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Formula notation is preserved beside the term."
"P38-ZH-T015","segment A supplement; segment B theorem 1","Exponent","Brauer-group exponent of an algebra class","指数","The order/exponent of the algebra's Brauer class, asserted equal to the algebra index over a number field.","a power in elementary algebra; an exponential function; a book superscript; the local algebra index","周期; 类指数","mixed/contested","High: 指数 also translates mathematical exponent and is easily confused with Index; the target deliberately pairs 指数 with 指标.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","指數","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Checker must preserve the Exponent/Index distinction."
"P38-ZH-T016","segments A-C","Index","degree of the associated division algebra / Schur index","指标","The algebra index, globally or after local completion, paired with Exponent in theorem 1.","an economic indicator; subgroup index; an array position; Brauer-class exponent","指数; Schur 指数","mixed/contested","High: 指标 is chosen to avoid collision with Exponent=指数, but differs from common Chinese algebra usage where Index may also be 指数.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","指標","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Deliberate producer disambiguation; independent review required."
"P38-ZH-T017","segment B theorem 2 and segment C","Grundideal","Hasse's base/fundamental ideal of a division algebra","基本理想","The ideal defined via the reduced norm of the reduced different, with explicit warning against Dedekind's other use.","an arbitrary basic ideal; the unit ideal; Dedekind's Grundideal for different/discriminant; a foundational principle","基理想; 基础理想; 基准理想","mixed/contested","High: 基本理想 is literal and Mandarin-oriented while the source itself warns of terminological collision; regional evidence is absent.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","基本理想","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","The warning footnote is preserved for checker review."
"P38-ZH-T018","segment B theorem 2 footnote","(reduzierte) Differente","reduced different of a noncommutative order/algebra","（约化）不同","The reduced noncommutative analogue of the different used to define the fundamental ideal.","ordinary difference; a derivative; the unreduced commutative different without qualification","（约化）不同理想; （约化）差异理想","mixed/contested","High: 不同 is a specialized Mainland algebraic-number-theory term that is opaque in ordinary Chinese and regionally untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","（約化）不同","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Qualifying 约化 is retained."
"P38-ZH-T019","segments A-C","Primstelle","finite or infinite place of a number field","素位","A prime place, including finite primes and infinite places, at which the algebra is completed.","a prime ideal only; a physical position; a decimal place; a rank","素点; 素处; 赋值位","modern Sino-xenic coinage/calque","High: 素位 is concise Mainland terminology but may be confused with prime ideals; finite/infinite distinctions require context and regional usage is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","素位","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Kept distinct from 素因子/素理想."
"P38-ZH-T020","segment B theorem 3 proof","unverzweigter Körper","unramified extension field of a local field","未分歧域","The unique unramified extension of the local field of the stated degree.","a topologically unbranched region; a field with no global ramification anywhere; a separable field generally","非分歧域; 不分歧扩张","modern Sino-xenic coinage/calque","Medium: 未分歧 follows Mainland number-theory usage; 非分歧 is a live alternative and regional preference is untested.","producer editorial choice in the assembled Hans target with inherited Simplified-Chinese drafting witness; independent checking absent","未分歧域","controlled generic script derivative only; not zh-Hant-TW/HK/MO; regional lexical localization absent","independent check absent; pending","Target also says 未分歧扩张 in the argument."
