const,const_lat,const_ar,const_artr,const_zh,n,bayer,common,lon_d,lon_m,lat_d,lat_m,dir,mag,arabic,note
UrsaMinor,Ursa Minor,الدب الأصغر,ad-dubb al-asghar,小熊座,1,α,Polaris,71,20,66,0,N,3,الكوكب الذي على طرف ذنب الدب الأصغر,Polaris
UrsaMinor,Ursa Minor,الدب الأصغر,ad-dubb al-asghar,小熊座,2,ε,,87,10,74,20,N,4,الذي على أصل ذنب هذا الدب الأصغر,cod.long 101.20
UrsaMinor,Ursa Minor,الدب الأصغر,ad-dubb al-asghar,小熊座,3,β,,118,20,72,50,N,2,الذي من ناحية جنوب الجنب الثاني من المربعة,Kochab; cod.long 153 lat50->10
UrsaMinor,Ursa Minor,الدب الأصغر,ad-dubb al-asghar,小熊座,4,γ,,127,20,74,50,N,2,الشمالي من هذا الجنب الثاني من المربعة,Pherkad; cod.long 157
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,1,ο,,96,30,39,50,N,4,,cod.long 176
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,2,θ,,111,50,35,0,N,3,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,3,ι,,106,40,29,20,N,3,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,4,κ,,107,30,28,20,N,3,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,5,α,Dubhe,118,50,49,0,N,2,,Dubhe
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,6,β,Merak,123,20,44,30,N,2,,Merak
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,7,δ,Megrez,134,20,51,0,N,3,,Megrez
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,8,γ,Phecda,134,10,46,30,N,2,,Phecda
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,9,λ,,123,50,29,20,N,3,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,10,μ,,125,20,28,15,N,3,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,11,ν,,141,0,25,50,N,3,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,12,ξ,,141,30,25,0,N,3,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,13,ε,Alioth,143,20,53,30,N,2,,Alioth
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,14,ζ,Mizar,149,10,55,40,N,2,,Mizar
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,15,η,Alkaid,161,0,54,0,N,2,,Alkaid
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,16,12Canum,,159,0,39,45,N,3,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,17,40Lyncis,,116,10,17,15,N,4,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,18,10LeoMi,,117,20,20,0,N,obsc,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,19,,,113,20,22,50,N,obsc,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,20,,,112,20,20,20,N,obsc,,
UrsaMajor,Ursa Major,الدب الأكبر,ad-dubb al-akbar,大熊座,21,31Lyncis,,101,10,22,15,N,obsc,,
Draco,Draco,التنين,at-tinnin,天龙座,1,μ,,217,50,76,30,N,4,الكوكب الذي على طرف لسان التنين,-
Draco,Draco,التنين,at-tinnin,天龙座,2,γ,,250,50,75,30,N,3,الكوكب الذي فوق رأسه,-
Draco,Draco,التنين,at-tinnin,天龙座,3,β,,234,20,75,40,N,3,الذي فوق عين التنين,-
Draco,Draco,التنين,at-tinnin,天龙座,4,ζ,,169,30,84,50,N,3,الذي في المغرب من الثلاثة,-
Draco,Draco,التنين,at-tinnin,天龙座,5,η,,171,10,78,0,N,3,الشمالي من الاثنين مما يلي المغرب,-
Draco,Draco,التنين,at-tinnin,天龙座,6,α,Thuban,142,20,65,30,N,3,الذي يلو المقدم البعيد من الاثنين,Thuban
Draco,Draco,التنين,at-tinnin,天龙座,7,κ,,120,20,61,15,N,3,الذي يلو هذا الكوكب,-
Draco,Draco,التنين,at-tinnin,天龙座,8,λ,,114,20,56,15,N,3,الكوكب الذي على طرف ذنب التنين,-
