issue_id,difficulty_class,severity,resolution_state,structural_ids,related_decision_ids,recorded_at,continuation_or_revisit
CJK-KO-P27-HARD-001,coordination_collision_and_missing_lease,high,workaround,NOE-P27-KO-ROOT-001,CJK-KO-P27-001;CJK-D013,2026-07-18T17:22:10+02:00,Revisit before opening P29 or whenever the claim mechanism changes.
CJK-KO-P27-HARD-002,source_authority_drift,high,workaround,NOE-P27-KO-ROOT-001;NOE-P27-KO-SEC-001,CJK-KO-P27-002;CJK-D008;CJK-D012,2026-07-18T17:22:10+02:00,Revisit before P29 or immediately after a Noether authority-pointer update.
CJK-KO-P27-HARD-003,standalone_tex_dependency_failure,medium,resolved,NOE-P27-KO-MATH-001;NOE-P27-KO-MATH-002;NOE-P27-KO-MATH-003;NOE-P27-KO-MATH-004;NOE-P27-KO-MATH-005,CJK-KO-P27-005,2026-07-18T17:22:10+02:00,Revisit after any TeX/preamble/font change or at P29 skeleton preflight.
CJK-KO-P27-HARD-004,semantic_relation_weakening,high,resolved,NOE-P27-KO-CPU-011,CJK-KO-P27-004,2026-07-18T17:22:10+02:00,Revisit when a Korean historical-algebra reviewer evaluates the final sentence.
CJK-KO-P27-HARD-005,cross_file_evidence_referential_integrity,high,resolved,NOE-P27-KO-CPU-003;NOE-P27-KO-CPU-007;NOE-P27-KO-CPU-008;NOE-P27-KO-CPU-009;NOE-P27-KO-CPU-010,CJK-KO-P27-006,2026-07-18T17:22:10+02:00,Revisit when a shared semantic evidence validator is added or any P27 evidence row changes.
CJK-KO-P27-HARD-006,non_isomorphic_sentence_boundary,medium,resolved,NOE-P27-KO-PARA-001;NOE-P27-KO-CPU-005;NOE-P27-KO-CPU-006,CJK-METH-001,2026-07-18T17:22:10+02:00,Revisit if P29 contains split/merged paragraphs proofs or displays.
CJK-KO-P27-HARD-007,validator_runtime_dependency_gap,medium,workaround,NOE-P27-KO-ROOT-001,CJK-KO-P27-006,2026-07-18T17:22:10+02:00,Revisit when the shared runtime supplies a declared schema validator.
CJK-KO-P27-HARD-008,oversized_patch_format_failure,low,resolved,NOE-P27-KO-ROOT-001,CJK-KO-P27-005;CJK-METH-001,2026-07-18T17:22:10+02:00,Revisit if structural/difficulty projections diverge from their JSONL authorities.
CJK-KO-P27-HARD-009,external_connector_delivery_failure,medium,held,NOE-P27-KO-ROOT-001,CJK-KO-P27-008;CJK-METH-001,2026-07-18T17:22:10+02:00,Retry archive notification when the connector becomes callable; append acknowledgment or another failure.
CJK-KO-P27-HARD-010,late_decision_logging_and_lost_time_precision,medium,workaround,NOE-P27-KO-ROOT-001,CJK-LOG-001;CJK-KO-P27-001;CJK-KO-P27-007;CJK-KO-P27-008,2026-07-18T17:22:10+02:00,Revisit at the next handoff audit; append never rewrite any correction.
