source_term,spanish,japanese,notes
Darstellung,representación,表現,Paper 34 §§15--26 representation-theory context.
Darstellungsmodul,módulo de representación,表現加群,Paper 34 §15; bimodule/right-field construction.
lineare Transformation,transformación lineal,線形変換,Paper 34 §15 added-in-proof basis-independent formulation.
absoluter Multiplikatorenbereich,dominio de multiplicadores absoluto,絶対乗法子領域,Paper 34 §§19--20.
Hauptspur,traza principal,主トレース,Paper 34 §24; trace in regular representation.
reduzierte Spur,traza reducida,被約トレース,Paper 34 §24; sum over distinct irreducible representations.
Charakter,carácter,指標,Paper 34 §§22/24/26; group and hypercomplex-system characters.
Systemdeterminante,determinante del sistema,系行列式,Paper 34 §23.
Gruppenmatrix,matriz de grupo,群行列,Paper 34 §23 Dedekind/Frobenius terminology.
antistrophische Matrix,matriz antistrófica,反対形行列,Paper 34 §23 Frobenius term; do not modernize silently.
Diskriminantenmatrix,matriz discriminante,判別行列,Paper 34 §25.
reduzierte Diskriminante,discriminante reducido,被約判別式,Paper 34 §25.
Klassensumme,suma de clase,類和,Paper 34 §26 class sum in group ring.
Gruppenring,anillo de grupo,群環,Paper 34 §§20/26.
absolut irreduzible Darstellung,representación absolutamente irreducible,絶対既約表現,Paper 34 §21 onward.
