lane,witness_id,row_kind,target_language_or_access_target,source_title,source_author_or_owner,topic_tags,evidence_tier,source_type,source_url,local_path,license_or_access_signal,sha256_or_other_hash,source_language,is_target_language_witness,is_source_level_tex_or_archive,is_pdf_docx_or_text_fallback,upload_policy,gap_or_blocker_note,non_claim_boundary,owner_route,scaffold_status
noether-olp-relation-function-support,K-SCW-001,source_support_pointer,OLP/proof-literacy/relation-function support not target-language lane,Open Logic Project / Open Logic Text,Open Logic Project / OpenLogicProject signal from repo,olp; proof-literacy; sets; functions; relations,support_source_row_covered,LaTeX Git repository,https://github.com/OpenLogicProject/OpenLogic/ ; https://openlogicproject.org/download/,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\work\OpenLogic,CC_BY_4_0_signal_from_repo_and_project_download_page,git_head_9f12419d4971165f2fd4ff8cfee95c8dc8b1d019,English source support,False,True,False,metadata_only_no_raw_repo_upload_by_session_k,exact excerpt selection and reviewer/source return absent,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",proof-literacy owner plus requesting language owner,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-002,source_support_pointer,relation/function support not target-language lane,Open Logic Project relation/function subtree,Open Logic Project / OpenLogicProject signal from parent repo,sets; relation basics; function basics; composition; inverses,support_source_row_covered,local LaTeX files,https://github.com/OpenLogicProject/OpenLogic/tree/master/content/sets-functions-relations,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\work\OpenLogic\content\sets-functions-relations,CC_BY_4_0_signal_from_parent_repo,sets-functions-relations.tex_sha256_62C683BA88DF4742CBEF61369A755FBAE8DD53E2173D5F3D1B8A9FC675F27538; functions.tex_sha256_CE481E97A8F301C749D1461326B4EE3D0792B4ADC15A1FCEB7C6ED3B58CECA54; relations.tex_sha256_69E7B017E60673C488D1EC98C186ED0986BC1489B8554F848C95C189AF5C9E54,English source support,False,True,False,metadata_only_no_raw_source_body_upload_by_session_k,no approved excerpt list or source-policy return,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",requesting corpus translation lane plus language owner,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-003,source_support_pointer,discrete proof and relation/function support not target-language lane,Discrete Mathematics: An Open Introduction edition source,Oscar Levin / Open Math Books signal from source URL,discrete mathematics; proof; sets; functions; relations,support_source_row_covered_with_license_gap,PreTeXt edition branch source cache,https://github.com/oscarlevin/discrete-book/ ; https://discrete.openmathbooks.org/,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\dmoi_exact_edition_license_20260630T070010Z,CC_BY_NC_SA_4_0_signal_from_cached_DMOI_license_deed,edition_source_commit_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799; cache_manifest_sha256_35CBCE00670E62CAC676D9ACCE6E38A6669923ABBB84DE5A40615F69D8491B79,English source support,False,True,False,metadata_only_no_raw_source_body_upload_by_session_k,license reconciliation and reviewer-scope return required before use beyond pointer,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",relation/function core plus requesting language owner,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-004,source_support_pointer,relation/function coordinate support not target-language lane,DMOI relation/function coordinate scan,Oscar Levin / Open Math Books signal from source URL,relations; functions; graph theory relations; intro functions,support_scan_row_covered_with_excerpt_gap,PreTeXt source scan JSON plus source_files subtree,https://github.com/oscarlevin/discrete-book/tree/edition/source,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\dmoi_exact_edition_license_20260630T070010Z\edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799,CC_BY_NC_SA_4_0_signal_from_cached_DMOI_license_deed,relation_function_coordinate_file_summaries_sha256_044BDE93019E9D283B30D582ED29F3F726D02A80505C7F521D9CA116233B03E6; relation_function_coordinate_scan_rows_sha256_63147BEA383059E1F4214A3A1BA16E813F54DF15BD626733F376D779D8D4828C,English source support,False,True,False,metadata_only_scan_hashes_no_selected_excerpt_upload,scan rows are not selected excerpts and owner acceptance absent,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",relation/function core plus language owner,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-005,source_support_pointer,numeracy/function-like support not target-language lane,OpenIntro IMS2 / OpenIntro numeracy source cache,OpenIntro / OpenIntroStat signal from URL,numeracy; statistics; function-like mappings; input-output readings,support_source_row_covered_with_sharealike_gap,Quarto/GitHub file cache plus OpenIntro license cache,https://github.com/OpenIntroStat/ims ; https://www.openintro.org/license/,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\openintro_ims2,CC_BY_SA_3_0_signal_from_OpenIntro_license_page,github_ims_index_qmd_at_b88f367a_sha256_E0745BF7528B494B188E7E62AD86D0322A4CA8A9271A439319372652A8E52117; openintro_license_page_sha256_0308B35457E00BF873ED5BAEF6B60C5C0DB91C748042EC9DF21463DBF9B104A7,English source support,False,True,False,metadata_only_no_raw_source_body_upload_by_session_k,share-alike attribution plan and owner acceptance missing; no mapping authorization,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",OpenIntro/source-policy owner lane,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-006,source_support_pointer,statistics/numeracy support not target-language lane,OpenIntro Statistics source repository,OpenIntro / OpenIntroStat signal from URL,statistics; numeracy; public-source support,external_source_url_gap_row,LaTeX Git repository,https://github.com/OpenIntroStat/openintro-statistics ; https://www.openintro.org/license/,not_cached_by_session_k_for_this_repo,CC_BY_SA_3_0_signal_from_OpenIntro_license_page,not_applicable_no_local_hash_for_this_repo,English source support,False,True,False,metadata_only_external_url_pointer,local exact commit/hash/byte count missing; owner lane must capture before package use,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",OpenIntro/source-policy owner lane,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-007,source_support_pointer,linear-map relation/function extension not target-language lane,A First Course in Linear Algebra,Rob Beezer / rbeezer repository signal,linear algebra; linear maps; transformations; relation/function extension,support_source_row_covered_with_gfdl_gap,TeX Git repository and cached GitHub metadata,https://github.com/rbeezer/fcla ; https://linear.pugetsound.edu/,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\fcla_gfdl_exact_commit_20260630T070951Z,GFDL_signal_from_repo_readme_and_COPYING_cache,master_commit_cef5ccf49497fa62205a4320b47a440642101e7d; COPYING_sha256_A72BE10BE0249BDABDD319A3AFF491D7589876953A62FBD6521862C8D9C6D0DC,English source support,False,True,False,metadata_only_no_raw_source_body_upload_by_session_k,GFDL packet separation and compatibility plan required,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",R3 linear algebra lane or requesting language owner,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-008,source_support_pointer,abstract-algebra relation/function extension not target-language lane,Abstract Algebra: Theory and Applications,Thomas W. Judson / twjudson repository signal,abstract algebra; functions; homomorphisms; equivalence relations,support_source_row_covered_with_gfdl_gap,PreTeXt Git repository and cached GitHub metadata,https://github.com/twjudson/aata ; https://judsonbooks.org/abstract-algebra-theory-and-applications/,C:\Users\memo_\Documents\Codex\2026-06-29\files-mentioned-by-the-user-worked\outputs\source_cache\aata_gfdl_exact_commit_20260630T071615Z,GFDL_signal_from_repo_readme_and_COPYING_cache,master_commit_8ec4c7df3d70975110143da0aefb5157bfdcf746; COPYING_sha256_B7D47749512A424173F6A20DAEEA7B00F36B9F5EF95C25930FDBC3BD549B8983,English source support,False,True,False,metadata_only_no_raw_source_body_upload_by_session_k,GFDL packet separation and algebra-owner review required,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",algebra source-policy owner plus language owner,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-009,source_support_pointer,advanced Noether-adjacent comparator not target-language lane,Stacks Project,Stacks Project signal from URL,advanced algebraic geometry; Noether-adjacent terminology; advanced relation/function comparator,external_source_url_gap_row,TeX Git repository,https://github.com/stacks/stacks-project ; https://stacks.math.columbia.edu/contribute,not_cached_by_session_k,GNU_Free_Documentation_License_signal_from_contribution_page,not_applicable_no_local_hash,English source support,False,True,False,metadata_only_external_url_pointer,exact chapter/source hash and advanced-owner route missing,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",advanced algebra/Noether owner plus language owner,owner_lane_adoption_required_not_authoritative_by_cjk_lane
noether-olp-relation-function-support,K-SCW-010,source_support_pointer,school-to-undergraduate function bridge not target-language lane,OpenStax college algebra bundle,OpenStax signal from URL,school-to-undergraduate function bridge; algebra; trigonometry,external_source_url_gap_row,content repository,https://github.com/openstax/osbooks-college-algebra-bundle ; https://openstax.org/books/algebra-and-trigonometry-2e/pages/preface,not_cached_by_session_k,CC_BY_NC_SA_4_0_signal_from_OpenStax_repo_and_book_preface,not_applicable_no_local_hash,English source support,False,True,False,metadata_only_external_url_pointer,book-specific edition/license/hash capture required before package use,"owner-lane normalization scaffold only; no translation, mapping decision, reviewer return, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push",access/public-service translation lanes by owner,owner_lane_adoption_required_not_authoritative_by_cjk_lane
