book_page,source_pdf_page,png
476,494,img/vol1_pdf-494_bookp476.png
477,495,img/vol1_pdf-495_bookp477.png
478,496,img/vol1_pdf-496_bookp478.png
479,497,img/vol1_pdf-497_bookp479.png
480,498,img/vol1_pdf-498_bookp480.png
481,499,img/vol1_pdf-499_bookp481.png
482,500,img/vol1_pdf-500_bookp482.png
483,501,img/vol1_pdf-501_bookp483.png
484,502,img/vol1_pdf-502_bookp484.png
485,503,img/vol1_pdf-503_bookp485.png
486,504,img/vol1_pdf-504_bookp486.png
487,505,img/vol1_pdf-505_bookp487.png
488,506,img/vol1_pdf-506_bookp488.png
489,507,img/vol1_pdf-507_bookp489.png
490,508,img/vol1_pdf-508_bookp490.png
491,509,img/vol1_pdf-509_bookp491.png
492,510,img/vol1_pdf-510_bookp492.png
493,511,img/vol1_pdf-511_bookp493.png
