unit_id,section,authority_physical_page,printed_page,active_source,line_start,line_end,status,authority_evidence,build_checkpoint,next_cursor
EGA4-16-P005,16,4,5,source/source_aligned/ega4-16.tex,4,36,aligned,"600-dpi full page; overlapping 1800-dpi bands",checkpoint_printed006_r2,"printed p6 / line37"
EGA4-16-P006,16,5,6,source/source_aligned/ega4-16.tex,37,78,aligned,"600-dpi full page; three overlapping 1800-dpi bands; formula detail magnified",checkpoint_printed006_r2,"printed p7 / line80"
EGA4-16-P007,16,6,7,source/source_aligned/ega4-16.tex,79,128,aligned,"600-dpi full page; three overlapping 1800-dpi bands",checkpoint_printed008_r3,"printed p8 / line129"
EGA4-16-P008,16,7,8,source/source_aligned/ega4-16.tex,129,173,aligned,"600-dpi full page; three overlapping 1800-dpi bands; transition map magnified",checkpoint_printed008_r3,"printed p9 / line175"
EGA4-16-P009,16,8,9,source/source_aligned/ega4-16.tex,175,223,aligned,"600-dpi full page; three overlapping 1800-dpi bands; both diagrams inspected directly",checkpoint_printed010_r5,"printed p10 / line224"
EGA4-16-P010,16,9,10,source/source_aligned/ega4-16.tex,224,277,aligned,"600-dpi full page; three overlapping 1800-dpi bands; rendered seam and formulas checked",checkpoint_printed010_r5,"printed p11 / line278"
EGA4-16-P011,16,10,11,source/source_aligned/ega4-16.tex,278,332,aligned,"600-dpi full page; three overlapping 1800-dpi bands; formulas and exact-sequence diagram inspected directly",checkpoint_printed012_r6,"printed p12 / line333"
EGA4-16-P012,16,11,12,source/source_aligned/ega4-16.tex,333,385,aligned,"600-dpi full page; three overlapping 1800-dpi bands; base-change diagram and prose inspected directly",checkpoint_printed012_r6,"printed p13 / line386"
EGA4-16-P013,16,12,13,source/source_aligned/ega4-16.tex,386,445,aligned,"600-dpi full page; three overlapping 1800-dpi bands; exact-sequence and conormal sequence checked directly",checkpoint_printed014_r7,"printed p14 / line446"
EGA4-16-P014,16,13,14,source/source_aligned/ega4-16.tex,446,499,aligned,"600-dpi full page; three overlapping 1800-dpi bands; definitions and canonical-symmetry formulas checked directly",checkpoint_printed014_r7,"printed p15 / line500"
