path,role,status
STATUS.md,human-facing tranche status,current
input_snapshot/,protected pre-change multilingual input,provenance only
work/interslavic/v001/,promoted Interslavic Latin TeX after Tranche 001,working translation
work/interslavic-cyrillic/v001/,promoted Interslavic Cyrillic TeX after Tranche 001,working translation
work/russian/v001/,protected Russian TeX,unchanged control
work/ukrainian/v001/,protected Ukrainian TeX,unchanged control
tranche_output/CHANGE_LEDGER.csv,exact replacement ledger,current
tranche_output/ORTHOGRAPHY_SYNC_REPORT.json,hashes and invariant checks,current
tranche_output/TRANCHE001.diff,unified diff,current
tranche_output/BUILD_RESULTS.csv,per-file compilation audit,current
tranche_output/build/latin/,compiled Latin PDFs and logs,derived checks
tranche_output/build/cyrillic/,compiled Cyrillic PDFs and logs,derived checks
tranche_output/render_checks/,visual QA contact sheets,current
validation_preflight/,pre-application validation evidence,provenance only
