"Language","Tex","ExitCode","PdfExists","Errors","Overfull","Underfull"
"russian_unchanged","Noether_Paper06_Introduction_Russian_v001.tex","0","True","0","0","13"
"ukrainian_unchanged","Noether_Paper06_Introduction_Ukrainian_v001.tex","0","True","0","0","12"
"russian_unchanged","Noether_Paper06_Section01_Russian_v001.tex","0","True","0","0","14"
"ukrainian_unchanged","Noether_Paper06_Section01_Ukrainian_v001.tex","0","True","0","0","1"
"russian_unchanged","Noether_Paper06_Section02_Russian_v001.tex","0","True","0","0","8"
"ukrainian_unchanged","Noether_Paper06_Section02_Ukrainian_v001.tex","0","True","0","0","0"
"russian_unchanged","Noether_Paper06_Section03_Russian_v001.tex","0","True","0","0","7"
"ukrainian_unchanged","Noether_Paper06_Section03_Ukrainian_v001.tex","0","True","0","0","4"
"russian_unchanged","Noether_Paper06_Section04_Russian_v001.tex","0","True","0","0","8"
"ukrainian_unchanged","Noether_Paper06_Section04_Ukrainian_v001.tex","0","True","0","0","6"
"russian_unchanged","Noether_Paper06_Section05_Russian_v001.tex","0","True","0","0","16"
"ukrainian_unchanged","Noether_Paper06_Section05_Ukrainian_v001.tex","0","True","0","0","6"
"russian_unchanged","Noether_Paper06_Section06_Russian_v001.tex","0","True","0","0","4"
"ukrainian_unchanged","Noether_Paper06_Section06_Ukrainian_v001.tex","0","True","0","0","3"
"russian_unchanged","Noether_Paper06_Section07_Russian_v001.tex","0","True","0","0","5"
"ukrainian_unchanged","Noether_Paper06_Section07_Ukrainian_v001.tex","0","True","0","0","4"
"russian_unchanged","Noether_Paper06_Section08_Russian_v001.tex","0","True","0","0","4"
"ukrainian_unchanged","Noether_Paper06_Section08_Ukrainian_v001.tex","0","True","0","0","5"
"russian_unchanged","Noether_Paper06_Section09_Russian_v001.tex","0","True","0","0","16"
"ukrainian_unchanged","Noether_Paper06_Section09_Ukrainian_v001.tex","0","True","0","0","4"
"russian_unchanged","Noether_Paper06_Section10_Russian_v001.tex","0","True","0","0","9"
"ukrainian_unchanged","Noether_Paper06_Section10_Ukrainian_v001.tex","0","True","0","0","4"
"russian_unchanged","Noether_Paper06_Section11_Russian_v001.tex","0","True","0","0","6"
"ukrainian_unchanged","Noether_Paper06_Section11_Ukrainian_v001.tex","0","True","0","0","1"
"russian_unchanged","Noether_Paper06_Section12_Russian_v001.tex","0","True","0","0","8"
"ukrainian_unchanged","Noether_Paper06_Section12_Ukrainian_v001.tex","0","True","0","0","7"
"russian_unchanged","Noether_Paper06_Section13_Russian_v001.tex","0","True","0","0","6"
"ukrainian_unchanged","Noether_Paper06_Section13_Ukrainian_v001.tex","0","True","0","0","2"
"russian_unchanged","Noether_Paper06_Section14_Russian_v001.tex","0","True","0","0","14"
"ukrainian_unchanged","Noether_Paper06_Section14_Ukrainian_v001.tex","0","True","0","0","6"
"russian_unchanged","Noether_Paper06_Section15_Russian_v001.tex","0","True","0","0","18"
"ukrainian_unchanged","Noether_Paper06_Section15_Ukrainian_v001.tex","0","True","0","0","4"
