"branch_head","claim","value","evidence_basis"
"b95298e74e5decaea4883db696b4859b474a2504","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"b95298e74e5decaea4883db696b4859b474a2504","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
