paper,slug,title_en,title_fr,status,folder,en_pdf_pages,fr_pdf_pages,en_pdf,en_tex,fr_pdf,fr_tex
042,integration_vanishing_cycle,Integration over a Vanishing Cycle,Intégration sur un cycle évanescent,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_042_integration_vanishing_cycle,8,5,cumulative_faithful_bilingual/paper_042_integration_vanishing_cycle/EN/deligne_paper42_integration_vanishing_cycle_EN.pdf,cumulative_faithful_bilingual/paper_042_integration_vanishing_cycle/EN/deligne_paper42_integration_vanishing_cycle_EN.tex,cumulative_faithful_bilingual/paper_042_integration_vanishing_cycle/FR/deligne_paper42_integration_vanishing_cycle_FR_clean.pdf,cumulative_faithful_bilingual/paper_042_integration_vanishing_cycle/FR/deligne_paper42_integration_vanishing_cycle_FR_clean.tex
045,gabber_lemma,Gabber's Lemma,Lemme de Gabber,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_045_gabber_lemma,13,6,cumulative_faithful_bilingual/paper_045_gabber_lemma/EN/deligne_paper45_gabber_lemma_EN.pdf,cumulative_faithful_bilingual/paper_045_gabber_lemma/EN/deligne_paper45_gabber_lemma_EN.tex,cumulative_faithful_bilingual/paper_045_gabber_lemma/FR/deligne_paper45_gabber_lemma_FR_clean.pdf,cumulative_faithful_bilingual/paper_045_gabber_lemma/FR/deligne_paper45_gabber_lemma_FR_clean.tex
056,heisenberg_reality,Heisenberg Group and Reality,Groupe de Heisenberg et réalité,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_056_heisenberg_reality,8,9,cumulative_faithful_bilingual/paper_056_heisenberg_reality/EN/deligne_paper56_heisenberg_reality_EN.pdf,cumulative_faithful_bilingual/paper_056_heisenberg_reality/EN/deligne_paper56_heisenberg_reality_EN.tex,cumulative_faithful_bilingual/paper_056_heisenberg_reality/FR/deligne_paper56_groupe_heisenberg_realite_FR_clean.pdf,cumulative_faithful_bilingual/paper_056_heisenberg_reality/FR/deligne_paper56_groupe_heisenberg_realite_FR_clean.tex
057,tame_symbol,The Tame Symbol,Le symbole modéré,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_057_tame_symbol,6,4,cumulative_faithful_bilingual/paper_057_tame_symbol/EN/deligne_paper57_tame_symbol_EN.pdf,cumulative_faithful_bilingual/paper_057_tame_symbol/EN/deligne_paper57_tame_symbol_EN.tex,cumulative_faithful_bilingual/paper_057_tame_symbol/FR/deligne_paper57_tame_symbol_FR_clean.pdf,cumulative_faithful_bilingual/paper_057_tame_symbol/FR/deligne_paper57_tame_symbol_FR_clean.tex
058,real_mixed_hodge_structures,Real Mixed Hodge Structures,Structures de Hodge mixtes réelles,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_058_real_mixed_hodge_structures,4,4,cumulative_faithful_bilingual/paper_058_real_mixed_hodge_structures/EN/deligne_paper58_real_mixed_hodge_structures_EN.pdf,cumulative_faithful_bilingual/paper_058_real_mixed_hodge_structures/EN/deligne_paper58_real_mixed_hodge_structures_EN.tex,cumulative_faithful_bilingual/paper_058_real_mixed_hodge_structures/FR/deligne_paper58_structures_hodge_mixtes_reelles_FR_clean.pdf,cumulative_faithful_bilingual/paper_058_real_mixed_hodge_structures/FR/deligne_paper58_structures_hodge_mixtes_reelles_FR_clean.tex
069,braid_group_category,Action of the Braid Group on a Category,Action du groupe des tresses sur une catégorie,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_069_braid_group_category,13,13,cumulative_faithful_bilingual/paper_069_braid_group_category/EN/deligne_paper69_action_braid_group_category_EN_full.pdf,cumulative_faithful_bilingual/paper_069_braid_group_category/EN/deligne_paper69_action_braid_group_category_EN_full.tex,cumulative_faithful_bilingual/paper_069_braid_group_category/FR/deligne_paper69_action_groupe_tresses_categorie_FR_full.pdf,cumulative_faithful_bilingual/paper_069_braid_group_category/FR/deligne_paper69_action_groupe_tresses_categorie_FR_full.tex
070,grothendieck_master_ideas,Some Master Ideas in the Work of A. Grothendieck,Quelques idées maîtresses de l'œuvre de A. Grothendieck,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_070_grothendieck_master_ideas,7,7,cumulative_faithful_bilingual/paper_070_grothendieck_master_ideas/EN/deligne_paper70_grothendieck_master_ideas_EN_full.pdf,cumulative_faithful_bilingual/paper_070_grothendieck_master_ideas/EN/deligne_paper70_grothendieck_master_ideas_EN_full.tex,cumulative_faithful_bilingual/paper_070_grothendieck_master_ideas/FR/deligne_paper70_grothendieck_master_ideas_FR_clean.pdf,cumulative_faithful_bilingual/paper_070_grothendieck_master_ideas/FR/deligne_paper70_grothendieck_master_ideas_FR_clean.tex
071,cohomology_algebra_complement,The Cohomology Algebra of the Complement of a Finite Family of Affine Subspaces,L'algèbre de cohomologie du complément d'une famille finie de sous-espaces affines,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_071_cohomology_algebra_complement,14,8,cumulative_faithful_bilingual/paper_071_cohomology_algebra_complement/EN/deligne_paper71_cohomology_algebra_complement_EN.pdf,cumulative_faithful_bilingual/paper_071_cohomology_algebra_complement/EN/deligne_paper71_cohomology_algebra_complement_EN.tex,cumulative_faithful_bilingual/paper_071_cohomology_algebra_complement/FR/deligne_paper71_cohomology_algebra_complement_FR_fixed.pdf,cumulative_faithful_bilingual/paper_071_cohomology_algebra_complement/FR/deligne_paper71_cohomology_algebra_complement_FR_fixed.tex
083,nagata_embedding,The Nagata Embedding Theorem,Le théorème de plongement de Nagata,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_083_nagata_embedding,7,7,cumulative_faithful_bilingual/paper_083_nagata_embedding/EN/deligne_paper83_nagata_embedding_EN.pdf,cumulative_faithful_bilingual/paper_083_nagata_embedding/EN/deligne_paper83_nagata_embedding_EN.tex,cumulative_faithful_bilingual/paper_083_nagata_embedding/FR/deligne_paper83_nagata_embedding_FR_clean.pdf,cumulative_faithful_bilingual/paper_083_nagata_embedding/FR/deligne_paper83_nagata_embedding_FR_clean.tex
087,semisimplicity_tensor_products,Semisimplicity of Tensor Products in Characteristic p,Semi-simplicité de produits tensoriels en caractéristique p,cumulative_bilingual_current,cumulative_faithful_bilingual/paper_087_semisimplicity_tensor_products,22,12,cumulative_faithful_bilingual/paper_087_semisimplicity_tensor_products/EN/deligne_paper87_semisimplicity_tensor_products_EN.pdf,cumulative_faithful_bilingual/paper_087_semisimplicity_tensor_products/EN/deligne_paper87_semisimplicity_tensor_products_EN.tex,cumulative_faithful_bilingual/paper_087_semisimplicity_tensor_products/FR/deligne_paper87_semisimplicite_produits_tensoriels_FR_working.pdf,cumulative_faithful_bilingual/paper_087_semisimplicity_tensor_products/FR/deligne_paper87_semisimplicite_produits_tensoriels_FR_working.tex
