"probe_id","source_surface","source_language_or_scope","topic_tags","query_or_scope","outcome_status","candidate_url","repository","source_path_or_archive_path","source_hash_or_sha","license_or_access_signal","access_status","local_path_or_manifest_path","evidence_tier","upload_policy","blocker_or_next_gate","non_claim_boundary"
"SLT-LOCAL-R2-001","local R2 outputs file inventory","R2 Pan-Turkic","source-level TeX/LaTeX/archive presence","rg --files outputs | rg -i .(tex|ltx|sty|bib|zip|tar|gz|xz|7z)","no_source_level_payload_in_r2_outputs","","","","","local filesystem inventory","0 matching files in R2 outputs","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs","local_inventory_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Continue source acquisition; do not infer source-level support from PDF/HTML rows.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-LOCAL-D-001","local source root inventory","cross-lane non-Slavic source root","source-level TeX/archive count; not target-qualified","see-attached-you-do-prompt-d outputs/sources/non_slavic_reference_corpus","source_level_files_present_but_not_pan_turkic_qualified_by_path_sample","","","","","local filesystem inventory","134 TeX/Bib/archive candidates; first samples are R9 African/Horn arXiv source packages, not R2 Pan-Turkic math source witnesses","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus","local_inventory_context","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Target-language marker/content scan needed before any R2 witness claim.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-LOCAL-CANON-001","local source root inventory","cross-lane canonical source root","source-level TeX/archive count; not target-qualified","noether-slavic-canonical sources/non_slavic_reference_corpus","source_level_files_present_but_not_pan_turkic_qualified_by_path_sample","","","","","local filesystem inventory","10645 TeX/Bib/archive candidates; first samples are R7 Southeast Asian arXiv source packages, not R2 Pan-Turkic math source witnesses","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus","local_inventory_context","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Target-language marker/content scan needed before any R2 witness claim.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-SHELF-1907","GitHub-tracked Slavic source-canon shelf recheck","Pan-Turkic field check over shelf manifest","GitHub TeX source-canon shelf overlap","language_code/name in Kyrgyz,Tatar,Turkmen,Uyghur,Uzbek,Kazakh,Bashkir,Azerbaijani,Turkish,Crimean Tatar,Sakha","zero_pan_turkic_language_field_hits","","","GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","4F2F57CFF38C9BC55C5F65B349023238A1AC27C89CB5588FFAA9CC9111660F97","manifest hash only","total_rows=225; pan_turkic_language_field_hits=0","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T190700Z\manifests\GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","cross_lane_shelf_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No R2 source-level support can be inherited from this Slavic shelf.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-SHELF-1921","GitHub-tracked Slavic source-canon shelf recheck","Pan-Turkic field check over shelf manifest","GitHub TeX source-canon shelf overlap","language_code/name in Kyrgyz,Tatar,Turkmen,Uyghur,Uzbek,Kazakh,Bashkir,Azerbaijani,Turkish,Crimean Tatar,Sakha","zero_pan_turkic_language_field_hits","","","GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","6FA6C95DA9D9F56B562070091952C59089D3EC0E68A5CDA390208D823B952820","manifest hash only","total_rows=341; pan_turkic_language_field_hits=0","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\manifests\GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","cross_lane_shelf_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No R2 source-level support can be inherited from this Slavic shelf.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-SHELF-2110","GitHub-tracked Slavic source-canon shelf recheck","Pan-Turkic field check over shelf manifest","GitHub TeX source-canon shelf overlap","language_code/name in Kyrgyz,Tatar,Turkmen,Uyghur,Uzbek,Kazakh,Bashkir,Azerbaijani,Turkish,Crimean Tatar,Sakha","zero_pan_turkic_language_field_hits","","","GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","C00F5B59293012FF9683B787E4BB14D8BC1FF4424C0EF0F428F0292D9E7985F7","manifest hash only","total_rows=58; pan_turkic_language_field_hits=0","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T211000Z\manifests\GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","cross_lane_shelf_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No R2 source-level support can be inherited from this Slavic shelf.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-SHELF-2125","GitHub-tracked Slavic source-canon shelf recheck","Pan-Turkic field check over shelf manifest","GitHub TeX source-canon shelf overlap","language_code/name in Kyrgyz,Tatar,Turkmen,Uyghur,Uzbek,Kazakh,Bashkir,Azerbaijani,Turkish,Crimean Tatar,Sakha","zero_pan_turkic_language_field_hits","","","GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","54D6E31E5D5346FEC4AF021E8A7162AA1583698D9C0B446D995DEDE8237A558D","manifest hash only","total_rows=10; pan_turkic_language_field_hits=0","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T212500Z\manifests\GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","cross_lane_shelf_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No R2 source-level support can be inherited from this Slavic shelf.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-SHELF-SMOKE","GitHub-tracked Slavic source-canon shelf recheck","Pan-Turkic field check over shelf manifest","GitHub TeX source-canon shelf overlap","language_code/name in Kyrgyz,Tatar,Turkmen,Uyghur,Uzbek,Kazakh,Bashkir,Azerbaijani,Turkish,Crimean Tatar,Sakha","zero_pan_turkic_language_field_hits","","","GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","B7ACF211496EEFE00F08697908CF157CB490BC9FA3EFF9FB2883B704FAFAD78F","manifest hash only","total_rows=0; pan_turkic_language_field_hits=0","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_SMOKE\manifests\GITHUB_TEX_TARGET_LANGUAGE_CANDIDATES.csv","cross_lane_shelf_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","No R2 source-level support can be inherited from this Slavic shelf.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-EXACT-KY-POLYBASE","GitHub code search via gh search code","Kyrgyz","Kyrgyz; polynomial/base TeX source search","көп мүчө --extension tex --limit 10","zero_results","https://api.github.com/search/code","","","","GitHub code-search metadata only","authenticated gh code search returned [] for this query","","source_level_tex_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after wider phrase expansion or reviewer-return; do not treat zero-result search as language absence.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"SLT-GH-EXACT-KY-RING","GitHub code search via gh search code","Kyrgyz","Kyrgyz; ring/Noetherian ring TeX source search","шакек --extension tex --limit 10","zero_results","https://api.github.com/search/code","","","","GitHub code-search metadata only","authenticated gh code search returned [] for this query","","source_level_tex_search_gap","manifest-only R2 lane output; no raw source body payload; B3/package steward owns any publication","Retry after wider phrase expansion or reviewer-return; do not treat zero-result search as language absence.","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
