"item","value","evidence","boundary"
"repo_control_AGENTS","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","AGENTS.md SHA-256","control hash only"
"repo_control_copilot","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A",".github/copilot-instructions.md SHA-256","control hash only"
"parent_ledger_hash","93990CFC95BA2BF390FBC0C1B20186E067A31F7486826182875D82BC36587EB8","parent ledger advanced since prior R2 artifact","hash observation only"
"source_canon_steering_hash","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","source-canon steering record SHA-256","hash observation only"
"b3_steward_log_hash","D90B72C21DB212355FBACEFB51C9A965C4DC0145E869FAB54B39C77F533E7C0D","B3 steward log SHA-256","hash observation only"
"git_head","d8df61cda43a720d4b850e198f6e9fd6cbd594d9","git rev-parse HEAD","R2 did not stage/commit/push"
"git_upstream","45393348e2debe0c2fa347b5e4fa5346f6b12825","git rev-parse @{u}","R2 did not stage/commit/push"
"git_status","## codex/noether-pc-20260629...origin/codex/noether-pc-20260629 [ahead 1]","git status --short --branch","external untracked source-corpus directory observed and untouched"
"durable_log_event_order_after_event_038","001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038","mechanical event block reorder plus Event 038 append","event text preserved; chronology maintenance only"
"durable_log_sha256_after_event_038","5A04CEDB234BB173121A18EB0B6F06A0CF62CFF93F1B65758EC92E63A7C436C8","SHA-256 after numeric-order repair and Event 038 append, before final sidecar refresh","log integrity hash"
"register_rows","61","normalized register CSV","source-canon register state only"
"register_source_level_tex_archive_rows","0","normalized register CSV","no source-level witness claim"
"register_explicit_gap_rows","8","normalized register CSV","explicit gap rows preserved"
"live_url_unique_groups","47","outputs\NOETHER_R2_PAN_TURKIC_LIVE_URL_ACCESS_AUDIT_20260705T0127.csv","metadata-only URL/access audit"
"live_url_remote_status_summary","200=45; not_applicable_explicit_gap_row=1; probe_error=1","outputs\NOETHER_R2_PAN_TURKIC_LIVE_URL_ACCESS_AUDIT_20260705T0127.csv","HEAD/status metadata only; no raw source body payload"
"live_url_access_signal_summary","explicit gap row; no external source URL by design=1; live_head_reachable_or_redirect=45; probe_error_no_body_fetched=1","outputs\NOETHER_R2_PAN_TURKIC_LIVE_URL_ACCESS_AUDIT_20260705T0127.csv","access signals only; no license clearance"
"live_url_markdown_hash","1F0B5AB3E3500A35DF8279D36C8689BB84B40020EED68554DC095FFF25D144EA","outputs\NOETHER_R2_PAN_TURKIC_LIVE_URL_ACCESS_AUDIT_20260705T0127.md","artifact hash"
"live_url_csv_hash","CA4E7267D0492EBD3191829BFC364C0FF44A4576452872967F3E9FF8F6642C80","outputs\NOETHER_R2_PAN_TURKIC_LIVE_URL_ACCESS_AUDIT_20260705T0127.csv","artifact hash"
"live_url_json_hash","95A1170747E543496D8BFB6C3BD98775408668E8C3EBE238FFF8DB5DB5B6E359","outputs\NOETHER_R2_PAN_TURKIC_LIVE_URL_ACCESS_AUDIT_20260705T0127.json","artifact hash"
