"audit_id","source_url","register_ids","row_count_for_url","source_languages","topic_tags","evidence_tiers","recorded_license_or_access_signals","recorded_local_sha256_or_hashes","recorded_local_paths","probe_method","remote_status","remote_content_type","remote_content_length","remote_last_modified","remote_location","probe_error","live_access_signal","upload_policy","non_claim_boundary"
"LIVEURL-000","http://tarim68.blogbus.com/logs/24944853.html","SCW-UG-003","1","Uyghur","Uyghur; algebra; group/ring/field context in text","html_or_web_fallback","copyright / attribution-request signal","D0B5FF3114C7D059C33202C69449FD1A1427A7CFAEAE151B2D85619E00E78BB8","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_uyghur\uyghur_tarim_algebra_math_dictionary.html","HEAD","200","text/html","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-001","https://cyberleninka.ru/article/n/tatar-telend-matematikadan-uku-materiallary-buldyryrga-yogynty-yasauchy-faktorlar-turynda","SCW-TT-004","1","Tatar","Tatar; mathematics education; source-material factors","html_or_web_fallback","local HTML includes Creative Commons signal","3691F515CC96E12E2788FAFD5243DF1656CD094C80B287866E99ED8D9993C9C6","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T223000Z_r2_pan_turkic_turkmen_tatar_kyrgyz_hard_row_discovery\html\pan_turkic_tatar\tatar_cyberleninka_math_materials_article.html","HEAD","200","text/html; charset=utf-8","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-002","https://daramet.tm.kg/wp-content/uploads/2017/11/Kaldybaev-S.K.Algebra-8-klass.pdf","CWS-KY-002; KYOCR-SRC-001","2","Kyrgyz","Kyrgyz; algebra textbook; polynomial base","pdf_or_text_fallback","no explicit reusable license found in capture","3ADF45747524AC0691C659B5AB1568F9AE4DACF3886ECDE92A57AD31E601FBE4","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-KY-002_daramet_algebra_8_klass.pdf","HEAD","probe_error","","","","","Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""","probe_error_no_body_fetched","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-003","https://edu.gov.kg/media/files/c832083a-4db8-4b7f-89cc-315d5535f520.pdf","CWS-KY-001","1","Kyrgyz","Kyrgyz; mathematics curriculum; algebra; polynomial base","pdf_or_text_fallback","ministry/government PDF; no explicit reusable license found in capture","34FD87987F76E5E25C2D7C29A3E1D5CA310E99193774ADACA1D2FB7BE4A5414C","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-KY-001_edu_gov_kg_matematika_curriculum.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-004","https://edu.tatar.ru/upload/storage/org112/files/7%20%D0%BA%D0%BB%D0%B0%D1%81%D1%81%20%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0.pdf","RSW-TT-001","1","Tatar","Tatar; algebra; polynomial base; күпбуын","pdf_or_text_fallback","no explicit reusable license found in capture","8C6065A51152E3DE7C530C071B19E90FF0B4E3F72C9AC25A5B3501C7CD3A8D78","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TT-001_edu_tatar_7_class_algebra_minimum.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-005","https://edu.tatar.ru/upload/storage/org1270/files/%D0%9F%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%20%D0%B8%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D1%85%20%D0%BF%D0%BE%D1%81%D0%BE%D0%B1%D0%B8%D0%B9%202015-2016%20%D0%B3%D0%B3.pdf","CWS-TT-001","1","Tatar","Tatar; textbook list; mathematics; algebra source shelf","pdf_or_text_fallback","no explicit reusable license found in capture","3D85EFBC03216384A72DD0AA5773FF3EA1925E3CC97DF3FB8F5B6FD166E3AF5E","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TT-001_edu_tatar_textbook_list_2015_2016.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-006","https://ft.antat.ru/uploads/75473680a2299b1cbd-%D0%A4%D0%A2_2025-1-1-106-112.pdf","CWS-TT-002","1","Tatar","Tatar; mathematics materials; bilingual education; terminology","pdf_or_text_fallback","journal PDF; no explicit reusable license found in capture","CBDCE778574D1ACD582BDADDDFCA15FDEE01138C50444044B200FE3CFF158408","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\current_web_source_canon_20260704\CWS-TT-002_fanni_tatarstan_2025_math_tatar.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-007","https://ft.antat.ru/uploads/831735a2152a289d13-%D0%A4%D0%A2-2016-3.pdf","GCS-TT-001; RSW-TT-003","2","Tatar","Tatar; exact sciences; interpolation polynomial operator; quadrature formula; Hilbert-kernel integral || Tatar; mathematical journal; polynomial/interpolation operator; exact sciences","pdf_or_text_fallback","journal PDF; no explicit reusable license found || no explicit reusable license found in capture","4F41017D8881EE92F24E35B9E0B51806C714104DA4EA77CDF1CFB687FCE19AF3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TT-001_fanni_tatarstan_2016_3_polynomial_operator.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TT-003_ft_antat_2016_3.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-008","https://ft.antat.ru/uploads/995865703d9af8983e-%D0%A4%D0%A2-2015-4.pdf","GCS-TT-002; RSW-TT-004","2","Tatar","Tatar; exact sciences; interpolation polynomial operator; polynomial methods || Tatar; mathematical journal; polynomial/operator context; exact sciences","pdf_or_text_fallback","journal PDF; no explicit reusable license found || no explicit reusable license found in capture","B477297668A5BDC7BDC363566C9BF631BA772A5383E137B4E59E9E1282C7F51F","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_gap_closure_20260704\GCS-TT-002_fanni_tatarstan_2015_4_interpolation_polynomial.pdf || C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TT-004_ft_antat_2015_4.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
"LIVEURL-009","https://kesgitle.edu.tm/bookpdf/69517a6e1233c2af1004dbbb3eacd6b2/Annaorazow%20O~Matematikadan%20olimpiada%20%C3%BC%C3%A7in%20mesleler.pdf","RSW-TK-001","1","Turkmen","Turkmen; mathematics olympiad; polynomial base; köpagza","pdf_or_text_fallback","no explicit reusable license found in capture","29D14DF40716C5043953CA164F372E70328AADC947C042395389060CEE55A205","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\source_canon_resweep_20260704\RSW-TK-001_kesgitle_matematikadan_olimpiada_meseleler.pdf","HEAD","200","application/pdf","","","","","live_head_reachable_or_redirect","metadata-only live URL/access audit; no raw source body payload; B3/package steward owns any publication","source-canon/provenance/gap support only; no translation, term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Zenodo action, Git stage, Git commit, or Git push claim"
