comparison_id,evidence_class,authority_role,unit_id,object_type,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,target_locator,parent_id,cross_references,critical_controls,decision,result,status,confidence,adverse_or_choice,rejected_alternative,record_revision,continuation_cursor
SGA2-VIII-P11S-CMP-001,source_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-TITLE,chapter_title,French line2501 and physical75,2501,84,75,ExposeVIII title,SGA2-VIII-P11S,SGA2-VIII-P11S-SECTION,Expose VIII and The Finiteness Theorem,preserve chapter identity and title,pass,production_structure_comparison_passed_self_review_pending,high,none,omit Expose number,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-002,source_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-SECTION,section_title,French lines2503-2504 and physical75,2503-2504,84,75,Section1 heading,SGA2-VIII-P11S,SGA2-VIII-P11S-NOTE,Section1 A Biduality Spectral Sequence and attached footnote mark,preserve hierarchy title and note attachment,pass,production_structure_comparison_passed_self_review_pending,high,none,flatten heading or detach note,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-003,source_note,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-NOTE,derived_category_footnote,French lines2508-2511 and physical75,2508-2511,84,75,Section1 footnote,SGA2-VIII-P11S,SGA2-VIII-P11S-SECTION,Verdier derived categories spectral sequence biduality isomorphism and SGA6 I,preserve complete note and citation,pass,production_note_comparison_passed_self_review_pending,high,none,omit source note,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-004,source_prose,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-SECTION,introductory_sentence,French lines2508 and2511 physical75,2508-2511,84,75,introduction before proposition,SGA2-VIII-P11S,SGA2-VIII-P11S-PROP,state the result we wish to establish,preserve prospective register and colon,pass,production_prose_comparison_passed_self_review_pending,high,none,state as already proved,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-005,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-PROP,ring_scheme_hypotheses,French line2513 and physical75,2513,84,75,Proposition1.1 hypotheses,SGA2-VIII-P11S,SGA2-VIII-P11S-SEQ1,A Noetherian I ideal X SpecA Y VI M finite type and finite projective dimension,preserve every object equality and finiteness condition,pass,production_formula_comparison_passed_self_review_pending,high,none,drop finite projective dimension,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-006,source_notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-PROP,associated_sheaf,French line2513 and physical75,2513,84,75,Proposition1.1 sheaf assignment,SGA2-VIII-P11S,SGA2-VIII-P11S-SEQ1,mathcal F equals tilde M associated OX module,preserve sheaf typography tilde and module category,pass,production_notation_comparison_passed_self_review_pending,high,candidate uses plain F and capital Module,copy candidate typography,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-007,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-SEQ1,global_spectral_sequence,French lines2515-2518 and physical75,2515-2518,84,75,Proposition1.1 item1 display,SGA2-VIII-P11S-PROP,SGA2-VIII-P11S-SEQ2,H Y of X mathcalF left arrow ExtY p of Ext minusq M A and A,preserve exact operators arguments degrees nesting and arrow direction,pass,production_formula_comparison_passed_self_review_pending,high,candidate adds E2 and total degree abutment,use expanded candidate display,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-008,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-SEQ2,sheaf_spectral_sequence,French lines2520-2523 and physical75,2520-2523,84,75,Proposition1.1 item2 display,SGA2-VIII-P11S-PROP,OUTBOUND:SGA2-VIII-P11P,sheaf H Y of X mathcalF left arrow sheaf ExtY p of sheaf Ext minusq mathcalF OX and OX,preserve both sheaf Ext operators local cohomology arguments degrees nesting and arrow,pass,production_formula_comparison_passed_self_review_pending,high,candidate plain Ext typography and expanded degrees,use candidate text display,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-009,comparison_delta,comparison_only_not_authority,SGA2-VIII-P11S-CAND,candidate_expansion,jcreinhold lines21-35,2513-2523,84,75,both comparison formulas,SGA2-VIII-P11S,SGA2-VIII-P11S-SEQ1;SGA2-VIII-P11S-SEQ2,candidate supplies E2 superscript and H p-plus-q abutment not explicit in authority,reject expansions and retain authority arrow display,pass_as_comparison_only,comparison_recorded_self_review_pending,high,one LLM lineage adds formula detail,treat expansion as source text,1,French source line2527 after blank line2526
SGA2-VIII-P11S-CMP-010,source_boundary,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-QA,unit_boundary,French lines2525-2527 and physical75,2525-2527,84,75,proposition close and cursor,SGA2-VIII-P11S,OUTBOUND:SGA2-VIII-P11P,line2525 proposition closes line2526 blank line2527 explanation starts,preserve cursor2527 and exclude explanation,pass,production_boundary_comparison_passed_self_review_pending,high,none,include Of course paragraph,1,French source line2527 after blank line2526
