decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-P11S-TERM-001,title_register,corrected_french_tex,SGA2-VIII-P11S-TITLE,Le theoreme de finitude,French line2501,Expose title,The Finiteness Theorem,source_heading_register,none,Finiteness Theorem,retain definite article in chapter title,applied_production_draft,high,1,French source line2527 after blank line2526,independent title review
SGA2-VIII-P11S-TERM-002,title_register,corrected_french_tex,SGA2-VIII-P11S-SECTION,Une suite spectrale de bidualite,French lines2503-2504,Section1 title,A Biduality Spectral Sequence,standard_mathematical_register,none,A spectral sequence of biduality,idiomatic English noun modifier,applied_production_draft,high,1,French source line2527 after blank line2526,independent title review
SGA2-VIII-P11S-TERM-003,capitalization,corrected_french_tex,SGA2-VIII-P11S-PROP,anneau noetherien,French line2513,Proposition1.1,Noetherian ring,house_style,none,noetherian ring,match established SGA2 English casing,applied_production_draft,high,1,French source line2527 after blank line2526,SGA-wide register review
SGA2-VIII-P11S-TERM-004,terminology,corrected_french_tex,SGA2-VIII-P11S-PROP,de type fini,French line2513,module hypothesis,finitely generated,standard_algebra_register,none,of finite type,idiomatic module terminology in English,applied_production_draft,high,1,French source line2527 after blank line2526,independent terminology review
SGA2-VIII-P11S-TERM-005,terminology,corrected_french_tex,SGA2-VIII-P11S-PROP,dimension projective finie,French line2513,module hypothesis,finite projective dimension,standard_homological_register,none,finite-dimensional projective module,preserve exact homological property,applied_production_draft,high,1,French source line2527 after blank line2526,independent formula review
SGA2-VIII-P11S-TERM-006,notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-PROP,Fa equals tilde M,French line2513,sheaf assignment,mathcal F equals tilde M,sheaf_typography_normalization,candidate plain F,plain F,preserve source sheaf typography and lane conventions,applied_production_draft,high,1,French source line2527 after blank line2526,independent notation review
SGA2-VIII-P11S-TERM-007,notation,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-SEQ2,underlined H and Ext,French lines2520-2523,second spectral sequence,script sheaf H and both script sheaf Ext operators,sheaf_operator_normalization,candidate plain Ext typography,ordinary global H and Ext,preserve source sheaf global distinction,applied_production_draft,high,1,French source line2527 after blank line2526,SGA-wide notation conflict
SGA2-VIII-P11S-TERM-008,comparison_rejection,comparison_only_not_authority,SGA2-VIII-P11S-CAND,E2 p q and H p-plus-q,jcreinhold lines25-35,both spectral sequences,reject added E2 and total-degree abutment notation,comparison_adverse_choice,candidate expands source display,copy candidate formula,authority shows compact left-arrow display without those indices,rejected_candidate_delta,high,1,French source line2527 after blank line2526,documented authority clarification
SGA2-VIII-P11S-TERM-009,citation_register,corrected_french_tex,SGA2-VIII-P11S-NOTE,Cf SGA6 I,French lines2510-2511,Section1 footnote,Cf. SGA 6 I,source_citation_register,none,See SGA 6 Expose I,retain compact source citation without editorial expansion,applied_production_draft,high,1,French source line2527 after blank line2526,independent citation review
SGA2-VIII-P11S-TERM-010,target_accessibility,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-P11S-REVIEW,extensible outer display parentheses,first independent target text extraction,both compact spectral-sequence displays,use ordinary outer parentheses,target_text_extraction_normalization,initial extraction emitted two U+0001 controls,retain extensible parentheses,remove control characters while preserving visible formula structure and mathematics,applied_independent_review_nonmathematical,high,1,French source line2527 after blank line2526,target toolchain or accessibility policy change
