witness_id,tier,topics,format,url,local_path,sha256,license_signal,evidence_status,gap_or_boundary
AR-SRC-ALG-001,direct_arabic_mathematical_source,"algebra; ring; field; ideal; group; polynomial; representation",PDF,https://uomustansiriyah.edu.iq/media/attachments/192/192_2019_10_20%2108_53_36_PM.pdf,sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/mustansiriyah_abstract_algebra_2019.pdf,FAA47DEBCB0157EBB28B4A0D0FAECDC7C52950802CE51C66A4F92DA2446F97E0,CC-BY-ND-4.0 stated in PDF,best_direct_arabic_algebra_witness,no_native_review_or_term_approval
AR-SRC-RING-002,direct_arabic_mathematical_source,"ring theory; ideals",PDF,https://uomustansiriyah.edu.iq/media/lectures/12/12_2019_05_29%2101_03_09_PM.pdf,sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/mustansiriyah_ring_theory_2019.pdf,811C3BAE2363895F344AD1B6382629239E35C5A1CA47012A576207BFD851023A,no_explicit_open_license_found,direct_arabic_ring_theory_source,no_term_approval
AR-SRC-RF-003,official_course_register_witness,"rings; fields; ideals; polynomial rings",PDF,https://www.mu.edu.sa/sites/default/files/content/2017/06/%D8%A7%D9%84%D8%AD%D9%84%D9%82%D8%A7%D8%AA%20%D9%88%D8%A7%D9%84%D8%AD%D9%82%D9%88%D9%84.pdf,sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/majmaah_rings_fields_2017_course_spec.pdf,A6C1B7EC48616AF3347ED537715DA1DAC98EE32C6E70D821F185BF81168F22D9,no_explicit_open_license_found,official_arabic_rings_fields_course_register_source,course_register_only
AR-SRC-RF-004,official_course_register_witness,"rings; fields; algebra course rows",PDF,https://www.mu.edu.sa/sites/default/files/content/2016/04/21.pdf,sources/non_slavic_reference_corpus/20260702T013000Z_controlled_arabic_algebra_source_refresh/downloads/majmaah_program_spec_rings_fields_2016.pdf,026CBF94316E174C7D273819BC6ED3F15609B0BB09459F045228ACB71856E1D6,no_explicit_open_license_found,official_arabic_algebra_register_source,course_register_only
AR-SRC-RF-005,downloaded_extraction_gap,"rings; fields",PDF,https://www.syriamath.net/files/library/2015/03/1159987895.pdf,sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/syriamath_rings_fields_1159987895.pdf,617FD1CD4A2904B798C381B9CF0DF4F283A7629DBF6455E845C128A2455E0949,no_explicit_open_license_found,downloaded_no_relevant_term_hits,ocr_text_extraction_gap
AR-SRC-COURSE-006,official_course_register_witness,"algebra; rings; fields; modules; groups",PDF,https://edu.qu.edu.iq/wp-content/uploads/sites/14/2025/09/%D9%88%D8%B5%D9%81-%D8%A7%D9%84%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A7%D9%84%D8%A7%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A%D8%A7%D8%AA-%D8%B9%D8%B1%D8%A8%D9%8A-%D9%86%D9%87%D8%A7%D8%A6%D9%8A-2025-2026.pdf,sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/qadisiyah_math_program_2025_2026.pdf,97B484445E0D9DFD6466C97E4A28ADD199361F4FF577B31ED1343C6BE4B6DB9D,no_explicit_open_license_found,official_arabic_course_register_ring_module_evidence,course_register_only
AR-SRC-COURSE-007,official_course_register_witness,"algebra; rings; fields; modules; groups",PDF,https://uomustansiriyah.edu.iq/media/attachments/161/161_2024_08_27%2111_27_01_PM.pdf,sources/non_slavic_reference_corpus/20260630T092000Z_controlled_arabic_abstract_algebra_source_retry/downloads/mustansiriyah_math_program_2024.pdf,E834C05A5CB8D2CA25016E4775045E7A4FF3A6FB4D32A28EB767C1251DB9E413,no_explicit_open_license_found,official_arabic_course_register_ring_module_evidence,course_register_only
AR-SRC-GROUP-008,adjacent_arabic_mathematical_source,"group theory; representations; fields; rings; homomorphism; isomorphism",PDF,https://www.jmilne.org/math/CourseNotes/GTarabic.pdf,sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/downloads/jmilne_group_theory_arabic.pdf,77B97DF62856083FF960790EA6CEA27E5AD6927241D5F87751B376C8F644A904,arabic_pdf_restricted_personal_noncommercial_copy_notice__current_english_source_CC_BY_NC_SA_4_0,strong_adjacent_group_theory_register,not_invariant_theory_or_covariant_authority
AR-SRC-INV-009,weak_secondary_arabic_register_witness,"invariant rings; group actions; Hilbert series; finite fields",HTML,https://www.arabicscholar.com/%D8%A7%D9%84%D8%AB%D9%88%D8%A7%D8%A8%D8%AA-%D8%A7%D9%84%D9%85%D8%B5%D9%81%D9%88%D9%81%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%AF%D9%88%D9%84%D8%A7%D8%B1%D9%8A%D8%A9-%D8%AA%D8%AD%D8%AA-%D8%A8%D8%B9/,sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/html/arabicscholar_modular_matrix_invariants_2026.html,5B469F0809C89A9365DE974B8AA7E86FEA6F37F9309117654BD51B53623049F4,no_open_reuse_license_found,secondary_arabic_summary_of_english_paper,not_direct_specialist_source
AR-SRC-INV-010,weak_secondary_phrase_witness,"geometric invariant theory; quotient/moduli phrases",HTML,https://shamra-academia.com/show/f0597758b3ef43,sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/html/shamra_invariance_system_theory_arabic_summary.html,79FBC8D73B5BB9521C24F778B5536B205DC193A21D18B3CDA3C264CB255B67CF,no_open_reuse_license_found,arabic_abstract_summary_phrase_witness,not_direct_authority
