lane,packet_path,file,category,rows,bytes,sha256
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,B3_UPLOADER_READY_SUMMARY.csv,support/context,13,1235,4D8D2D2F60B5025DA030063A379D2ABAFD475174DB3411F0F9E68B6E8191F60E
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,MANIFEST.csv,support/context,18,2724,5E757F6F038B66186DDEC0655DC58FB81E06D5BCC8ACCFD6410E993F1FBCB291
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_ARABIC_25B_VALIDATION.csv,support/context,19,882,64C7B43DA7EFE3E434771B2F5E51B94576660EB3146EF56E9EDD9E98728508BD
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_ARABIC_BLOCKERS.csv,blocker/recovery,5,2062,102EDE966F8F515C30A557186B744676BBAB104534F88A92A61BDE750AAD87FA
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_ARABIC_SOURCE_USE_GAP_ROLLUP.csv,source-use/gap,6,7992,213550EB808559F9C21CC1159BFC1596E95FCEC28CF6A2BE74FC8FC2EA65975E
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_B3_HELD_BLOCKER_LOCAL_REPAIR_STATUS.csv,blocker/recovery,1,982,A5E0E505228200BA22E5ABD95AAA07FFA8C44CACB61B30B127A37D5A38742791
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_BOUNDARY_GUARDS_AND_NEXT_ACTIONS.csv,support/context,7,1634,9F92E653124E629777A4E33291CE22097213C6F49F937064B0B9CB82D5C031DD
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_BRANCH_COMMITS_FROM_2BD3E449.csv,support/context,1,194,A7334868B9ACA1575577CE50039AB8DBEE19B308BA46D4FD90F787A4D98A999A
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_BRANCH_DELTA_FROM_2BD3E449.csv,support/context,69,18426,A4378CA857555700A8263106D4781C93604B892848FD63D20E6BCC134CA47E47
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_BRANCH_FRONTIER_VERIFICATION.csv,support/context,1,538,418B7536A973E806C11157C5FA2AAE009E41D99CF5603DDC060AF98189554406
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_BRANCH_SOURCE_DOCUMENTS.csv,source-witness,7,2622,CDE6AC8D98F5F0ABD8C8EDE6540A6A72599EFFA5E4E77E889585AD550F343948
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_FABLE_SOURCE_USE_ADVERSE_LEDGER.csv,source-use/gap;Fable/adverse/do-not-use,4,726,3C948F84ABF7FC037AD53E22F2104BB4951E04BDDE793EDB3880B1C3EBDB31B2
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_PERSIANATE_TAJIK_BLOCKERS.csv,blocker/recovery,10,9083,F3188B21E1B37AEC7DC5AC502A023354DDC30362024819A8C9F19B77C9CFD25E
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_PERSIANATE_TAJIK_COUNTS.csv,support/context,18,872,27A7BCF6F0E12FF433ADD26D1D75114010A1649E6884A575DB70EBC844542DB7
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_PERSIANATE_TAJIK_SOURCE_USE_GAP_ROLLUP.csv,source-use/gap,5,4489,1CD441F3F6651B878D3D7FB7B2907B238B25B2666F80DBBC568BCAB7F7CF12BE
R3 AEED source-use/gap,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707\R3_AEED56E7_CURRENT_FRONTIER_SOURCE_USE_GAP_RECOVERY_20260707_20260707T025317Z,R3_AEED56E7_POST_FRONTIER_B3_HELD_PACKET_BLOCKERS_BRANCH_COPY.csv,blocker/recovery,1,567,325CD8F756B72D16A958F891A659CD43F4AEEBB960E377E8453A1E8A68E72868
